Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,Tot
"Bartel, Jimmy",-,-,1,1,-,-,1,1,2,1,-,-,-,2,1,,-,-,1,2,,3,-,-,16.0
"Bews, Jed",,,,,,-,,2,2,,,,,,,,1,-,1,,,-,,1,7.0
"Blicavs, Mark",2,-,1,1,1,2,3,1,1,1,1,-,1,1,2,1,2,-,-,-,1,-,2,4,28.0
"Caddy, Josh",1,1,-,-,1,-,-,2,1,-,-,1,1,,,,,,-,3,,2,1,1,15.0
"Clark, Mitch",,,,,,,,,,,,,,,2,,,,,,,,,,2.0
"Cockatoo, Nakia",,,-,1,1,1,-,,,,,,,,2,2,-,-,-,,,,,,7.0
"Cowan, Josh",,,,,,,,,,,,,,,,2,-,3,-,-,1,-,-,3,9.0
"Dangerfield, Patrick",2,2,2,2,4,1,-,2,1,-,1,1,1,-,-,-,2,1,-,2,3,1,1,1,30.0
"Duncan, Mitch",2,2,2,2,1,5,-,3,1,1,-,-,3,1,1,-,-,-,-,1,-,1,2,1,29.0
"Enright, Corey",-,2,2,,-,-,-,1,2,-,1,-,1,2,2,2,1,1,1,-,3,1,1,2,25.0
"Gregson, Cory",-,1,,-,1,,,2,2,1,,,-,-,,,,,,,,,,,7.0
"Guthrie, Cameron",2,1,1,1,1,1,1,3,3,2,1,-,,1,-,3,1,1,1,1,1,-,1,-,27.0
"Hawkins, Tom",6,2,1,1,1,-,3,-,1,-,1,,2,2,1,2,-,-,-,1,1,1,-,-,26.0
"Henderson, Lachie",-,-,3,-,,2,2,-,2,-,-,-,-,1,1,-,,,-,1,-,,,-,12.0
"Horlin-Smith, George",,,,,,,,,-,,,,,,,,,,,,,,,,
"Kersten, Shane",2,-,-,,-,1,-,1,-,-,-,2,2,-,,2,1,,,-,2,,,,13.0
"Kolodjashnij, Jake",-,-,1,-,-,-,,,,-,1,-,-,1,-,-,-,-,,1,-,-,-,-,4.0
"Lang, Darcy",1,1,-,-,,-,-,-,-,1,-,1,,,1,,,,,,2,,,,7.0
"Lonergan, Tom",-,-,,-,1,2,1,-,,1,1,-,1,1,1,1,-,2,1,1,-,-,1,-,15.0
"Mackie, Andrew",2,-,-,3,1,,1,1,-,4,-,-,1,-,1,-,1,1,1,,-,-,-,2,19.0
"McCarthy, Lincoln",-,-,2,,1,1,-,,,,1,2,1,1,3,-,1,-,,-,1,2,1,-,17.0
"Menegola, Sam",,,,,,,,,,,,,,,,,-,1,1,1,1,1,1,2,8.0
"Menzel, Daniel",,,3,-,2,-,2,-,-,,1,-,2,-,-,-,-,2,-,,,-,-,,12.0
"Motlop, Steven",2,-,2,2,3,2,-,3,-,5,2,2,-,2,1,1,1,1,2,1,1,1,1,-,35.0
"Murdoch, Jordan",1,-,,2,,,,,,1,-,-,-,-,-,-,,,,,,,,,4.0
"Ruggles, Tom",,,-,2,1,,2,-,1,,1,-,1,-,-,1,2,-,,-,1,-,2,,14.0
"Selwood, Joel",1,4,4,2,-,2,2,1,4,1,3,3,-,1,2,-,3,1,1,2,1,-,2,-,40.0
"Selwood, Scott",,,,,,,,,,,,,,,,,,,2,-,1,,1,1,5.0
"Smedts, Billie",,,,,,,,,,-,,,,,,,,,,,,,,,
"Smith, Zac",2,1,2,-,2,-,-,-,-,1,1,2,1,-,2,-,,4,-,2,1,1,1,-,23.0
"Stanley, Rhys",1,3,3,3,1,,2,3,2,1,,4,2,-,,2,2,3,1,3,1,-,-,3,40.0
"Taylor, Harry",1,2,-,1,-,1,1,-,1,1,-,1,1,-,-,1,-,1,1,1,-,1,-,1,16.0
"Vardy, Nathan",,,,,,1,,,,,,,,,,,,,,,,,,,1.0
Totals,28,22,30,24,23,22,21,26,26,22,16,19,21,16,23,20,18,22,14,23,22,15,18,22,513.0
Opponent,HW,GW,BL,ES,PA,GC,WC,AD,CW,CA,GW,NM,WB,SK,SY,FR,AD,WB,ES,RI,BL,ME,HW,SY,
