Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Abbott, Ryan",,,,,,,,,,,,,,,,,,,-,,-,-,-,
"Ablett, Gary",3,1,-,,,,,-,-,-,3,3,-,-,-,-,-,2,-,2,-,-,-,14.0
"Bews, Jed",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Black, Aaron",,,,,,,,,,-,-,-,,,,,,,,,,,,
"Blicavs, Mark",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Buzza, Wylie",,,,,,,,,,,-,-,,,,-,,,,,,,,
"Cockatoo, Nakia",,-,-,,,,,,,,,,,,,,,,,,,,,
"Crameri, Stewart",,,,,,,-,-,-,-,,,,,,,,,,,,,,
"Cunico, Jordan",,,,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,,,,
"Dangerfield, Patrick",,-,2,-,1,-,-,-,-,2,-,-,-,2,-,2,-,-,2,3,-,3,-,17.0
"Duncan, Mitch",-,,,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,4.0
"Fogarty, Lachie",-,-,-,-,-,-,-,,,,-,-,-,-,-,,,-,-,-,,,,
"Gregson, Cory",-,-,-,-,,-,-,-,-,-,,,-,,,,,,,,,,,
"Guthrie, Cameron",-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Guthrie, Zach",-,-,-,-,,-,-,,,,,,-,,,,,,,,,,,
"Hawkins, Tom",-,-,-,-,,-,-,,-,-,-,1,-,-,-,-,3,3,-,-,2,-,-,9.0
"Henderson, Lachie",,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,
"Henry, Jack",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Horlin-Smith, George",,,,,-,-,,-,-,,,,,,,,,,,,,,,
"Jones, Jamaine",,,,,,,,,,-,-,-,,,-,-,-,,-,,,,,
"Kelly, Tim",-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,3,-,3,2,-,13.0
"Kolodjashnij, Jake",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McCarthy, Lincoln",,,,,,,,,,,-,,-,,,,,,,,,,,
"Menegola, Sam",-,-,-,-,-,-,-,3,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,7.0
"Menzel, Daniel",-,-,-,3,-,,,,,,,,,,,-,-,-,-,-,-,-,-,3.0
"Murdoch, Jordan",-,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,
"Narkle, Quinton",,,,,,,,,,,,,,-,-,-,-,-,,-,,,,
"OConnor, Mark",,-,,,,,,,,,,,,,,,,,,-,-,-,-,
"Parfitt, Brandan",-,-,-,2,-,,,,,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3.0
"Parsons, James",-,-,-,,-,-,,-,-,,,-,-,-,,,,,,-,,,,
"Ratugolea, Esava",-,,-,-,-,-,-,-,,-,,,,,,,,,,,,,,
"Selwood, Joel",2,-,-,-,3,-,-,-,-,-,2,-,3,1,3,-,-,-,-,-,-,-,-,14.0
"Selwood, Scott",,,-,-,-,,-,,,,,,,,-,-,-,-,-,-,-,-,-,
"Simpson, Sam",,,,,,,,,,,,,,,,-,,,,,,,,
"Smith, Zac",-,,,,,,,-,-,,,,,,,,,,,,,,,
"Stanley, Rhys",,-,,-,-,-,-,,,-,-,-,-,-,-,-,-,-,,-,,,,
"Stewart, Tom",-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,,-,-,1,-,4.0
"Taylor, Harry",-,,,,,,,-,-,,,,,-,-,,,,,,-,-,-,
"Thurlow, Jackson",,,,,-,-,-,-,-,,,,,,,,,,-,,-,,,
"Tuohy, Zach",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,5,1,2,6,4,2,6,4,0,5,6,4,3,3,5,2,3,5,5,5,6,6,0,88.0
Opponent,ME,HW,WC,SK,PA,SY,GW,CW,ES,CA,GC,NM,RI,WB,SY,AD,ME,BL,RI,HW,FR,GC,ME,
