Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Abbott, Ryan",,,,,,,,,,,,,,,,,,,7,,5,6,5,23.0
"Ablett, Gary",1,6,1,,,,,2,1,4,-,8,3,2,2,5,6,5,4,8,4,4,6,72.0
"Bews, Jed",1,2,-,1,1,5,2,-,2,-,-,4,3,2,1,2,1,3,2,,,4,1,37.0
"Black, Aaron",,,,,,,,,,4,3,2,,,,,,,,,,,,9.0
"Blicavs, Mark",4,4,8,2,3,4,2,5,2,-,3,-,2,4,4,3,3,2,5,2,2,6,6,76.0
"Buzza, Wylie",,,,,,,,,,,1,2,,,,4,,,,,,,,7.0
"Cockatoo, Nakia",,1,3,,,,,,,,,,,,,,,,,,,,,4.0
"Crameri, Stewart",,,,,,,3,2,2,2,,,,,,,,,,,,,,9.0
"Cunico, Jordan",,,,3,1,4,1,1,2,2,-,2,3,4,,,1,5,1,,,,,30.0
"Dangerfield, Patrick",,3,3,6,4,3,4,7,6,3,5,5,4,1,4,10,7,1,5,3,8,3,7,102.0
"Duncan, Mitch",4,,,4,3,7,3,4,4,-,1,6,2,4,1,4,2,3,1,3,6,9,3,74.0
"Fogarty, Lachie",2,3,1,3,10,4,8,,,,2,2,2,-,5,,,4,3,3,,,,52.0
"Gregson, Cory",3,2,3,2,,4,2,5,4,9,,,-,,,,,,,,,,,34.0
"Guthrie, Cameron",-,1,-,,,,,,,,,,,3,1,3,3,3,8,5,3,5,4,39.0
"Guthrie, Zach",2,1,2,1,,-,1,,,,,,4,,,,,,,,,,,11.0
"Hawkins, Tom",1,3,2,2,,2,1,,2,5,1,2,4,1,2,1,1,1,1,1,-,5,2,40.0
"Henderson, Lachie",,,,,,,,,,,,,,,,,2,-,1,7,3,3,1,17.0
"Henry, Jack",,2,1,6,1,-,3,3,4,6,1,2,4,6,1,3,7,1,3,1,3,4,4,66.0
"Horlin-Smith, George",,,,,8,1,,6,-,,,,,,,,,,,,,,,15.0
"Jones, Jamaine",,,,,,,,,,1,2,5,,,11,2,1,,4,,,,,26.0
"Kelly, Tim",2,4,5,3,5,5,3,2,3,4,4,4,6,4,5,3,2,2,3,2,6,1,3,81.0
"Kolodjashnij, Jake",1,-,1,2,1,4,1,1,2,1,-,2,2,1,3,1,3,2,5,2,3,-,4,42.0
"McCarthy, Lincoln",,,,,,,,,,,3,,1,,,,,,,,,,,4.0
"Menegola, Sam",6,-,7,6,7,6,3,2,5,10,6,2,9,6,2,3,6,-,3,6,2,4,2,103.0
"Menzel, Daniel",-,2,-,1,-,,,,,,,,,,,1,1,2,-,1,3,1,2,14.0
"Murdoch, Jordan",5,,,2,4,6,4,2,6,2,-,5,2,6,2,,,,,,5,2,5,58.0
"Narkle, Quinton",,,,,,,,,,,,,,6,1,1,3,1,,2,,,,14.0
"OConnor, Mark",,2,,,,,,,,,,,,,,,,,,3,-,1,3,9.0
"Parfitt, Brandan",4,5,4,7,7,,,,,2,7,5,3,5,1,3,2,5,5,3,6,6,5,85.0
"Parsons, James",2,1,2,,-,1,,4,5,,,2,1,3,,,,,,3,,,,24.0
"Ratugolea, Esava",-,,2,3,4,2,3,-,,1,,,,,,,,,,,,,,15.0
"Selwood, Joel",5,5,7,7,7,6,9,4,6,6,4,8,4,6,9,-,6,1,4,6,5,2,7,124.0
"Selwood, Scott",,,6,9,2,,7,,,,,,,,9,8,3,6,7,6,3,1,2,69.0
"Simpson, Sam",,,,,,,,,,,,,,,,2,,,,,,,,2.0
"Smith, Zac",2,,,,,,,2,4,,,,,,,,,,,,,,,8.0
"Stanley, Rhys",,2,,1,5,2,5,,,4,2,1,6,3,3,3,2,1,,2,,,,42.0
"Stewart, Tom",-,2,2,-,2,4,1,2,3,2,1,3,-,3,2,3,2,1,,5,1,5,2,46.0
"Taylor, Harry",-,,,,,,,-,-,,,,,3,2,,,,,,-,1,6,12.0
"Thurlow, Jackson",,,,,3,1,-,5,1,,,,,,,,,,-,,4,,,14.0
"Tuohy, Zach",-,-,2,-,3,3,-,2,4,3,-,1,-,2,-,3,1,-,1,1,1,1,1,29.0
Totals,45,51,62,71,81,74,66,61,68,71,46,73,65,75,71,68,65,49,73,75,73,74,81,1538.0
Opponent,ME,HW,WC,SK,PA,SY,GW,CW,ES,CA,GC,NM,RI,WB,SY,AD,ME,BL,RI,HW,FR,GC,ME,
