Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,QF,SF,PF,GF,Tot
"Ablett, Gary",1,1,1,-,-,-,-,,,,,,,,,,1,1,-,-,-,5.0
"Atkins, Tom",-,1,-,1,,,,,,-,-,1,-,1,1,-,,-,,,,5.0
"Bews, Jed",,1,1,1,-,2,1,-,-,-,-,-,-,2,-,2,1,-,-,-,1,12.0
"Blicavs, Mark",4,-,1,1,-,1,-,4,-,1,1,-,3,-,2,2,1,-,-,1,-,22.0
"Clark, Jordan",1,,,,,,-,,,,,,-,,,,,,,,,1.0
"Close, Brad",,,,,,,,-,-,2,2,,-,3,1,-,,,,,,8.0
"Constable, Charlie",,,,,,,,1,1,,,,,,,,,,,,,2.0
"Dahlhaus, Luke",-,-,-,1,-,-,-,,,,,,1,-,-,1,-,1,1,-,2,7.0
"Dangerfield, Patrick",2,6,1,2,2,-,-,-,2,1,2,2,-,2,2,2,3,-,2,-,3,34.0
"Duncan, Mitch",1,3,-,1,2,-,,-,-,1,-,2,-,-,-,2,-,-,-,1,-,13.0
"Fogarty, Lachie",,,,,,,,3,-,1,,3,,,1,2,,,,,,10.0
"Fort, Darcy",-,,,-,-,2,1,,,,,,,,,,,,,,,3.0
"Guthrie, Cameron",1,2,-,1,2,-,-,-,2,2,-,-,-,3,2,-,-,1,1,-,-,17.0
"Guthrie, Zach",-,,,,,,,,,1,,,,,1,,,,,,,2.0
"Hawkins, Tom",1,1,-,-,-,2,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,7.0
"Henderson, Lachie",,,,,,,,-,1,-,-,-,-,-,1,-,-,-,1,-,-,3.0
"Henry, Jack",-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,1,1,2,-,-,-,7.0
"Jarvis, Ben",,,,,,,,,,,,,,,,-,,,,,,
"Jenkins, Josh",,,,,,,,,,,,,,,1,,,,,,,1.0
"Kolodjashnij, Jake",,,,-,-,-,-,-,-,,2,-,-,-,-,-,-,-,-,-,-,2.0
"Menegola, Sam",1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,3.0
"Miers, Gryan",-,-,-,-,-,1,-,-,2,-,-,2,1,1,1,-,2,-,-,-,2,12.0
"Narkle, Quinton",-,1,2,,1,-,,,,,,,,,,,,,,,,4.0
"OConnor, Mark",1,-,-,1,-,1,-,2,-,-,1,-,-,1,-,2,-,-,1,-,1,11.0
"Parfitt, Brandan",,1,,2,1,3,-,-,1,,-,-,1,-,-,-,1,-,2,1,-,13.0
"Ratugolea, Esava",1,1,1,-,1,2,2,1,1,,,,1,,,2,1,,,,,14.0
"Rohan, Gary",-,-,1,2,-,-,-,2,-,,2,2,1,1,-,,1,1,-,1,1,15.0
"Selwood, Joel",-,2,2,1,1,2,-,,,-,1,-,,,,,2,3,1,2,3,20.0
"Simpson, Sam",,,,,,1,2,1,-,1,,-,,,,,,,2,-,-,7.0
"Stanley, Rhys",,1,2,,,,,,,2,1,1,-,-,,,,3,1,-,1,12.0
"Steven, Jack",,,1,1,1,,2,,,1,2,,1,2,,,1,,,,,12.0
"Stewart, Tom",-,-,1,-,,,,-,-,1,-,-,-,-,-,-,1,-,-,-,1,4.0
"Taylor, Harry",1,-,1,,-,1,2,2,-,-,-,-,,-,1,1,-,2,-,1,1,13.0
"Tuohy, Zach",-,1,-,-,-,1,-,-,2,-,-,-,,-,,-,-,1,1,-,-,6.0
Totals,15,22,15,16,11,20,10,17,12,16,14,13,10,16,15,17,17,15,13,7,16,307.0
Opponent,GW,HW,CA,ME,GC,BL,CW,FR,WC,NM,SK,PA,AD,WB,ES,RI,SY,PA,CW,BL,RI,
