Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,Tot
"Atkins, Tom",4,4,4,2,7,5,6,5,6,3,6,6,1,4,6,7,76.0
"Bews, Jed",-,-,1,-,,,-,1,-,-,2,1,1,-,-,,6.0
"Blicavs, Mark",4,4,1,-,8,6,6,5,2,5,7,4,5,5,7,5,74.0
"Bowes, Jack",,3,1,2,4,2,-,,,,,,-,4,-,2,18.0
"Bruhn, Tanner",3,2,2,,,,3,4,4,4,3,1,2,6,3,1,38.0
"Cameron, Jeremy",2,1,-,1,1,-,2,1,2,1,-,1,1,-,,,13.0
"Ceglar, Jonathon",,,5,,,,,4,6,5,5,3,,,,,28.0
"Clark, Jhye",,,,,,,,,1,,,,,,,,1.0
"Close, Brad",2,-,-,1,1,-,2,1,,2,2,2,1,3,1,1,19.0
"Dangerfield, Patrick",6,8,2,10,6,7,10,3,,,,,3,,5,9,69.0
"De Koning, Sam",-,1,-,,-,-,2,,,,-,1,-,1,-,-,5.0
"Dempsey, Oliver",,,,,,,,1,-,-,,,,,,-,1.0
"Duncan, Mitch",,,,-,-,1,2,2,5,,,,-,1,-,3,14.0
"Guthrie, Cameron",3,2,1,5,3,5,,,,,,,,,,,19.0
"Guthrie, Zach",-,-,-,-,1,-,1,2,-,-,-,1,-,-,1,1,7.0
"Hawkins, Tom",-,-,-,1,2,1,-,1,-,3,-,1,-,-,1,1,11.0
"Henry, Jack",,,,,,,,,,-,-,1,-,-,-,1,2.0
"Henry, Oliver",2,-,-,1,-,-,1,-,-,,-,-,2,1,-,-,7.0
"Holmes, Max",2,4,2,4,6,2,3,5,3,5,,,7,2,1,4,50.0
"Knevitt, Mitch",,,,,,-,-,1,1,1,-,2,,,,,5.0
"Kolodjashnij, Jake",,,,-,-,-,-,-,-,-,1,-,-,-,-,,1.0
"Miers, Gryan",1,1,2,1,1,2,3,-,4,3,1,2,2,4,3,2,32.0
"Mullin, Oisin",,,,,,,,,,,-,1,,,,-,1.0
"OConnor, Mark",-,-,-,1,2,2,2,1,3,1,2,3,2,1,,2,22.0
"Parfitt, Brandan",2,,,,1,,,,1,2,2,,,,,,8.0
"Ratugolea, Esava",-,-,-,-,-,-,-,-,1,-,-,,,,-,-,1.0
"Rohan, Gary",-,-,-,-,,-,-,,,,,1,1,-,-,-,2.0
"Simpson, Sam",,,,,,-,-,-,1,-,,-,,,,,1.0
"Smith, Isaac",1,1,-,2,1,1,2,2,3,1,3,-,-,-,1,,18.0
"Stanley, Rhys",2,3,,2,4,,,,,,,,,2,2,3,18.0
"Stengle, Tyson",1,-,1,-,1,,,,,2,1,3,-,-,-,1,10.0
"Stewart, Tom",-,,1,-,-,1,1,-,1,-,-,1,-,-,-,1,6.0
"Tuohy, Zach",-,1,-,2,2,1,,3,3,1,1,-,1,1,-,1,17.0
"Whyte, Cooper",,-,,,,,,,,,,,,,,,
Totals,35,35,23,35,51,36,46,42,47,39,36,35,29,35,31,45,600.0
Opponent,CW,CA,GC,HW,WC,SY,ES,AD,RI,FR,GW,WB,PA,ME,SY,NM,
