Player,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,Tot
"Ablett, Gary",3,5,,2,6,5,13,8,8,6,5,8,8,-,5,11,7,,6,8,6,13,133.0
"Ablett, Nathan",,,,,,,,,,,,,,,,,,,,-,-,,
"Bennell, Harley",2,3,,-,-,,,,4,,,,,2,1,2,1,-,1,-,-,2,18.0
"Bock, Nathan",-,-,-,-,,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,4.0
"Brennan, Jared",-,6,5,8,-,14,1,3,-,2,-,4,5,4,2,3,2,5,4,5,-,1,74.0
"Brown, Campbell",1,-,,,,,-,1,-,-,-,-,-,-,1,1,1,-,,,,,5.0
"Caddy, Josh",,,,,,,,,,,,,,,,,,,,,2,1,3.0
"Coad, Michael",,-,2,,,,,,,,,,,,,,,,,,,,2.0
"Day, Sam",,,,,,-,-,-,-,-,-,,-,,,,,,,,,,
"Daye, Joseph",,,,,,-,-,,,,,,,,,,,,-,3,,,3.0
"Dixon, Charlie",-,-,-,1,-,,,2,,,,-,,-,-,,,,1,,,,4.0
"Fraser, Josh",3,,2,3,1,,,,2,3,3,2,3,,3,8,3,2,2,-,,3,43.0
"Gillbee, Jacob",,,,,,,,,,,,,,,,,,,,,,1,1.0
"Gorringe, Daniel",,1,2,-,,-,,,,,2,,1,2,,,,,,,,,8.0
"Harbrow, Jarrod",1,-,1,-,1,2,2,3,1,-,-,1,-,1,-,-,2,4,1,1,1,-,22.0
"Harris, Daniel",9,5,5,4,4,5,,1,3,7,3,,,,,,,-,,,,,46.0
"Hickey, Tom",,,,,,,,,,,,,,,,,,,,1,1,,2.0
"Hine, Taylor",,,,,,,,,-,,,,,,,,,,,,,,
"Hunt, Karmichael",-,1,-,-,-,-,1,-,,,3,1,1,1,,,-,,,1,-,-,9.0
"Hutchins, Jack",,,,-,-,-,,,,,-,-,2,,,,,,,,,,2.0
"Iles, Sam",,,,2,2,1,3,2,-,3,2,5,4,1,3,1,,-,1,,3,,33.0
"Jolly, Hayden",,,,,,,,,,,,-,-,1,-,,1,2,,,,,4.0
"Krakouer, Nathan",-,-,,,,3,1,-,1,1,-,1,,,,2,2,2,-,,,,13.0
"Liddy, Rex",,,,,,,,,,-,-,,,,-,-,,,,,,,
"Lock, Marc",1,,,,,,,,,,,,,,,,,,,,,,1.0
"Lynch, Tom",,,,,,1,-,-,-,-,-,-,,-,1,-,-,-,-,,,,2.0
"Magin, Alik",-,-,-,,,,,,,,,,,,,,,,,,,,
"Matera, Brandon",-,-,-,2,-,-,-,1,,,,,1,2,,,,,,,1,1,8.0
"May, Steven",,,,,-,,-,-,-,-,,,,,,,1,1,-,-,,,2.0
"McKenzie, Trent",1,-,-,1,2,4,3,1,1,3,1,,2,1,3,2,1,-,1,1,-,3,31.0
"Nicholls, Tom",,,,,,,6,,,,,,,,,,,,,,,,6.0
"Patrick, Liam",,,,,1,-,-,,,,,,,,,,,,,,,,1.0
"Prestia, Dion",2,-,1,,,,,3,1,3,4,2,3,5,2,-,2,,2,3,7,2,42.0
"Rischitelli, Michael",6,3,4,9,3,8,4,4,7,6,6,4,,3,2,1,4,3,3,1,6,8,95.0
"Russell, Luke",,,-,-,-,,,,,1,-,-,-,-,,,,,,-,2,1,4.0
"Shaw, Matt",,,-,,-,-,1,1,,,1,-,-,,-,-,-,,-,-,1,-,4.0
"Smith, Zac",2,3,1,2,3,6,3,2,6,6,,3,1,1,2,2,1,2,1,,3,3,53.0
"Stanley, Danny",3,1,3,2,1,2,8,1,1,5,2,5,3,2,-,1,1,1,-,4,5,-,51.0
"Swallow, David",5,6,2,4,5,8,5,4,3,3,,1,6,3,3,3,1,4,2,1,2,6,77.0
"Tape, Seb",-,-,2,2,2,,2,,-,-,,,-,,,,,1,-,-,-,,9.0
"Taylor, Jeremy",,,,,,,,,,,,,,,,,-,-,,,,,
"Thompson, Rory",,,,,,,,,,,,,,1,-,1,-,1,,-,-,-,3.0
"Tippett, Joel",,,,,,,,,,,,,,,,,,,,1,,-,1.0
"Toy, Josh",-,,1,2,2,-,,,,,,,,,-,-,,,,,,-,5.0
"Weller, Maverick",,1,1,1,,,,2,1,1,2,1,,,,2,-,1,2,-,-,-,15.0
"Wilkinson, Joel",,,,,,,,,,,,-,1,1,-,-,,2,1,,,,5.0
Totals,39,35,32,45,33,60,53,39,39,50,34,38,42,31,28,40,31,31,28,30,41,45,844.0
Opponent,CA,WB,ME,PA,ES,BL,AD,GE,WC,NM,HW,WB,FR,SY,RI,CW,SK,GE,BL,AD,ME,HW,
