Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Adams, Taylor",,,,,-,-,1,1,1,1,1,-,,1,3,,-,1,,4,1,3,18.0
"Aylett, Kurt",,,,,,,,,,,,,,,,2,,,,,,,2.0
"Brogan, Dean",,,-,6,,1,,,,,1,1,2,,2,,,1,,,,3,17.0
"Bruce, Josh",,,,,-,,,,,,,,,,,-,1,,,,,,1.0
"Bugg, Tomas",1,-,2,1,3,-,-,,1,1,3,-,-,1,,2,-,3,2,,-,,20.0
"Buntine, Matt",,,,,,,,1,,,,,,,,,,1,1,2,1,-,6.0
"Cameron, Jeremy",1,1,-,,2,,-,-,-,-,3,2,-,2,1,,2,4,2,,,,20.0
"Clifton, Steve",,,,,,,,,,,,,,,-,-,,,2,-,,2,4.0
"Coniglio, Stephen",-,1,2,,-,-,-,2,-,-,,,,2,-,,,1,,,,,8.0
"Cooyou, Rhys",,,,,,,,,,,,,,,,,,,,,-,,
"Cornes, Chad",1,-,-,-,,,-,-,-,3,2,,1,1,-,,,-,-,1,,2,11.0
"Darley, Sam",,,,,,,,-,1,-,3,1,,,-,,,,3,-,1,,9.0
"Davis, Phil",1,1,1,1,2,1,2,1,-,-,2,1,1,1,1,1,-,1,-,1,-,1,20.0
"Edwards, Shaun",,,,-,-,,,,,,-,-,-,-,-,,-,,1,1,,,2.0
"Folau, Israel",1,1,-,-,1,,1,-,,,,,,,-,2,-,,1,-,,-,7.0
"Frost, Sam",,,,,,,,,,,,,,,,2,-,1,,,,,3.0
"Giles, Jonathan",1,2,4,2,2,1,1,2,4,1,,2,2,3,,3,1,4,3,5,1,1,45.0
"Golds, Tim",,,,,,,,,,,,,,,,,,,-,-,,,
"Greene, Toby",4,-,-,,3,1,2,-,,4,1,1,1,5,2,2,-,1,,3,2,2,34.0
"Hampton, Curtly",1,-,1,-,1,-,,,2,,,,1,2,1,-,1,-,1,1,-,-,12.0
"Haynes, Nick",,,,,,,,,,2,,,,-,-,1,-,,,-,-,1,4.0
"Hombsch, Jack",1,1,1,5,2,1,,,,,,-,,,,,,,-,,,-,11.0
"Hoskin-Elliott, Will",-,1,,,,,,-,,,,,,,,1,-,-,1,2,-,2,7.0
"Kennedy, Adam",1,1,-,1,,-,-,,-,,,,1,1,1,,,1,-,-,1,1,9.0
"McDonald, James",1,,,-,1,-,,,2,2,3,4,1,1,,,,,,1,-,-,16.0
"Miles, Anthony",,,,-,,,,,,,,,,,,2,1,3,2,2,1,,11.0
"Mohr, Tim",-,-,-,-,,1,-,-,-,1,1,1,-,1,,,,,,,,,5.0
"OhAilpin, Setanta",,,,,,1,,,,,,,,,,,,,,,,,1.0
"Palmer, Rhys",3,-,2,1,,1,3,2,,,-,1,4,1,-,1,2,,,,,-,21.0
"Patton, Jonathon",,,,,,,,,,,1,-,1,-,-,,-,1,,,,,3.0
"Phillips, Andrew",,,,,,,-,1,2,4,1,,,-,,,,,1,5,1,,15.0
"Power, Luke",,-,1,-,1,-,-,-,1,2,1,-,2,,2,2,1,1,-,-,1,2,17.0
"Reid, Sam",,,,,-,-,,2,1,-,,,,,,,,,,,,,3.0
"Schulz, Sam",,,,,,,,,,,-,,,,,,,,,,,,
"Scully, Tom",,1,1,-,1,-,1,2,1,1,1,3,1,,3,1,-,1,1,1,,-,20.0
"Shiel, Dylan",1,-,-,-,2,-,1,,3,-,1,1,-,,,,,,,,,,9.0
"Smith, Devon",-,2,1,1,1,2,-,,1,2,1,1,-,1,1,,1,-,-,1,1,1,18.0
"Sumner, Liam",,,,,,1,1,,,,,,,,,,,,,,,,2.0
"Tomlinson, Adam",-,,1,-,-,,,-,,,,,-,-,,,,,-,,2,,3.0
"Townsend, Jacob",2,3,-,2,2,,-,,2,-,,,,,,-,-,-,,,,,11.0
"Treloar, Adam",,,-,-,-,,1,-,4,-,-,-,1,-,2,-,1,1,2,,1,-,13.0
"Tyson, Dom",-,-,,,,-,-,-,1,-,,,,,,,,,,-,-,-,1.0
"Ugle, Gerald",,,,,,,,,,,,,,,,-,,,,,,,
"Ward, Callan",3,2,1,4,-,3,1,2,1,1,1,1,-,1,2,2,-,4,,,1,3,33.0
"Whiley, Mark",,,,,,,,,,,-,-,,,,-,,,,,,,
"Wilson, Nathan",1,2,,,,,,1,,,,2,-,-,-,-,,,,,-,,6.0
Totals,24,19,18,24,24,14,15,17,28,25,27,22,19,24,21,24,11,30,23,30,15,24,478.0
Opponent,SY,NM,WC,AD,WB,CA,GC,BL,ES,GE,RI,ME,SY,HW,AD,FR,CW,PA,GC,ME,SK,NM,
