Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Bonar, Aiden",,,,,,,,,,,,,,,,,,,2,3,,,,,,,5.0
"Buntine, Matt",,8,-,4,4,5,3,4,,,,,6,,,2,,,,,,,,,,,36.0
"Caldwell, Jye",,,,,,,,,,,,,,,,,,,,5,2,,,,,,7.0
"Cameron, Jeremy",5,7,9,8,6,8,11,4,8,8,8,6,4,6,3,6,9,1,,1,,12,8,6,6,7,157.0
"Coniglio, Stephen",9,-,2,4,4,5,2,2,,3,13,5,2,7,5,-,,,,,,,,,,,63.0
"Corr, Aidan",,,,,,5,2,,,,,,,,,,,,,,3,2,3,3,5,4,27.0
"Cumming, Isaac",,,,,,,2,,,3,5,2,,,,,,,,,,3,,,,,15.0
"Daniels, Brent",3,3,-,3,6,2,7,1,1,1,4,1,1,5,4,8,3,2,2,4,4,6,3,-,1,5,80.0
"Davis, Phil",4,2,7,8,11,,,8,13,4,10,8,7,6,10,3,,13,4,5,8,11,4,6,1,9,162.0
"Deledio, Brett",6,4,,,,,,,3,3,5,6,9,5,8,6,3,,7,2,,,4,,,,71.0
"Finlayson, Jeremy",5,7,5,5,5,3,4,9,3,9,12,3,3,11,-,,7,5,6,,,7,3,3,2,1,118.0
"Greene, Toby",5,,,,,7,5,5,8,6,3,,5,4,6,6,6,8,8,8,2,,5,2,,5,104.0
"Hately, Jackson",,,,,6,,6,,,,,,,6,3,,,7,1,4,,,,,,,33.0
"Haynes, Nick",,7,6,6,3,12,9,6,9,8,7,10,,2,8,11,7,10,12,7,9,,2,6,9,15,181.0
"Hill, Bobby",,,,,,,,,,,,,,,,1,3,-,4,1,3,3,,,3,,18.0
"Himmelberg, Harry",3,4,4,4,1,5,2,5,6,7,5,5,6,8,4,4,9,2,2,,6,2,2,-,2,7,105.0
"Hopper, Jacob",6,5,2,3,1,7,4,1,1,2,7,4,2,1,4,4,1,2,7,,,,3,3,1,2,73.0
"Idun, Connor",,,,,,,,,,,,,,,,,,,3,,,,,,,,3.0
"Keeffe, Lachlan",2,4,,,,,,,,,7,,,,,,6,4,3,2,2,3,,,3,,36.0
"Kelly, Josh",,,3,6,4,2,,4,7,3,7,5,7,6,1,,,,,,-,6,1,3,2,2,69.0
"Kennedy, Adam",6,10,7,8,5,7,3,5,8,2,8,5,1,2,6,2,,,,5,3,4,3,5,3,4,112.0
"Langdon, Zac",,,,,,,,3,,,,,,2,1,,,,,,,,,,,,6.0
"Lloyd, Daniel",4,1,3,7,2,2,5,3,4,,,5,,,,1,-,3,,,,3,3,2,3,1,52.0
"Mumford, Shane",,,2,5,2,2,1,,2,2,-,-,1,2,,,-,1,1,1,,2,-,2,-,-,26.0
"Perryman, Harry",3,,,,,,,,10,6,7,7,6,4,3,6,4,6,4,8,4,6,4,2,6,4,100.0
"Reid, Sam",4,6,4,3,4,1,10,4,5,5,9,6,3,5,4,3,6,9,10,5,5,8,-,1,3,2,125.0
"Shaw, Heath",7,5,6,6,7,5,5,11,11,7,9,11,1,4,3,4,10,6,10,5,5,8,9,3,5,14,177.0
"Sheridan, Tom",,,1,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Simpson, Dawson",2,1,,,,,,1,,,,,,,-,1,-,1,,6,-,,,,,,12.0
"Sproule, Zach",,,,,,,,,,,,,,,,,,,,,4,,,,,,4.0
"Stein, Jake",,,,,,,,,,,,,2,,,,3,,3,4,4,,,,,,16.0
"Taranto, Tim",3,3,1,4,3,4,5,8,12,6,1,5,9,6,2,4,5,2,5,5,4,4,7,2,5,5,120.0
"Taylor, Sam",3,1,3,6,4,2,5,3,5,5,,5,4,-,3,4,7,2,,,,5,4,3,6,4,84.0
"Tomlinson, Adam",8,6,5,8,4,9,7,8,14,5,4,7,1,5,7,7,7,6,7,2,4,9,,2,7,6,155.0
"Ward, Callan",,,,-,,,,,,,,,,,,,,,,,,,,,,,
"Whitfield, Lachie",7,13,12,10,10,3,,,18,8,6,,,,,8,4,6,9,7,6,8,7,1,,3,146.0
"Williams, Zac",4,5,7,3,8,3,8,7,2,,,5,6,7,7,4,4,6,10,2,4,4,2,5,6,4,123.0
"de Boer, Matt",-,7,3,2,1,4,2,1,4,4,2,2,1,,,,,,,,3,3,1,2,1,3,46.0
Totals,99,109,92,113,101,103,108,103,154,107,139,113,87,104,92,95,104,102,120,92,85,119,78,62,80,107,2668.0
Opponent,ES,WC,RI,GE,FR,SY,SK,HW,CA,ME,GC,AD,NM,ES,BL,RI,CW,PA,SY,HW,WB,GC,WB,BL,CW,RI,
