Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,GF,Tot
"Bonar, Aiden",,,,,,,,,,,,,,,,,,,3,2,,,,,,,5.0
"Buntine, Matt",,2,4,1,3,3,-,-,,,,,4,,,2,,,,,,,,,,,19.0
"Caldwell, Jye",,,,,,,,,,,,,,,,,,,,6,3,,,,,,9.0
"Cameron, Jeremy",-,1,-,-,-,5,-,-,-,1,1,2,1,3,2,2,2,1,,4,,1,3,2,1,1,33.0
"Coniglio, Stephen",7,1,5,4,3,3,3,-,,3,8,3,6,2,11,-,,,,,,,,,,,59.0
"Corr, Aidan",,,,,,-,3,,,,,,,,,,,,,,3,-,1,3,2,1,13.0
"Cumming, Isaac",,,,,,,-,,,5,5,2,,,,,,,,,,1,,,,,13.0
"Daniels, Brent",7,-,4,3,1,-,-,2,1,5,3,2,4,3,4,2,5,3,2,8,4,3,3,5,3,4,81.0
"Davis, Phil",3,-,3,6,1,,,4,1,3,1,1,-,2,1,3,,1,2,1,1,4,-,1,3,-,42.0
"Deledio, Brett",7,2,,,,,,,5,1,2,1,1,2,3,1,2,,4,1,,,4,,,,36.0
"Finlayson, Jeremy",-,1,2,-,3,3,1,1,4,1,3,-,2,-,-,,2,1,2,,,4,-,3,1,1,35.0
"Greene, Toby",-,,,,,3,1,3,1,3,2,,4,4,1,6,4,6,6,5,4,,3,4,,4,64.0
"Hately, Jackson",,,,,3,,3,,,,,,,5,2,,,2,5,4,,,,,,,24.0
"Haynes, Nick",,-,1,2,3,3,2,1,1,-,2,2,,1,-,3,1,1,4,2,-,,1,1,3,1,35.0
"Hill, Bobby",,,,,,,,,,,,,,,,1,3,4,1,4,3,4,,,2,,22.0
"Himmelberg, Harry",-,-,1,3,1,4,1,3,1,1,2,1,2,1,7,1,3,2,4,,1,-,3,1,4,1,48.0
"Hopper, Jacob",3,2,2,6,2,3,5,-,6,3,5,3,8,4,7,3,3,7,4,,,,4,3,3,9,95.0
"Idun, Connor",,,,,,,,,,,,,,,,,,,2,,,,,,,,2.0
"Keeffe, Lachlan",2,3,,,,,,,,,2,,,,,,2,3,1,1,2,1,,,-,,17.0
"Kelly, Josh",,,7,4,5,6,,9,3,10,5,4,7,5,5,,,,,,4,4,2,2,8,6,96.0
"Kennedy, Adam",1,-,1,3,-,1,-,4,1,1,-,1,3,-,2,1,,,,4,4,2,1,6,3,4,43.0
"Langdon, Zac",,,,,,,,4,,,,,,5,5,,,,,,,,,,,,14.0
"Lloyd, Daniel",2,-,4,2,3,4,4,3,2,,,5,,,,-,3,3,,,,4,1,1,2,1,44.0
"Mumford, Shane",,,6,1,5,6,3,,5,3,3,4,6,4,,,1,2,5,1,,7,4,9,8,1,84.0
"Perryman, Harry",-,,,,,,,,2,4,6,1,2,4,4,2,1,2,2,2,2,2,4,8,8,3,59.0
"Reid, Sam",3,3,2,2,-,3,2,4,3,2,3,2,2,1,3,2,4,1,3,4,2,1,1,2,6,3,64.0
"Shaw, Heath",1,1,3,4,1,1,2,2,4,1,-,-,3,1,3,2,2,1,3,5,2,5,2,3,5,3,60.0
"Sheridan, Tom",,,-,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Dawson",3,3,,,,,,-,,,,,,,4,1,5,2,,4,2,,,,,,24.0
"Sproule, Zach",,,,,,,,,,,,,,,,,,,,,-,,,,,,
"Stein, Jake",,,,,,,,,,,,,8,,,,2,,4,5,3,,,,,,22.0
"Taranto, Tim",10,5,6,9,6,10,3,4,4,8,4,7,10,4,7,4,14,5,4,6,6,5,5,5,6,7,164.0
"Taylor, Sam",3,1,2,3,1,2,1,3,1,2,,3,2,-,3,2,1,-,,,,-,2,-,3,1,36.0
"Tomlinson, Adam",1,3,1,5,4,4,5,3,1,3,3,2,5,5,1,1,4,1,1,2,-,3,,3,3,-,64.0
"Ward, Callan",,,,-,,,,,,,,,,,,,,,,,,,,,,,
"Whitfield, Lachie",2,-,4,3,3,1,,,4,2,3,,,,,3,5,2,3,1,2,5,6,3,,1,53.0
"Williams, Zac",2,1,-,-,1,-,1,1,1,,,3,3,1,4,2,10,3,6,5,5,6,3,6,6,5,75.0
"de Boer, Matt",6,1,6,5,2,5,6,4,6,6,9,3,6,,,,,,,,5,8,8,6,8,-,100.0
Totals,63,30,64,66,51,70,46,55,57,68,72,52,89,57,79,44,79,53,71,77,58,70,61,77,88,57,1654.0
Opponent,ES,WC,RI,GE,FR,SY,SK,HW,CA,ME,GC,AD,NM,ES,BL,RI,CW,PA,SY,HW,WB,GC,WB,BL,CW,RI,
