Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Albiston, David",,-,-,-,2,1,1,1,1,1,2,,,,,,,,9.0
"Arthur, Graham",,4,2,2,4,3,1,2,4,1,1,2,,2,4,2,2,-,36.0
"Beck, Ken",-,3,-,3,3,-,3,,,1,4,,4,,-,,,,21.0
"Browne, Morton",4,3,2,1,1,1,2,,,4,3,-,,1,2,1,2,1,28.0
"Browne, Richard",,,,,,,,,,,6,-,2,,,-,,,8.0
"Burgess, Greg",,,,,-,-,,,,,,,1,,,,,,1.0
"Crimmins, Peter",1,-,1,1,3,1,2,1,6,2,2,,,1,1,3,2,-,27.0
"Demaine, Mike",2,,,,,,,,,,,,,,,,,,2.0
"Dickson, Des",1,3,1,1,3,1,2,-,-,3,1,4,1,,,,-,2,23.0
"Dunshea, John",,,,,,,,,-,,,,1,,,,,2,3.0
"Ferguson, Neil",,,,2,-,,-,-,3,2,-,,,1,3,-,1,2,14.0
"Gardner, John",1,-,4,-,1,-,3,-,2,1,3,3,1,1,2,1,1,-,24.0
"Gay, Terry",,,5,-,2,3,2,6,1,-,,,,2,3,2,4,1,31.0
"Gordes, Norm",,,-,,,,,,,,,-,-,,,,,,
"Growcott, Ross",4,1,-,2,-,-,-,-,,,1,2,2,1,1,,,,14.0
"Hay, Phil",3,-,,,,,,,-,1,1,-,,1,2,3,2,,13.0
"Johnson, Ted",,,,,,,,,,,,,,,-,-,,-,
"Keddie, Bob",-,-,5,-,,,,,,,,3,,,,2,5,5,20.0
"Lade, Phil",,,-,1,1,-,2,-,,,-,-,-,2,2,4,1,-,13.0
"Law, Ian",,2,4,,-,,,,,,,2,,,,,,,8.0
"McLean, Kevin",2,1,1,-,1,-,,1,2,1,1,2,,2,-,,-,1,15.0
"McPherson, Cam",2,,,,,,-,,,,,,,,,,,,2.0
"Meagher, Des",4,-,,1,,2,1,-,3,-,4,4,3,3,-,3,2,-,30.0
"Nalder, Ron",3,-,-,,,,,2,2,,,1,-,,,,,-,8.0
"Olsson, Rod",1,2,4,1,4,-,2,2,1,,1,3,,,,,,,21.0
"Parkin, David",4,2,3,1,,,,-,-,3,4,,2,4,1,2,7,6,39.0
"Peck, John",2,3,,,2,2,2,1,1,1,2,4,3,2,3,5,4,1,38.0
"Poole, Reg",5,,,,2,1,1,-,2,1,1,1,2,1,1,-,2,1,21.0
"Porter, Michael",2,1,1,2,1,2,2,1,3,-,,,1,-,1,1,2,2,22.0
"Reid, Bruce",,,,,,,,,,,,,1,1,,,,,2.0
"Robson, Rodney",,,,,,,,,,,,,1,-,,2,-,,3.0
"Smith, Wes",3,2,-,1,,,,,,,,,,2,1,1,2,2,14.0
"Stafford, Geoff",,,,,,,,,,1,,3,3,1,1,4,-,,13.0
"Tickell, John",,,,-,-,-,1,-,3,2,1,1,1,,,,,,9.0
"Wilson, Ray",1,1,1,1,2,2,2,-,2,2,3,2,-,1,2,1,-,6,29.0
"Wynd, Phil",,,,,,-,2,-,-,-,,,,,,,,,2.0
Totals,45,28,34,20,32,19,31,17,36,27,41,37,29,29,30,37,39,32,563.0
Opponent,CW,ME,SM,NM,FO,ES,SK,FI,CA,GE,RI,CW,ME,SM,NM,FO,ES,SK,
