Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Barker, John",2,,-,-,1,1,1,2,-,-,3,-,,1,-,-,-,,,,,,11.0
"Barlow, Kris",-,1,-,1,,2,1,-,1,-,1,-,2,-,-,1,1,1,-,2,,1,15.0
"Bateman, Chance",,1,1,-,1,-,1,2,,,,,,,,,,,2,1,1,-,10.0
"Brown, Campbell",,,,,,,,,,,-,4,2,-,-,1,1,4,2,1,1,1,17.0
"Campbell, Robert",,,,,-,-,-,1,2,,-,,,,,,,-,,,,,3.0
"Chick, Daniel",1,2,-,-,-,1,1,1,1,1,3,-,1,2,-,2,1,1,2,1,-,-,21.0
"Clarke, Tim",-,-,,,,,,,1,,,,,,-,,-,,,,,,1.0
"Cox, Adrian",1,2,-,-,-,-,-,-,-,-,,-,1,1,1,1,,1,1,-,,,9.0
"Cox, Simon",,1,-,1,-,2,-,-,-,-,-,-,-,1,-,1,2,2,1,2,1,1,15.0
"Crawford, Shane",1,2,1,1,-,2,1,2,-,1,1,1,1,1,1,-,1,1,1,-,-,5,24.0
"Dixon, Ben",-,1,-,-,-,-,-,-,1,-,1,-,-,1,-,1,,1,-,-,-,,6.0
"Graham, Mark",-,-,2,3,-,-,-,2,2,1,1,1,1,-,-,1,-,-,1,-,-,1,16.0
"Greene, Steven",1,2,-,1,,,,,,,-,1,-,1,-,-,1,-,,,,3,10.0
"Harford, Daniel",1,3,-,-,-,2,-,-,1,-,,,-,,,,,,,,,,7.0
"Hay, Jonathan",,,1,1,-,-,,-,-,1,-,-,-,1,-,1,1,-,,-,-,-,6.0
"Hodge, Luke",,,,,-,-,,-,,,1,1,1,-,-,2,2,2,-,-,1,2,12.0
"Holland, Nick",3,-,2,2,2,1,1,-,4,2,1,-,,1,2,3,-,2,2,1,1,1,31.0
"Johnson, Brett",,-,,,,,-,-,,,,-,1,2,-,-,1,-,,,-,,4.0
"Lekkas, Angelo",-,-,2,1,-,1,-,1,1,-,,,,,,-,2,1,-,-,1,-,10.0
"Loats, David",,,,,,,,,,,,1,,,,,,,,,-,1,2.0
"Lonie, Nathan",-,,,,,,,,-,-,-,,,-,2,-,-,3,-,-,-,-,5.0
"McCabe, Luke",-,,1,1,-,1,-,-,2,2,1,,,,,,,,,,2,-,10.0
"Mitchell, Sam",,,,,-,,,,,,-,-,-,-,,,,,-,1,1,2,4.0
"Osborne, Michael",,,,,,,,,,1,,,,,,,,,,,,,1.0
"Picioane, Lance",-,1,,1,1,-,-,,1,-,,-,-,,,,,,-,,,,4.0
"Rawlings, Jade",1,-,-,1,-,-,-,-,2,1,-,3,-,-,-,-,1,-,-,-,-,2,11.0
"Rehn, Shaun",-,1,-,1,,,4,,,2,1,,-,1,2,1,2,1,-,1,-,1,18.0
"Ries, Nick",,,,-,1,-,-,-,-,-,,-,-,-,-,-,-,1,1,2,1,-,6.0
"Smith, Joel",1,-,1,-,,,,,,,1,,,,,,,,,,,,3.0
"Stone, Nick",,1,,,,,-,1,,,1,-,1,,,,,,-,-,,,4.0
"Tallis, Rayden",1,1,,,1,-,-,1,-,-,1,5,-,2,1,-,-,2,-,1,-,2,18.0
"Thompson, Nathan",-,-,3,2,2,-,,,2,-,,,-,-,1,-,-,1,-,1,1,-,13.0
"Vandenberg, Richard",1,-,-,-,-,-,1,2,-,1,-,-,-,1,1,-,-,-,-,-,1,-,8.0
"Williams, Mark",-,,-,,,,,,,,,,,,,,-,,,,,,
"Woods, Tony",,,-,,,,,,,,,,,,,,,,,,,,
Totals,14,19,14,17,9,13,11,15,21,13,17,17,11,16,11,15,16,24,13,14,12,23,335.0
Opponent,ME,BL,FR,CW,RI,KA,GE,CA,WC,PA,AD,ES,SK,SY,WB,ME,BL,FR,CW,RI,KA,GE,
