Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Birchall, Grant",18,6,17,11,16,13,18,13,13,14,13,12,18,9,4,15,13,12,18,11,18,18,17,9,18,344.0
"Breust, Luke",11,7,12,6,7,6,12,7,10,7,2,10,11,8,5,10,9,7,8,10,4,7,7,5,11,199.0
"Burgoyne, Shaun",10,21,11,13,7,13,24,13,14,11,7,8,12,10,10,10,11,11,6,12,10,13,8,8,11,284.0
"Ceglar, Jonathon",,,1,5,,,,,7,5,5,10,5,9,4,7,2,,,,5,6,3,5,,79.0
"Cheney, Kyle",5,9,12,11,10,,,9,,13,4,8,,,,,,,,,,,,,,81.0
"Dewar, Angus",,4,2,,,,6,,,12,10,5,13,10,6,6,8,7,,,,7,,,,96.0
"Duryea, Taylor",12,4,19,11,8,11,8,10,12,8,14,10,7,3,7,8,,14,8,9,,12,5,11,5,216.0
"Gibson, Josh",5,16,12,17,8,8,16,7,,,,,,,,,10,4,8,14,13,17,15,7,13,190.0
"Gunston, Jack",12,11,12,19,10,8,11,8,12,9,8,,10,12,13,8,6,7,,7,9,15,11,9,11,238.0
"Hale, David",8,4,8,4,5,7,4,5,2,2,,3,4,5,1,,,2,5,6,7,8,4,5,2,101.0
"Hallahan, Mitch",,,,,4,12,5,6,9,6,,,,,,,,,,,,,,,,42.0
"Hartung, Billy",,,,,,,16,3,11,7,2,,,,,,,,1,,,6,,,,46.0
"Hill, Bradley",11,14,19,15,12,10,12,13,8,10,11,13,8,9,,,8,9,10,8,10,,20,13,13,256.0
"Hodge, Luke",15,10,,23,13,21,23,,11,14,17,15,18,21,17,18,16,18,12,20,12,,16,19,21,370.0
"Lake, Brian",,,,,,8,4,,,,,,7,9,10,,,,,8,11,7,4,2,10,80.0
"Langford, Will",12,8,5,8,4,8,,15,5,11,,,,,,8,7,7,11,10,10,4,8,9,16,166.0
"Lewis, Jordan",14,7,19,16,7,14,10,11,16,,11,7,15,17,10,12,19,13,17,22,13,24,15,8,21,338.0
"Lowden, Luke",,,,,,,,,,,6,,,,,,,,,,,,,,,6.0
"McEvoy, Ben",5,9,,,3,4,2,5,-,,,,,,,6,4,8,4,1,,,,,4,55.0
"Mitchell, Sam",11,,17,15,19,23,1,,,,,,,,9,12,17,,17,14,12,11,19,16,15,228.0
"OBrien, Tim",2,2,,,,,,,,,,5,,,,,,,,2,,,,,,11.0
"Puopolo, Paul",8,9,13,6,8,8,11,10,8,5,6,8,10,11,9,8,10,9,7,8,9,8,5,6,5,205.0
"Rioli, Cyril",,14,13,8,5,10,13,7,,,9,12,5,11,,,,,,,,,,,5,112.0
"Ross, Ben",,,,,,,,,,,,4,3,,7,3,,,,,,,,,,17.0
"Roughead, Jarryd",13,8,13,11,12,8,14,9,,7,17,11,9,12,12,7,10,12,13,,5,12,9,12,11,247.0
"Schoenmakers, Ryan",,,,,,,9,12,12,13,5,6,9,16,10,15,5,4,7,10,,8,,,,141.0
"Sewell, Brad",,,,,,,,,8,14,6,16,17,13,1,,,,,,10,8,9,,,102.0
"Shiels, Liam",17,12,15,19,,,,,12,17,15,11,11,19,8,10,17,15,19,11,12,12,16,12,12,292.0
"Simpkin, Jonathan",8,6,15,11,12,6,,8,9,13,,,,,,10,6,3,9,6,11,14,2,3,,152.0
"Smith, Isaac",19,12,21,16,11,12,18,12,16,12,15,12,18,21,8,13,11,,13,12,13,16,14,12,10,337.0
"Spangher, Matthew",,,9,7,,,,,,,14,11,13,10,11,8,,7,5,,3,11,11,6,6,132.0
"Stratton, Ben",,,,,2,7,,3,8,,,,,9,5,4,5,10,7,3,8,,9,5,13,98.0
"Suckling, Matt",14,12,21,18,12,13,24,9,17,14,9,14,9,8,12,17,14,22,13,5,3,,,14,12,306.0
"Wanganeen, Derick",1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Woodward, Alex",,,,,,,,,,,,,,,,,2,4,,,,,,,,6.0
Totals,231,205,286,270,195,230,261,195,220,224,206,211,232,252,179,215,210,205,218,209,208,244,227,196,245,5574.0
Opponent,BL,ES,FR,GC,GE,RI,SK,SY,PA,GW,WC,CA,CW,GC,NM,AD,SY,WB,ME,FR,GE,CW,GE,PA,SY,
