Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Brand, Kaiden",,95,87,,,,,,90,,,87,,,,,80,96,94,86,93,90,,,89.8/1106:58
"Breust, Luke",85,84,83,88,81,86,82,82,87,83,80,80,87,83,85,79,79,83,85,89,75,81,86,83,83.2/2430:18
"Burgoyne, Shaun",84,18,,,,77,79,82,84,85,80,83,58,,,,,60,68,69,72,72,79,89,72.6/1488:10
"Burton, Ryan",39,83,83,,85,84,84,75,73,72,81,81,80,85,85,83,83,81,81,81,79,85,81,76,79.1/2207:25
"Ceglar, Jonathon",,,,,,,,,,76,62,74,,76,71,81,81,76,81,83,,,68,,75.4/1004:26
"Cousins, James",,,,,67,75,77,,49,,,,,,,,,,,,,,,,66.6/321:37
"Duryea, Taylor",84,81,87,93,84,89,82,80,84,87,77,76,75,84,83,66,,,,,,,,87,82.4/1702:53
"Frawley, James",91,,86,53,94,97,95,98,,87,98,,91,97,92,93,94,92,95,91,47,,97,97,89.1/2159:10
"Glass, Conor",,,,87,66,,,,,,,,,71,,,,,,,87,,,,77.7/389:16
"Gunston, Jack",91,89,88,87,91,86,89,91,87,90,85,94,79,,91,94,85,85,95,91,96,93,91,93,89.6/2508:22
"Hardwick, Blake",85,81,85,90,89,86,88,83,87,86,83,86,85,83,89,82,82,82,82,85,86,82,79,86,84.7/2474:40
"Henderson, Ricky",77,75,79,85,76,78,,75,77,72,73,75,78,63,82,78,78,82,78,72,,73,83,81,76.8/2061:28
"Howe, Daniel",80,93,83,78,77,89,75,85,,,82,85,84,80,69,76,92,,,,,,81,71,81.2/1680:57
"Impey, Jarman",76,77,77,83,85,83,79,81,81,79,82,78,88,86,82,87,83,77,70,82,82,81,71,70,80.0/2336:23
"Langford, Will",,,64,,,77,,70,,,,73,74,45,,,,,,,,,,,66.8/475:31
"Lewis, Mitch",,,,,,,,,83,60,,,,,,,,,,,,,,,71.6/177:33
"McEvoy, Ben",74,90,89,84,81,68,83,83,80,80,85,84,76,83,65,,,,,,71,81,79,86,80.2/1857:38
"Miles, Teia",,,,,,,,,,,,,,,71,76,83,81,83,77,77,81,,,78.7/766:50
"Mirra, David",,,,91,78,76,,,71,75,,,,,,,,,,,,80,,82,79.1/679:31
"Mitchell, Tom",92,92,85,89,91,91,87,91,93,92,92,84,85,93,87,87,90,91,93,91,97,87,91,90,90.1/2631:28
"Morrison, Harry",,,70,76,86,70,76,77,85,66,66,68,75,68,78,69,90,,75,78,84,72,83,75,75.7/1928:00
"Nash, Conor",,,,,,,,,,,,,,,,,,,,81,78,74,69,64,73.2/444:41
"OBrien, Tim",87,78,74,83,77,77,74,66,,,59,,74,84,,68,,,,,,,,,75.3/1101:56
"OMeara, Jaeger",77,73,77,81,74,81,82,73,,78,86,85,84,84,80,82,,82,88,81,86,83,88,,81.1/2071:26
"ORourke, Jonathan",,,,,,,,,,,,,,,65,,65,75,,,,,,,68.2/247:29
"Pittonet, Marc",,,,,,,,,,,,,,,,,,,,65,66,,,,65.5/157:08
"Puopolo, Paul",91,84,81,61,,,,,80,89,81,86,84,84,82,81,83,80,82,79,88,88,81,82,82.3/2016:32
"Rioli, Cyril",67,80,80,40,,,,,,,,,,,,,,,,,,,,,66.7/343:44
"Roughead, Jarryd",87,88,89,90,86,82,84,89,92,90,90,88,92,93,82,86,82,82,81,,,82,93,88,87.1/2336:03
"Schoenmakers, Ryan",84,78,,,,,,,,,,,,,,,76,82,72,83,86,69,,66,77.3/857:18
"Shiels, Liam",76,80,71,84,60,,82,78,84,83,85,76,84,86,81,82,79,75,86,79,85,84,79,88,80.3/2255:25
"Sicily, James",91,93,,92,92,,94,96,87,87,97,83,92,91,93,88,,,,,,,92,93,91.3/1782:53
"Smith, Isaac",85,88,89,86,89,80,87,87,81,86,84,82,82,87,88,87,84,85,84,84,91,87,86,86,85.7/2503:56
"Stratton, Ben",97,100,94,98,91,97,74,90,97,96,92,92,93,94,95,96,95,95,93,98,95,100,61,,92.8/2601:25
"Whitecross, Brendan",,,,,,,72,68,,,,,,,,78,69,74,69,,,,,,71.6/517:51
"Worpel, James",,,,,,71,73,,70,,,,,,,,68,83,65,75,77,74,84,66,73.2/973:43
Totals,,,,,,,,,,,,,,,,,,,,,,,,,
Opponent,CW,GE,RI,ME,NM,SK,ES,SY,BL,WC,PA,AD,GC,GW,WB,BL,CA,FR,ES,GE,SK,SY,RI,ME,
