Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Amon, Karl",8,11,8,4,8,10,4,10,6,10,8,11,7,4,6,115.0
"Blanck, James",4,2,,,,,,,-,2,3,5,1,6,2,25.0
"Bramble, Lachlan",6,4,3,,,,,6,6,3,11,8,7,3,,57.0
"Breust, Luke",3,3,3,7,7,4,2,,5,6,3,5,7,3,5,63.0
"Brockman, Tyler",,,3,3,11,6,7,7,,7,3,3,13,5,,68.0
"Butler, Sam",,2,,,,,,,8,11,12,5,3,4,4,49.0
"Day, Will",10,15,9,9,,,18,13,19,14,15,14,14,15,10,175.0
"Frost, Sam",7,2,7,4,12,1,8,7,5,10,8,3,,5,6,85.0
"Grainger-Barras, Denver",,,,,4,1,,,,,,,,,,5.0
"Greene, Fergus",1,1,3,4,1,3,4,4,,,,,,,5,26.0
"Hardwick, Blake",5,2,4,1,2,6,6,13,12,9,7,10,6,18,3,104.0
"Impey, Jarman",6,11,5,7,6,8,5,6,8,5,8,11,13,9,,108.0
"Jiath, Changkuoth",8,7,9,9,4,9,7,,6,,,,,,,59.0
"Koschitzke, Jacob",1,6,,,,,,,5,3,5,3,2,4,,29.0
"Lewis, Mitch",,,,,,,5,4,3,8,3,8,2,8,4,45.0
"Long, Ned",,,,,3,8,,,,,,,,,,11.0
"Lynch, Max",,,,,,2,,,,,,,,,,2.0
"Macdonald, Bailey",,,,,,,,,,,,6,,,,6.0
"Macdonald, Connor",5,6,6,6,8,4,,4,,8,3,10,15,9,5,89.0
"Mackenzie, Cam",5,5,9,9,2,10,,,7,14,9,7,7,12,,96.0
"Maginness, Finn",3,5,5,3,,,,,,,,,,,2,18.0
"Meek, Lloyd",6,4,4,2,7,,,9,11,14,9,4,11,1,7,89.0
"Mitchell, Seamus",,,,,8,5,6,4,12,7,10,,12,11,6,81.0
"Moore, Dylan",10,8,8,11,14,14,5,6,12,11,12,10,13,8,8,150.0
"Morrison, Harry",,,6,5,3,9,7,7,5,,,,,,7,49.0
"Nash, Conor",6,9,9,7,23,17,22,19,20,14,17,17,14,9,9,212.0
"Newcombe, Jai",11,9,7,6,17,15,18,11,15,11,14,11,14,10,13,182.0
"Ramsden, Max",,,,,,,5,,,,,,,,,5.0
"Reeves, Ned",3,2,5,2,3,3,10,7,,2,5,7,6,4,1,60.0
"Scrimshaw, Jack",,,10,4,,4,3,6,,,,9,10,12,6,64.0
"Sicily, James",8,11,7,3,7,9,8,12,12,12,19,,9,,,117.0
"Ward, Josh",14,11,13,6,9,,7,6,,,,,,,19,85.0
"Weddle, Josh",,,,,,,4,8,10,15,14,13,9,4,14,91.0
"Wingard, Chad",5,,,-,1,10,5,5,5,,,,,,7,38.0
"Worpel, James",11,8,6,9,18,9,10,9,13,19,16,25,16,16,17,202.0
Totals,146,144,149,121,178,167,176,183,205,215,214,205,211,180,166,2660.0
Opponent,ES,SY,NM,GE,GW,AD,WB,FR,ME,WC,SK,PA,BL,GC,CA,
