Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Bergman, Miller",-,-,-,,,,,-,-,-,-,1,-,-,1.0
"Bonar, Aiden",1,,,-,,,,,,,,,,,1.0
"Coleman-Jones, Callum",,,,,,,-,,,-,-,-,-,-,
"Comben, Charlie",-,-,1,-,-,-,-,,,,,,,,1.0
"Corr, Aidan",,-,-,-,-,-,-,-,-,,,,1,-,1.0
"Cunnington, Ben",-,-,-,-,-,-,-,-,,,,,,,
"Curtis, Paul",-,-,-,-,,-,-,-,-,-,-,,-,-,
"Davies-Uniacke, Luke",-,2,,2,-,1,,1,-,,,,,,6.0
"Drury, Blake",,,,,,,,-,-,-,,,,,
"Ford, Eddie",,,,,,,,,,-,1,-,-,-,1.0
"Goater, Josh",-,-,1,,,,,,,,,,,,1.0
"Goldstein, Todd",,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Greenwood, Hugh",-,-,-,-,-,,,,-,-,-,-,,-,
"Hall, Aaron",,,,,,-,-,,,-,-,-,-,,
"Howe, Daniel",,-,1,-,-,-,2,,,-,-,,,,3.0
"Larkey, Nick",-,-,-,-,-,-,-,-,-,-,-,2,-,-,2.0
"Lazzaro, Charlie",,,,,,,,-,,,-,,,,
"Logue, Griffin",1,-,-,,-,-,4,-,-,2,-,-,-,-,7.0
"Mahony, Jack",,,,,,,,-,-,,,,,,
"McDonald, Luke",-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McKay, Ben",,,,,-,-,-,-,-,-,-,-,-,-,
"Perez, Flynn",,,,,,,,-,-,,,,,,
"Phillips, Will",1,,2,-,-,-,,,,-,-,-,-,-,3.0
"Powell, Tom",1,3,-,-,-,2,-,,,-,-,1,2,-,9.0
"Scott, Bailey",-,-,2,1,3,1,-,-,-,-,-,-,-,-,7.0
"Sheezel, Harry",1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Shiels, Liam",-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Simpkin, Jy",-,1,,-,-,,3,-,-,-,-,-,,-,4.0
"Spicer, Phoenix",,,,,,,,,-,-,-,3,-,-,3.0
"Stephenson, Jaidyn",-,-,-,2,1,-,-,-,1,-,-,-,1,2,7.0
"Taylor, Curtis",-,-,-,-,-,-,-,-,-,,,,,,
"Thomas, Tarryn",,,,,,,,,,,,-,-,-,
"Tucker, Darcy",,,-,2,2,-,-,-,-,,,-,-,,4.0
"Turner, Kayne",1,-,-,-,-,-,-,,,,,,,,1.0
"Wardlaw, George",,,,,,,,,,-,-,-,-,-,
"Xerri, Tristan",-,,,,,,,,,,,,,,
"Ziebell, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Zurhaar, Cameron",-,-,1,-,-,-,-,-,-,,2,-,-,-,3.0
Totals,6,6,8,7,6,4,9,1,1,2,3,7,4,3,67.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,
