Player,R1,R2,R3,R4,R5,R6,R7,R9,R10,R11,R12,R13,R14,R15,R16,Tot
"Abikhair, Dick",-,-,-,,-,,-,,,,,-,-,-,-,
"Allister, Jack",-,1,-,-,1,-,-,,-,-,-,,,,-,2.0
"Attenborough, Stan",,,,,,,,,-,,,,-,-,-,
"Bennett, Jack",-,-,-,-,-,-,,-,,,,,,,,
"Boldiston, Jack",-,-,-,,,,,,-,-,-,-,,,,
"Bretherton, Basil",,,,,,,-,-,,-,,,-,,,
"Casey, Vin",1,,,,1,,,,,,,,,,,2.0
"Chalmers, Harry",-,,,,,-,-,-,-,-,-,-,-,,-,
"Chirgwin, Dick",,,,-,-,,,,,,,,,,,
"Cooper, Ron",,,,,,,,,,,1,-,,,,1.0
"Crawford, Alan",,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Crosbie, Les",,,,,,-,-,-,,1,-,,,,,1.0
"Cross, Vince",,,,,,,,,,,,,,-,,
"Crump, Alf",-,-,,-,1,-,-,-,1,1,1,2,1,1,-,8.0
"Day, Dick",,-,,,,,,-,,,,,,,,
"Dobson, Lance",,,1,-,-,-,-,,-,-,-,-,-,1,-,2.0
"Dunstone, Phil",,,,,,,2,1,3,2,-,-,,-,1,9.0
"Dyer, Syd",3,1,2,4,-,2,1,1,1,2,1,2,3,2,1,26.0
"Dynon, Kevin",-,-,-,2,-,-,-,-,-,,,,,-,,2.0
"Findlay, Bill",2,2,3,3,4,6,5,1,5,2,-,1,1,3,5,43.0
"Foote, Les",,,,,,,,1,,,,,,,,1.0
"Garlick, George",,,,,,,,,,,,,-,-,,
"Hacker, Alf",-,,-,-,-,-,-,,-,-,-,-,-,-,-,
"Harrison, Jack",,,-,,,-,,,,,,,,,,
"Jones, Herb",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kemp, Don",1,-,-,-,-,-,-,-,-,,-,-,-,-,-,1.0
"McGain, Syd",,,,,,,-,-,-,-,-,-,,,,
"Moran, Jack",-,-,-,-,-,-,,,-,-,-,-,-,-,-,
"Murray, Sel",,3,3,6,2,6,4,5,2,3,3,2,2,,,41.0
"OBrien, Dally",-,-,-,-,,-,1,-,,,-,-,-,-,-,1.0
"Patterson, Jim",,,,,,,,,,,,,-,-,-,
"Pullen, Mick",,,,,,,,,,,,,,,1,1.0
"Slater, Arthur",-,-,-,-,1,-,-,-,,,,-,,,,1.0
"Smith, Ron",-,1,-,,,,,-,-,-,-,-,-,-,-,1.0
"Spratling, Col",,,,-,-,,,,,1,,,,,,1.0
"Wellington, Ted",,-,,,,,,,,,,,,,,
"Wells, Billy",-,,,,,,,,,,,,,,,
"Williams, Alby",,-,-,-,,,,,,,,,,,,
"Willis, Geoff",-,-,-,-,-,-,,,-,-,,,-,-,-,
Totals,7,8,9,15,10,14,13,9,12,12,6,7,7,7,8,144.0
Opponent,CW,SK,ES,ME,FI,SM,HW,RI,FO,CA,SM,CW,FO,CA,HW,
