Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Agrums, Peter",,,,-,1,2,,,,,,,,,,,,,3.0
"Allan, Barry",2,-,1,1,-,-,1,-,1,-,2,-,-,-,-,,-,1,9.0
"Allison, Tom",-,,,-,-,-,1,1,-,2,1,-,-,2,1,-,-,1,9.0
"Aylett, Allen",-,3,1,2,-,4,1,1,,,3,1,-,,,,,,16.0
"Benton, Terry",,-,1,-,-,-,,,,,,,,-,-,,,-,1.0
"Carr, Alan",,-,-,-,,,-,,-,-,-,-,,-,-,-,,,
"Cheatley, Barry",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,
"Crosby, Roland",,-,,,,,,,,,,,,,,,,-,
"Davison, Peter",,,,,,,,,,,,-,,,,-,-,-,
"Dean, Ken",-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Delaland, Ken",-,,,,,,,,,,,,,,,,,,
"Delanty, Mike",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2.0
"Dowdle, Mick",,,,,,,,,,,,,,,,,-,-,
"Dugdale, John",3,2,5,2,,4,2,5,2,-,1,-,3,3,3,3,4,4,46.0
"Dwyer, Laurie",,,,,,,-,-,-,-,-,-,-,-,-,-,,,
"Gaudion, Michael",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2.0
"Goode, Bob",,,,,,,,,,,,,,,-,-,-,,
"Goode, Frank",,,,,1,-,,-,,,,-,1,,,,-,-,2.0
"Hallo, Dick",-,,,,,,,,-,,,,-,-,-,-,-,-,
"Harrison, Barry",-,,,,,,,,,,,,,,,,,,
"Ibrahim, John",1,-,5,2,4,1,-,,1,2,-,1,,-,,,2,-,19.0
"Jenkins, John",,,,,,,,,,,-,,,-,,,,,
"Karanicolas, Arthur",,,,,-,2,-,1,2,1,,,-,1,-,-,-,-,7.0
"McAuliffe, Barry",,,,-,,,,-,,,,,,,,,,,
"McCarthy, Bernie",-,-,2,2,-,,,-,2,2,1,1,-,,,-,1,-,11.0
"McGregor, Ian",-,,,,,,,,,,,,,,,,,,
"OBrien, Daryl",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"ODonnell, Graeme",,,-,1,,,,-,,,,,,,,,,,1.0
"Palmer, Don",,,-,-,-,-,-,,-,-,-,2,-,,,,,,2.0
"Pascoe, Bob",-,1,2,,3,-,-,-,-,3,2,-,2,1,-,-,2,1,17.0
"Perry, Adrian",,,,,-,-,-,,,-,-,-,-,,,,,,
"Peterson, Viv",,1,1,,,,,,,,,,,,-,1,,,3.0
"Pomeroy, Frank",-,-,-,-,-,-,-,-,,-,,,,,,,-,,
"Snell, Ken",,-,-,3,2,-,1,1,-,,,,,-,-,-,,,7.0
"Steward, Peter",,,,,,-,,,,,,,,,,,,,
"Teasdale, Noel",-,-,,,,,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Waddington, John",-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,
"Wood, Maurie",4,1,1,-,4,-,-,1,2,-,-,1,-,-,-,-,,,14.0
Totals,10,8,19,14,15,13,6,10,10,10,10,6,6,7,5,4,11,8,172.0
Opponent,CA,ME,ES,HW,FO,FI,CW,SK,SM,GE,RI,CA,ME,ES,HW,FO,FI,CW,
