Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Blight, Malcolm",,4,4,5,2,,7,-,3,2,2,2,2,3,1,2,2,2,2,,3,5,1,54.0
"Bond, Shane",,,,,,-,2,2,1,1,,,-,,,-,,,,,,,,6.0
"Boyse, Maurice",1,,-,-,2,1,-,3,,3,3,,-,,,,,,,,1,2,,16.0
"Briedis, Arnold",5,1,1,2,2,2,5,2,-,4,3,5,5,5,4,5,3,3,5,1,-,,5,68.0
"Bryant, Kevin",-,,,,,,,,,,,,,,,,,,,,,,,
"Byrne, John",1,-,3,2,-,6,,,,,2,1,4,,3,,2,1,3,3,2,,,33.0
"Cassin, John",1,4,2,,,,1,3,3,-,3,3,-,5,,,-,2,,4,2,2,4,39.0
"Dempsey, Gary",3,2,2,1,3,4,1,2,2,1,1,3,-,3,1,-,2,3,3,1,6,1,5,50.0
"Dench, David",3,1,1,1,,2,,,,,,,,,,,,,,3,1,1,-,13.0
"Easton, Stephen",,,,,,,,,,,,1,,,,,,,,1,,,,2.0
"Glendinning, Ross",,,2,5,3,1,3,3,1,1,5,1,3,2,-,2,-,3,,1,1,-,3,40.0
"Good, Kerry",1,1,3,5,,-,-,,,1,3,1,1,3,3,3,2,,3,4,2,3,-,39.0
"Greig, Keith",1,2,1,2,2,2,-,1,-,2,1,2,2,3,2,3,1,1,2,2,,3,4,39.0
"Henshaw, Ross",1,-,,1,,,,,,,,,,7,1,,1,2,,1,3,5,3,25.0
"Huppatz, Ray",,,,,,,,,,,,,,4,5,4,1,5,2,-,,,,21.0
"Icke, Stephen",1,4,,1,-,1,2,-,1,3,1,4,1,2,2,2,1,1,2,1,1,2,-,33.0
"Jarrott, Alan",4,-,-,,3,1,2,-,1,3,1,-,2,2,-,2,-,1,1,1,2,1,1,28.0
"Law, John",,,-,1,2,,,-,1,-,1,-,1,2,,,,,-,2,,,2,12.0
"McCann, Stephen",1,1,2,3,4,2,2,3,5,2,,,2,3,6,3,2,3,2,2,2,2,5,57.0
"Montgomery, Ken",,,-,-,1,-,2,-,1,-,-,1,2,3,,,,,,,,,,10.0
"Murphy, Danny",,,,,,,,,,,1,,,,,,,,,,,,,1.0
"Murphy, John",,,,,1,-,,,,,,2,,,,,,,,,,,,3.0
"Nolan, Mick",,,,,,,,,,,-,,,,,,,2,1,,,,,3.0
"Payne, Glenn",,1,,,,,,,,,,,,,-,2,,,,,,,,3.0
"Podolczak, Roger",3,,1,-,,,,1,5,1,,,,,,,,,,,,,,11.0
"Ramsay, Roy",,,,,,,,,,,,,,,4,1,-,2,1,2,2,-,3,15.0
"Reeves, Michael",-,2,,,1,1,2,,1,,,,,,,2,1,2,2,,,,,14.0
"Schimmelbusch, Daryl",2,1,3,2,1,2,2,4,2,1,2,3,-,-,,6,2,-,2,,2,2,4,43.0
"Schimmelbusch, Wayne",1,1,3,3,1,1,3,3,2,2,2,4,1,1,1,3,2,2,-,2,1,1,-,40.0
"Smith, Doug",-,1,1,4,1,,,2,-,,,,,,1,1,-,1,,,1,2,3,18.0
"Sutton, Darryl",2,,2,2,1,1,-,-,2,4,2,-,-,2,3,-,,,1,-,2,2,-,26.0
"Tanner, Xavier",,4,,,-,3,2,-,-,1,,1,-,1,2,3,-,5,2,-,2,2,,28.0
"Turco, Mario",2,1,,,,,,,,,,,,,,,,,,,,,,3.0
"Wilson, Brian",,1,5,3,1,5,3,3,1,1,4,4,,4,2,6,4,4,2,2,1,2,4,62.0
"Wright, Rodney",,,,,,,1,,,,1,1,-,3,1,,,,1,,,4,-,12.0
Totals,33,32,36,43,31,35,40,32,32,33,38,39,26,58,42,50,26,45,37,33,37,42,47,867.0
Opponent,ES,CW,FI,GE,FO,CA,ME,SM,HW,RI,SK,ES,CW,GE,FO,FI,CA,ME,SM,HW,RI,SK,CW,
