Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Arceri, Mark",,,,,,,,,,,,,,,,,,,,,2,-,2.0
"Atkins, Graeme",,,,,1,,,,,-,,,,,,1,-,-,-,1,-,-,3.0
"Berry, William",,,,,,,,,,-,-,-,-,,,-,-,-,-,-,-,-,
"Brittain, Craig",,,,-,1,-,1,-,,,,,,,,,,,,,,,2.0
"Bryant, Kevin",,3,4,1,,,,,3,3,,,1,,,2,,-,,,,2,19.0
"Collins, Jon",-,,,,,,-,1,-,-,3,-,-,-,-,1,-,-,,,,,5.0
"Cowton, Gary",-,,,,,,,,,,,,,,,,,,,,,,
"Demetriou, Andrew",,-,,,,1,-,-,-,2,-,-,-,-,-,-,,-,-,-,-,-,3.0
"Dempsey, Gary",-,-,,,,-,-,-,,,,,,,,,,,,,,,
"Dench, David",2,-,,,,,,,,,,,,,,,,,,,,,2.0
"Densley, Peter",,,,,,,,,-,-,-,-,1,-,-,-,-,,,,1,2,4.0
"Dugdale, Dean",-,1,-,-,-,-,-,,,,,,-,-,,,,,,,,,1.0
"Dugdale, Glenn",-,,,,,,,,-,,,,,-,-,,,,,,,,
"Dunstan, Ian",1,1,-,,,,,,,,,,,1,1,,-,,,,,,4.0
"Dwyer, David",,-,1,1,1,-,-,2,-,,-,-,,-,-,1,-,1,-,-,-,-,7.0
"Fairley, Ian",-,,,,,,,5,,3,,2,1,,,,,,3,7,2,4,27.0
"Furey, Tony",-,2,-,-,1,-,1,-,,,,,,,-,,,,,,,,4.0
"German, Peter",,,,,,,,,,,,,,,,,,,-,-,,,
"Glendinning, Ross",,,1,-,-,-,-,3,6,3,-,1,-,3,,,-,-,3,1,-,-,21.0
"Greig, Keith",,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,,,
"Harrington, Tim",,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,
"Hodgeman, Kym",1,-,1,-,2,3,1,,-,3,2,3,2,,,1,-,5,2,-,1,1,28.0
"Holt, John",1,-,,,,,,-,1,-,,1,1,,,2,-,,,,,,6.0
"Johnson, Paul",-,-,,,,,,,,,,,,2,,,,,-,-,,,2.0
"Jonas, Peter",,1,2,1,,1,,1,,,,,,3,3,2,-,3,2,1,-,3,23.0
"Kelly, Phil",,,3,-,2,1,,,,,1,-,-,1,-,,,,,,,,8.0
"Krakouer, Jim",2,2,,1,1,2,,,,-,2,,,1,2,,,1,1,1,2,4,22.0
"Krakouer, Phil",-,3,-,3,-,,,,-,-,,,,,,,,,,,,,6.0
"Larkin, Matthew",,,,,,,,,,,,,1,1,1,-,-,-,1,1,2,-,7.0
"Law, John",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lisle, Mark",,,-,2,6,1,1,1,,,-,-,,,-,,,,,,-,-,11.0
"McCann, Stephen",-,1,-,-,-,1,2,1,-,-,-,1,-,1,-,-,1,2,-,-,,,10.0
"McDonald, Donald",1,-,-,1,-,-,1,,2,1,8,4,1,3,2,2,-,4,-,1,4,3,38.0
"McGuire, Kevin",,,,,,,,-,,,,,,,,,,,,,,,
"Mutimer, Brendan",,,,,,,,,,,1,-,,,,-,-,,,1,1,-,3.0
"Passmore, Michael",,,,,,,,,,,1,,-,-,,,,,,,,,1.0
"Petraglia, Angelo",,,1,,,,2,1,-,,,1,,,,,,,,,,,5.0
"Ramsay, Roy",-,-,-,1,-,1,-,-,-,-,3,1,-,-,-,,-,1,-,-,-,-,7.0
"Schimmelbusch, Wayne",1,,1,-,1,1,5,3,1,-,-,,,,,2,,-,2,,,,17.0
"Smith, Peter",-,-,-,,-,-,-,,-,,,,,,,,,,,,,,
"Smith, Ross",,,,-,-,-,-,-,-,-,-,-,1,-,1,-,2,1,3,-,-,-,8.0
"Steele, Darren",,,,,,,,-,-,-,1,-,-,-,-,-,2,-,,,-,,3.0
"Thomas, Grant",-,-,-,-,-,,-,,,,1,,,,,,,,,,,,1.0
Totals,9,14,14,11,16,12,14,18,13,15,23,14,9,16,10,14,5,18,17,14,15,19,310.0
Opponent,CA,RI,FO,GE,ME,CW,SK,SY,HW,ES,FI,RI,FO,GE,ME,CW,SK,SY,HW,CA,FI,ES,
