Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Ackerly, David",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Arceri, Mark",-,-,1,4,2,4,1,3,-,,,2,1,-,-,-,1,1,-,-,1,1,22.0
"Atkins, Graeme",-,-,-,1,-,4,2,-,-,1,-,-,-,-,-,,-,,-,-,-,,8.0
"Buckley, Ben",,,,,,,,,,,,-,-,-,1,-,,,,,,,1.0
"Ceglar, David",,,,,,-,2,-,2,-,,,,,,,,,,,,,4.0
"Crocker, Darren",-,-,-,,,,,,,,,-,-,1,1,2,,,,-,-,-,4.0
"Demetriou, Andrew",,-,-,,-,1,,,,,,,,,-,-,1,-,1,-,,,3.0
"Dwyer, David",,-,-,-,-,1,1,-,-,-,-,-,-,-,,-,1,-,-,,,,3.0
"Fairley, Ian",,,,,2,-,-,-,-,-,-,-,,2,-,-,1,1,2,-,1,-,9.0
"German, Peter",1,-,2,1,2,2,2,-,1,1,2,1,2,1,-,-,-,2,1,,-,2,23.0
"Glendinning, Ross",,,,,-,2,-,,,,-,-,1,1,-,-,1,1,3,3,3,1,16.0
"Harrington, Tim",,,,,,,,,,,,,,,-,-,-,,,,,1,1.0
"Harris, Darren",1,1,1,-,-,,,,,,,,,,,1,1,-,1,-,-,,6.0
"Hickey, Steve",,,,,-,-,-,-,-,-,,,-,-,-,-,-,-,,-,1,-,1.0
"Holt, John",,,,,,,,,,-,-,1,,1,,,,,,,,1,3.0
"Jonas, Peter",-,1,1,-,-,4,1,-,,4,-,-,1,1,-,,-,,,,,,13.0
"Koop, Doug",-,-,,,,,,,,,,,,,,,,,,,,-,
"Krakouer, Jim",-,2,-,-,-,1,1,1,2,1,-,2,-,-,,,,1,2,1,-,-,14.0
"Krakouer, Phil",2,-,-,-,1,-,-,1,1,1,,-,,,,,2,2,-,1,2,-,13.0
"Larkin, Matthew",,,,,,,,1,-,-,-,,-,1,3,1,-,3,1,1,1,2,14.0
"Law, John",-,-,-,1,-,-,-,-,-,-,-,2,-,1,-,-,-,-,,-,-,,4.0
"Lisle, Mark",,,,,,,,-,-,-,-,,,,,,,,,,,,
"Love, Jason",-,3,1,-,,1,-,,,,,,,,,,,,,,,,5.0
"McCann, Stephen",-,-,1,1,-,2,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,-,8.0
"McCarthy, John",,,,,,,-,,,,,,,,,,,,,,,,
"McDonald, Donald",1,-,-,1,1,1,2,3,,,1,1,1,-,-,,,,2,1,-,-,15.0
"Norman, Rick",-,,,,,-,-,-,1,-,-,-,1,,1,1,,,,,,,4.0
"Passmore, Michael",-,-,-,-,-,,,,,,,,-,-,-,,,,-,,,,
"Ramsay, Roy",,,,-,,,,,,,,,,,,,-,-,-,1,-,-,1.0
"Robertson, Rohan",,,,,,,,-,1,-,2,,,,,-,-,-,-,-,-,-,3.0
"Ryan, Brendan",1,-,,,,,,,-,1,,,,,,,,,,,,,2.0
"Saggers, Robert",,,,,,,,,,,,,,,,3,,1,,,,1,5.0
"Schimmelbusch, Wayne",,,-,-,,,,,,,-,1,1,1,-,1,-,-,1,-,-,,5.0
"Smith, Peter",-,-,-,-,,,,,,,,,,,,,,,,,,,
"Smith, Ross",-,,-,1,-,,,,-,,1,,,,,,,,-,-,-,-,2.0
"Spargo, Paul",,,,1,-,2,2,1,2,-,1,-,3,1,2,1,-,-,-,,,2,18.0
"Steele, Darren",1,2,-,-,-,-,-,1,-,-,-,1,-,,,,,-,,-,-,,5.0
Totals,7,9,7,11,8,25,14,11,10,9,7,11,11,12,8,13,8,13,14,8,9,11,236.0
Opponent,SY,HW,CW,RI,GE,SK,FO,FI,ME,ES,CA,SY,HW,CW,RI,CA,GE,SK,FO,FI,ME,ES,
