Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Archer, Glenn",6,3,7,1,-,2,7,5,2,7,3,2,5,8,8,5,4,6,2,7,2,,3,95.0
"Baird, John",4,2,5,3,3,2,3,1,1,1,,,3,6,3,-,,,,,,,,37.0
"Blakey, John",,,1,2,4,-,,,4,4,2,1,,,,,,,4,1,1,6,5,35.0
"Burton, Matthew",3,1,1,2,3,5,2,1,3,3,3,3,1,8,3,4,-,2,2,2,3,-,6,61.0
"Clayton, Shane",5,5,4,3,3,8,3,7,2,2,4,3,,,3,7,4,3,,,,,,66.0
"Cochrane, Stuart",-,2,2,7,2,1,3,-,,,,2,,,,1,1,1,-,-,2,-,1,25.0
"Colbert, Leigh",2,,1,2,4,1,5,4,8,3,2,4,4,5,2,1,-,7,2,3,1,3,5,69.0
"Grant, Shannon",7,4,6,2,7,3,4,4,1,3,4,6,4,1,,,,2,6,3,5,2,2,76.0
"Harding, Leigh",4,4,1,1,-,,5,7,4,1,1,1,2,4,1,-,3,2,-,3,5,-,-,49.0
"Harris, Daniel",,,,,,,,-,-,2,-,,,,,,,,,,,,,2.0
"Harvey, Brent",3,5,4,5,1,4,-,4,1,3,3,4,6,4,3,6,,,,3,3,2,1,65.0
"Jones, Corey",2,6,2,-,,,,,,,,,,,,,,,,,5,7,-,22.0
"King, David",1,9,3,3,6,1,4,-,2,3,1,4,4,6,3,1,2,6,4,1,,4,2,70.0
"Lange, Adam",,,,,,,,-,,,,,,,,,,,,,,,,
"Makepeace, Troy",6,1,5,4,3,1,4,2,3,3,2,5,5,5,2,2,3,4,3,3,5,3,7,81.0
"Martyn, Mick",,2,-,1,3,,,,-,4,3,4,1,2,2,-,1,4,5,1,2,-,1,36.0
"McCartney, Jason",3,1,4,3,1,1,4,7,1,4,3,2,3,,,,,,,1,,,,38.0
"Morrell, Digby",,,,,7,5,2,1,2,2,5,5,1,6,4,5,3,1,7,1,1,6,1,65.0
"Motlop, Daniel",,,,,,3,-,,,,,,,,,,3,1,2,,,,,9.0
"Motlop, Shannon",-,5,3,1,3,3,-,,,,,,,,,,,,,,1,1,,17.0
"Petrie, Drew",,,,,,,,,,,,,-,5,5,-,3,1,1,,1,2,2,20.0
"Pickett, Byron",5,6,4,4,3,3,1,4,3,3,1,2,3,5,1,2,1,5,3,5,5,,4,73.0
"Porter, Mark",2,3,1,1,2,-,4,1,1,-,2,1,,2,-,,2,-,-,5,2,2,2,33.0
"Rawlings, Brady",,,,,,,,,,,,,5,2,1,2,1,3,1,3,1,2,2,23.0
"Robbins, Ben",4,5,4,-,5,2,2,-,-,2,1,4,1,2,-,1,-,1,4,3,1,3,1,46.0
"Rocca, Saverio",6,5,4,7,5,6,3,5,4,5,6,8,6,2,4,4,5,4,4,3,,,7,103.0
"Simpson, Adam",5,2,13,5,6,1,4,3,8,9,-,3,6,8,4,5,3,2,3,2,4,3,6,105.0
"Sinclair, Jess",1,2,,,,,,,,,7,3,6,4,8,5,4,5,5,7,6,5,1,69.0
"Smith, Dylan",,,,,,,,,,,,,-,1,1,-,,,,-,1,-,,3.0
"Stevens, Anthony",2,5,6,2,4,5,7,9,5,7,8,3,3,2,-,3,7,6,1,,,,,85.0
"Teague, David",,,,,,,,6,4,1,6,2,3,3,3,2,4,5,5,2,1,8,-,55.0
"Watt, Shannon",3,1,,,,1,-,,,,,,,,,,2,,,,,-,,7.0
Totals,74,79,81,59,75,58,67,71,59,72,67,72,72,91,61,56,56,71,64,59,58,59,59,1540.0
Opponent,PA,WB,GE,SY,CA,HW,WC,AD,ME,ES,RI,BL,CW,SK,FR,PA,WB,GE,SY,CA,HW,WC,ME,
