Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ahern, Paul",,,,,,,,,,,-,-,-,-,-,-,-,1,-,-,,-,1.0
"Anderson, Jed",-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Atley, Shaun",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Brown, Ben",-,-,-,3,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,6.0
"Clarke, Ryan",-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,
"Cunnington, Ben",-,-,-,1,3,-,-,1,-,-,3,-,-,-,-,-,-,3,-,-,-,-,11.0
"Davies-Uniacke, Luke",-,-,-,-,,-,,,,,,,,,,-,-,,,,,,
"Daw, Majak",,,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Dumont, Trent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Durdin, Sam",,,,,,,,,,-,,,,,,,,,,,,,
"Goldstein, Todd",-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-,-,2,6.0
"Hartung, Billy",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Higgins, Shaun",-,-,-,2,-,,3,-,-,-,2,2,3,-,2,1,-,-,,-,-,-,15.0
"Hrovat, Nathan",-,-,-,,,,,,,,,,-,-,-,-,-,-,-,,-,-,
"Jacobs, Ben",-,-,-,-,-,-,1,-,-,3,-,-,,,-,,,,,,,,4.0
"Macmillan, Jamie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McDonald, Luke",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Morgan, Alex",,,,,,,,,,,,,,,,-,-,,,,,,
"Murphy, Tom",,,,,,,,,,,-,-,-,-,,,,,,,,,
"Simpkin, Jy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Tarrant, Robbie",-,-,,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Thompson, Scott",-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3.0
"Turner, Kayne",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Vickers-Willis, Ed",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
"Waite, Jarrad",-,2,-,-,1,-,,-,3,1,,,,,,,,,-,-,-,-,7.0
"Walker, Will",,,,,,,,,,,,,,,,,,-,-,-,-,,
"Williams, Marley",-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0
"Wood, Mason",,,,,,,2,-,-,-,-,-,-,-,,,,-,-,-,-,-,2.0
"Wright, Sam",,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ziebell, Jack",1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,2,-,-,-,7.0
"Zurhaar, Cameron",,,,,-,-,-,,,,,-,,,-,,,,,,,,
Totals,1,5,0,6,6,0,6,1,6,4,6,2,4,0,6,4,0,6,2,0,1,2,68.0
Opponent,GC,SK,ME,CA,HW,PA,SY,RI,GW,FR,BL,GE,WB,ES,GC,SY,CW,WC,BL,WB,AD,SK,
