Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ahern, Paul",,,,4,4,,,,,,,,,,9,5,,10,8,4,,,44.0
"Anderson, Jed",,,,13,16,17,16,13,19,11,12,9,5,14,18,9,8,9,,4,11,,204.0
"Atley, Shaun",7,5,11,4,12,12,6,12,11,10,14,9,10,20,6,5,7,7,,8,16,9,201.0
"Brown, Ben",3,1,3,6,3,4,3,3,2,1,1,5,2,2,-,3,1,2,2,1,3,6,57.0
"Campbell, Tom",,5,3,,,,,,,,,,,,,,,,,,,,8.0
"Cunnington, Ben",17,27,27,14,21,26,18,22,11,20,24,17,10,24,14,12,11,15,14,17,28,8,397.0
"Davies-Uniacke, Luke",8,15,4,7,5,11,,,,8,11,5,3,11,7,,,8,3,,,,106.0
"Dumont, Trent",14,,9,5,11,11,25,8,13,10,9,7,10,14,9,6,9,8,11,10,15,10,224.0
"Durdin, Sam",,,,,,,,3,,,,2,2,7,2,,1,1,2,,8,5,33.0
"Garner, Taylor",,,,,,,5,5,2,,,,9,,,,,8,5,7,8,5,54.0
"Goldstein, Todd",7,7,13,15,9,13,12,10,10,14,9,12,6,13,6,10,10,10,8,5,22,9,230.0
"Hall, Aaron",7,8,6,8,7,10,,,,,,,,,,,,,,,,,46.0
"Hayden, Kyron",,,,,,,,,,,,,,3,,,,,,,,,3.0
"Higgins, Shaun",11,25,17,15,15,,25,15,9,18,18,3,,,,,9,10,13,12,23,23,261.0
"Hrovat, Nathan",,,,,,10,,,,,,,,,,8,5,,,,13,12,48.0
"Larkey, Nick",,,,,,3,6,10,8,4,1,2,3,5,4,-,5,5,4,3,3,5,71.0
"Macmillan, Jamie",16,3,14,6,9,8,8,9,14,4,3,,,,,8,5,4,7,9,18,6,151.0
"McDonald, Luke",9,10,7,8,,7,,,10,7,2,6,8,3,9,7,,,,,,,93.0
"McKay, Ben",6,2,2,,,,,,,,,,,,,,,,,,,,10.0
"Pittard, Jasper",11,7,9,3,6,11,9,7,10,11,3,5,3,10,6,3,2,10,7,5,16,11,165.0
"Polec, Jared",9,6,4,8,7,5,8,7,10,10,13,6,9,11,5,6,7,9,7,5,12,7,171.0
"Scott, Bailey",10,4,7,,6,,,,,,,,,,,,,,,,,,27.0
"Simpkin, Jy",4,11,10,9,7,,20,9,10,6,11,7,3,14,20,8,7,5,7,2,18,2,190.0
"Tarrant, Robbie",7,3,7,5,6,6,3,7,8,5,6,7,4,8,1,7,3,2,8,4,5,4,116.0
"Taylor, Curtis",,,,,,,,4,,,,,,,,2,,,,,,,6.0
"Thomas, Tarryn",,4,2,3,,10,14,14,8,7,3,3,3,13,5,4,2,6,7,8,6,4,126.0
"Thompson, Scott",,5,10,3,3,5,2,,7,5,2,2,5,7,3,4,6,,4,3,10,8,94.0
"Turner, Kayne",4,5,3,2,7,7,9,10,6,7,4,6,9,12,3,4,4,,6,6,8,6,128.0
"Tyson, Dom",16,8,12,,,,,,,,,,,,,,,,,,,,36.0
"Vickers-Willis, Ed",1,,,,,,,,,,,,,,,,,,,,,,1.0
"Williams, Marley",10,3,,,,,5,,4,7,3,9,13,10,4,4,4,8,10,5,15,12,126.0
"Wood, Mason",4,,,8,3,9,11,6,2,7,1,4,3,10,2,,6,5,4,4,,9,98.0
"Wright, Sam",,,,,11,7,14,10,,,,,,,,,,,,,,,42.0
"Ziebell, Jack",4,3,11,4,2,6,7,7,13,7,7,6,7,7,11,9,8,6,5,12,14,12,168.0
"Zurhaar, Cameron",,,,5,5,10,4,4,5,6,2,6,6,6,4,5,6,5,7,3,6,3,98.0
Totals,185,167,191,155,175,208,230,195,192,185,159,138,133,224,148,129,126,153,149,137,278,176,3833.0
Opponent,FR,BL,HW,AD,ES,PA,CA,GE,SY,WB,RI,GC,GW,CW,SK,ES,BL,WC,HW,GE,PA,ME,
