Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Tot
"Archibald, George",-,-,-,-,-,-,,,,,,,,,,,,,,,
"Baggott, Ron",1,6,3,,1,,-,,,3,1,1,1,1,1,2,1,-,1,2,25.0
"Bickford, George",,,,,-,-,-,,,,,-,,-,,,,,,,
"Bowman, Gordon",,,,,1,-,,-,,,,,,,1,,,,1,-,3.0
"Conroy, Clem",-,-,-,-,-,-,,,,,,,,,,,,-,1,-,1.0
"Cordner, Don",-,-,-,-,-,-,-,-,1,1,1,1,1,2,1,-,-,-,-,-,8.0
"Deans, Billy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Downey, Es",-,-,-,-,-,-,,,,,,,,,,,,,,,
"Dowsing, Roy",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Dullard, Adrian",,-,-,-,2,1,-,-,1,-,,,,,,,,,,,4.0
"Edge, Bruce",,,,,,,,,,,,,,,-,-,,-,,,
"Fanning, Fred",4,7,2,6,7,1,6,3,2,2,3,,-,1,3,6,4,3,2,5,67.0
"Hall, Ron",,,,,,,,,,,,,,,,,,-,-,,
"Hughes, Frank",,,,,,,,-,-,-,-,-,-,-,,,-,,,,
"Irwin, Ron",-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kennedy, Dick",,,,,-,,,-,-,,,,,,-,-,-,-,1,4,5.0
"Kennedy, Frank",1,-,-,-,1,2,,,,,,,,,,,1,1,-,-,6.0
"Kramer, Gordon",,-,-,-,,-,-,,,,-,-,-,,,1,-,-,,-,1.0
"La Fontaine, Allan",3,1,1,,-,,,,-,-,-,-,-,-,-,-,-,,,-,5.0
"Latham, Ralph",,,1,-,,,-,-,-,-,-,4,1,1,-,-,1,-,1,2,11.0
"Lenne, George",,,,,,,-,,,,,,,,,,-,-,,-,
"Leverton, Norm",,,-,,-,,,,,,,,,,,,,,,,
"McLean, Col",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Mitchell, Jack",,,,,,,,,,,,-,2,-,,3,3,1,,,9.0
"Molloy, Keith",-,-,,-,-,,,,,-,-,-,-,,,,,,,,
"Mueller, Jack",2,-,-,1,2,,,,,,,,,,,,,,,,5.0
"New, Harry",,,,,,,,-,,,,,,,,,,,,,
"Newman, Charlie",-,,,,,,,,,,,,,-,-,-,,,,,
"ORourke, Ernie",,,,,,1,-,-,4,3,1,2,-,-,1,,,,-,-,12.0
"Oppy, Jim",,,,,,,-,-,-,,,,,,,,,,,,
"Porter, Ivan",2,-,4,1,4,1,2,1,1,3,-,1,1,1,-,2,-,1,1,,26.0
"Rowarth, Ern",,,,,,,-,-,-,-,1,-,-,-,-,-,,,-,,1.0
"Rowe, Harry",,,,,,,,,,,,,,,,,,,,-,
"Scanlan, Bill",,,,-,,,,-,-,-,1,3,-,-,-,-,-,-,-,-,4.0
"Smith, Norm",1,1,,-,,-,1,3,1,3,1,,4,4,3,3,2,2,2,2,33.0
"Stabb, Roy",,,-,1,,,-,-,-,-,-,-,-,-,1,-,-,,-,,2.0
"Stock, Jack",-,-,-,-,,-,,,,,,,,,,,,,,,
"Taylor, Percy",1,2,,,,,,,,,,,,,,,,,,,3.0
"Wilson, Norm",,,,,,1,-,2,1,-,-,-,,,,,,,,,4.0
Totals,15,17,11,9,18,7,10,9,11,15,9,12,10,10,11,17,12,8,10,15,236.0
Opponent,CA,SK,CW,RI,GE,FO,NM,SM,FI,HW,ES,CA,SK,CW,RI,GE,FO,NM,SM,FI,
