Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,SF,PF,GF,GF.1,Tot
"Arnold, Lance",-,1,2,4,3,5,2,2,2,6,4,2,,1,-,-,2,1,-,-,1,1,2,41.0
"Bell, Des",1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Bickford, George",-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Bowman, Gordon",,-,,,-,-,-,,,,,,-,-,-,-,,,,,1,-,-,1.0
"Collins, Geoff",,,,-,,,,,,,,,3,,,,,,-,-,-,-,-,3.0
"Cordner, Denis",,,,,,,,,,,,,,,,,,,,,,-,-,
"Cordner, Don",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cox, Colin",,,,,,,,,,,,,1,,1,,,,,,,,,2.0
"Craddock, Eddie",,,,,,,,,,,,,4,3,2,1,1,1,-,3,2,1,-,18.0
"Crawley, Les",,,,,,,,,,,,,,,,,-,-,-,-,,,,
"Deans, Billy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dockett, Len",1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,,3,1,-,-,-,-,-,8.0
"Dullard, Adrian",1,2,2,1,1,1,3,-,2,-,-,1,3,5,-,-,1,-,2,3,1,1,1,31.0
"Hanna, Frank",-,,-,1,-,-,-,1,-,1,-,-,-,-,-,,,,,,,,,3.0
"Hardie, Dave",,,,,,,,1,-,-,,,,2,-,,,,,,,,,3.0
"Heywood, Doug",,,,,,,,,,,,,,,,,,,,,-,-,,
"Jackson, Eddie",-,-,-,,,,,,-,2,1,-,,,,-,-,-,-,,,-,-,3.0
"Lock, Wally",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,
"Lourey, Greg",,,,,,,,,,-,-,-,-,1,,,,,,,,,,1.0
"McGowan, Alan",,,,,,,,,,,,,,,,,,-,1,-,-,,,1.0
"McGrath, Shane",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,1,-,-,1.0
"McKenzie, Robert",5,2,-,1,1,1,1,3,-,1,2,1,,,,1,4,7,6,1,2,,-,39.0
"McLean, Col",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"McMahen, Noel",,,,,,,-,2,-,1,-,-,-,3,2,3,1,-,1,-,1,-,1,15.0
"Mitchell, Jim",1,-,-,-,-,-,3,-,-,2,1,-,,,,,,,,,,,,7.0
"Mueller, Jack",,,,,,,,,,,,,6,2,,,,,,,8,6,6,28.0
"OConnor, Frank",-,,1,1,2,2,-,,,,,,,,1,,,,,,,,,7.0
"ORourke, Ernie",,,-,1,3,-,1,-,,,,,,,-,-,-,-,,,,,,5.0
"Robinson, Russ",,-,-,1,-,,,,-,,,,,,-,,,,,,,,,1.0
"Rodda, Alby",-,2,-,1,2,-,2,1,-,4,1,1,4,-,-,1,-,,,-,2,-,2,23.0
"Roscoe, Eric",2,1,,,,,,-,5,1,-,-,,-,,-,-,1,1,,,,,11.0
"Rule, Stan",-,-,1,-,-,-,,-,,-,-,-,-,-,-,-,,-,,-,-,-,-,1.0
"Scanlan, Bill",,1,-,,,,,-,-,,-,,,,-,,,,,,,,,1.0
"Scanlan, Frank",1,1,-,-,1,1,1,,,,,,,,,-,-,-,-,-,,,,5.0
"Smith, Norm",,,,,1,3,2,,,,,4,3,,,4,3,4,2,1,6,1,1,35.0
"Spittle, Max",-,-,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
Totals,12,11,6,13,14,15,15,11,9,18,9,9,24,17,6,10,15,15,13,8,25,10,13,298.0
Opponent,ES,SK,FI,RI,NM,SM,CA,CW,FO,HW,GE,ES,SK,FI,RI,NM,SM,CA,CW,ES,CW,ES,ES,
