Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Adams, Frank",,3,3,1,4,2,1,1,1,,,1,1,3,3,1,2,3,-,30.0
"Barassi, Ron",2,1,1,4,2,2,2,1,1,-,-,,1,2,2,-,-,,-,21.0
"Byers, Garry",,,,,,,,,,,,,,,,-,-,1,1,2.0
"Carroll, Bob",,,,,,,,,,,,,,,,,1,1,,2.0
"Case, Geoff",,,,,,,,-,,,,,,,,,,,,
"Collins, Mike",,,-,-,,,,,,,,,,,,,,,,
"Crompton, Neil",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Dawson, Ray",3,-,1,3,4,1,-,-,-,1,-,-,-,-,-,-,1,,,14.0
"Dixon, Brian",-,-,-,-,1,-,1,-,-,-,-,,-,-,-,-,-,-,-,2.0
"Emselle, Ken",,,,,,,,,-,-,-,-,-,1,,,,,,1.0
"Gleeson, Terry",1,-,2,1,1,1,-,-,-,-,-,-,-,-,-,-,1,,,7.0
"Ingwersen, Alec",,,,,,,-,-,,,,,,,,,,,,
"Jenkinson, Jim",,,,,,-,,,2,,,,,,,,,,,2.0
"Johnson, Tassie",-,-,-,-,-,-,-,-,1,-,1,3,-,-,-,-,-,,1,6.0
"Johnson, Trevor",-,,,,,,,,,,,,,,,,,-,-,
"Jones, Dennis",,,,,-,,-,,,,-,,,,,,,-,,
"Kenneally, Bryan",-,-,1,-,-,-,-,-,-,-,-,-,-,,-,3,1,3,-,8.0
"Laidlaw, Clyde",,,,,,,,,,,,-,,,1,,,,,1.0
"Leahy, Brian",-,-,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Lord, John",1,-,1,-,2,-,-,3,3,2,1,-,-,-,2,1,,-,-,16.0
"Mann, Hassa",-,-,-,-,-,-,-,-,1,-,2,2,-,1,-,1,-,-,1,8.0
"Mann, Len",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,2,-,-,-,2.0
"Massey, Bernie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"Matthews, Herbie",,,,,,,,,,-,,-,,-,-,1,1,,,2.0
"Miller, Robert",,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Mithen, Laurie",3,2,2,2,1,1,1,-,,,5,3,4,2,5,-,2,1,3,37.0
"Nilsson, Ray",-,,,,,,,,,3,2,,,,-,-,-,-,4,9.0
"Rattray, Kerry",,,-,-,,-,1,,,,,,,,,,,,,1.0
"Roet, Brian",-,-,-,,,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Rowarth, Alan",1,-,,,-,,,4,1,1,,,,,,,,1,-,8.0
"Thorogood, Ian",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,
"Townsend, John",,,,,,,,,,,3,2,2,-,,,,-,-,7.0
"Tunbridge, Geoff",-,-,2,-,1,1,1,-,1,-,-,1,1,-,1,1,-,1,1,12.0
"Vagg, Barrie",-,2,1,1,-,,,,,,,,,,,,,,,4.0
Totals,11,8,14,12,16,8,7,9,11,7,14,12,9,9,14,11,9,11,11,203.0
Opponent,RI,GE,FO,CW,NM,SM,CA,FI,SK,ES,HW,RI,GE,FO,CW,NM,SM,CA,CA,
