Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Tot
"Alves, Stan",3,1,4,4,4,,4,5,8,5,2,5,4,4,3,5,5,2,2,,70.0
"Anderson, Tony",,-,1,1,1,-,1,1,1,,1,2,-,-,-,,,,,,9.0
"Aubrey, Graeme",,,,,,,,,,,,,,,,,,,,2,2.0
"Biffin, Ray",,,,,,,,,,,,-,,-,1,1,-,,,,2.0
"Bourke, Barry",,,,,,,,,3,2,2,-,2,1,3,1,1,2,4,1,22.0
"Campbell, Euan",,,,,,,,,,,,,,,,-,,,,,
"Catlin, Sid",,,,,,,,,,,,-,,,,,,,,,
"Clark, Denis",,,,,-,1,-,,,,,,-,2,,,,,,,3.0
"Clarke, Kelvin",3,,,,,,,,,,,3,,,,,,,,,6.0
"Davis, Frank",-,,4,-,2,3,1,2,-,1,2,-,-,-,,,,-,1,-,16.0
"Dillon, Ross",1,-,2,-,2,-,,,,,,,,,-,,,,,,5.0
"Dixon, Brian",2,3,1,4,2,,2,4,7,3,-,2,1,3,3,4,6,1,3,-,51.0
"Dowsing, Rob",,5,-,-,,-,,-,-,,,,,,,,,,,1,6.0
"Feldmann, Derek",3,1,-,-,-,1,-,-,-,,,1,1,2,1,2,1,3,-,2,18.0
"Forster, John",1,-,,,,,,,,,-,,,-,-,,,,,,1.0
"Fowler, Chris",2,4,-,-,1,1,,2,1,,,2,1,7,5,2,1,4,,,33.0
"Groom, Ray",2,2,1,2,-,2,2,3,1,1,1,,2,1,1,-,3,-,3,1,28.0
"Hardeman, Gary",4,,-,,,2,-,4,2,-,-,2,1,1,2,-,1,3,3,-,25.0
"Johnson, Tassie",3,1,-,,1,2,-,2,1,2,3,-,-,1,-,1,-,2,1,2,22.0
"Jones, Brent",2,,,-,,,2,,2,2,-,1,2,3,2,-,2,-,2,1,21.0
"Kenneally, Bryan",2,1,3,3,4,3,8,3,-,6,3,4,6,3,,1,1,7,9,4,71.0
"Lakes, George",,,,,,,,,,,,4,1,6,2,1,1,1,3,2,21.0
"Lees, Ted",3,1,,,,,,,,-,1,,,,,,,,2,2,9.0
"Mann, Hassa",1,3,3,3,5,,3,5,3,5,5,,3,4,2,2,7,8,4,5,71.0
"Osborne, Graham",,,2,-,3,3,1,3,-,-,-,-,-,-,,-,1,-,1,1,15.0
"Osborne, Ken",,,,,,,-,-,3,4,1,,,,,,,,,,8.0
"Parke, Greg",,2,5,8,3,4,4,3,,5,2,8,7,,8,5,7,9,8,5,93.0
"Rhoden, Phil",,,,,,,2,,,,,,,,,,,,,,2.0
"Roet, Brian",1,-,,-,-,-,-,-,2,1,-,-,-,-,-,,1,-,-,-,5.0
"Schwarz, Darryl",,,,,,,,,4,-,,,,,,,,,,,4.0
"Stone, Neville",,,,,,-,1,,,-,,,,,,,-,,1,,2.0
"Sullivan, Tony",,,,-,2,-,,2,,-,,,,,,-,,,,,4.0
"Townsend, John",6,9,6,9,7,1,,3,4,5,1,,,,4,-,1,2,2,2,62.0
"Vagg, Barrie",1,1,2,-,-,-,3,4,2,1,1,4,-,,2,1,2,1,2,2,29.0
"Walker, Max",1,2,2,2,2,-,2,2,,,1,-,2,3,-,1,,-,,1,21.0
"Weekes, Peter",,,,,,,,,,,,,,,,,2,2,1,,5.0
"Whitton, Geoff",,1,1,2,6,2,,,,,,,,,,,,,,,12.0
"Williams, Don",4,1,1,,,,,,,,,,,,,,,,,,6.0
Totals,45,38,38,38,45,25,36,48,44,43,26,38,33,41,39,27,43,47,52,34,780.0
Opponent,FI,SK,SM,NM,GE,FO,HW,CW,RI,ES,CA,FI,SK,SM,NM,GE,FO,HW,CW,RI,
