Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Bennett, Darren",1,4,6,1,2,2,1,3,3,1,-,-,4,1,1,2,6,1,3,2,,5,2,3,54.0
"Beveridge, Luke",-,,,,,,,-,,-,,,,,,,,,,,,,,,
"Cameron, Stuart",,,,,,,,,,-,-,-,-,-,,,,,,,,,,,
"Campbell, Tony",,,1,2,1,-,2,2,1,-,,,,,-,1,-,1,2,1,-,-,-,-,14.0
"Clark, Steven",1,2,2,,,,,,,,,,,,,,,,,,,,,,5.0
"Eishold, Simon",-,-,1,-,-,2,1,-,-,2,,,,,-,-,1,1,-,1,-,-,4,-,13.0
"Febey, Steven",-,-,-,-,1,3,-,1,1,-,-,-,-,-,-,-,2,-,,-,-,-,1,-,9.0
"Flintoff, David",-,,,,,,,,,-,1,,,,,-,-,-,,,,,,,1.0
"Grinter, Rod",-,1,-,-,1,,-,-,,,,,,,,,,,-,-,-,-,-,-,2.0
"Healy, Greg",,,,,-,1,-,,-,,,,,,2,-,-,2,1,-,,1,-,-,7.0
"Heaver, Brent",,,,,,,,,,,1,-,-,,1,1,-,,-,,-,-,,,3.0
"Hickmott, Robert",,,,,,,,,,,,,-,1,,,,,,,,,,,1.0
"Howat, John",,,,,,,,,,-,,,,,,,,,-,,-,-,-,-,
"Hughes, Danny",,,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,-,-,1,,,,,2.0
"Jackson, Ricky",,,,,,,,,,,,,,,1,1,1,3,2,2,2,1,-,1,14.0
"Johnson, Alan",,,,1,,,,,,-,-,1,1,1,1,,,,,,,,,,5.0
"Keogh, Rod",,,,,,,,,,,2,-,-,-,,,,,,,,,,,2.0
"Lovell, Andy",,2,-,2,-,-,-,1,-,-,,-,1,-,,,,,,,,,,,6.0
"Lovett, Brett",1,2,-,1,1,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,8.0
"Lovett, Glenn",,,,,,,-,1,1,-,-,-,3,-,,,,,,,,,-,-,5.0
"Lyon, Garry",1,-,-,-,1,-,-,-,-,-,1,-,-,,-,1,-,1,,1,-,2,1,,9.0
"Mahoney, Mathew",,,,,,,,,,,,,,,,,,,-,-,-,-,,,
"Newport, Stephen",-,2,-,-,-,-,-,1,-,-,-,2,-,-,,,,,,,-,1,1,-,7.0
"ODwyer, Steven",-,1,-,,,2,-,,-,-,-,-,,,-,-,-,-,,,,,-,-,3.0
"Obst, Andrew",1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,,,-,-,-,3,-,-,1,7.0
"Rohde, Peter",-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Seow, Dannie",,,,,,,,,,,,,,-,-,,,,,,,,,,
"Spalding, Earl",,-,-,-,-,1,-,1,-,,3,1,-,-,-,-,-,-,-,1,2,-,-,-,9.0
"Spencer, Trevor",-,1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Stretch, Steven",1,1,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,,-,2,8.0
"Stynes, Jim",-,1,2,-,-,1,-,-,-,-,-,-,1,-,1,-,-,1,-,-,1,-,-,-,8.0
"Tingay, Stephen",-,-,-,-,-,3,1,-,-,-,-,1,-,-,2,1,-,-,-,-,2,2,3,1,16.0
"Viney, Jay",,,,,1,-,,-,,,,,,-,,,,-,-,-,-,-,,,1.0
"Viney, Todd",,,,1,1,1,1,-,-,,-,-,3,3,-,1,2,-,,,,,,-,13.0
"Wight, Sean",1,-,,,,,,,,,,,,,,,,,,,,,,,1.0
"Wilson, Brian",2,1,1,-,2,-,,,-,,,,,,-,-,2,,-,2,1,,,,11.0
"Yeats, Graeme",-,-,-,-,-,-,-,-,-,-,-,1,-,1,,-,-,-,-,1,-,-,-,1,4.0
Totals,9,18,13,9,11,16,7,12,6,3,8,10,13,8,9,9,14,10,8,12,11,12,12,9,249.0
Opponent,NM,GE,ES,FI,BB,SY,WC,RI,HW,CW,CA,FO,SK,NM,GE,ES,FI,BB,SY,WC,RI,HW,HW,WC,
