Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Charles, Sean",1,1,,,,,-,1,1,-,2,1,1,-,1,3,-,1,-,-,3,1,17.0
"Clarkson, Alastair",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,1.0
"Cockatoo-Collins, David",,,,,,,,,,,,,,,,,-,,,,,,
"Cockatoo-Collins, Don",,,,,,,-,-,-,,,,,-,,,,,,,,,
"Farmer, Jeff",-,2,-,2,,,-,-,1,1,-,1,-,1,2,,,,-,3,1,3,17.0
"Febey, Matthew",-,-,-,1,-,-,-,-,-,,,,,,,,,,,,-,-,1.0
"Febey, Steven",2,-,-,-,2,-,-,-,,1,-,,-,1,-,-,-,-,-,-,-,-,6.0
"Gaspar, Damien",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
"Grgic, Brent",,,,,,,,,,,,,,-,-,-,2,-,-,-,-,1,3.0
"Hopgood, Paul",-,-,,,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Ingerson, Anthony",-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Irving, Dean",,,,,,,,,,,-,-,,,,,,,,,,,
"Kowal, Darren",,,,,-,-,,,,,,,,,,,,1,-,,-,-,1.0
"Lamprill, Andrew",,,,,,,,,,,,,,,,,,,-,-,-,,
"Leoncelli, Andrew",-,-,-,,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Lovett, Brett",-,2,-,-,-,-,1,-,-,-,-,-,,-,-,1,-,-,-,,,,4.0
"Lovett, Glenn",1,1,-,-,,-,,,,,,,-,-,-,1,-,-,-,-,-,,3.0
"Lyon, Garry",2,,3,1,1,,,,,1,,,,,,,,,,,,,8.0
"McDonald, Anthony",,,,-,-,2,2,1,-,-,-,-,2,1,1,-,-,1,1,1,2,2,16.0
"McDonald, James",,,,,,,,,,,,,,,,,-,-,,,-,1,1.0
"McHardy, Todd",,,,,,,,,,,,1,-,,,,,,,,,,1.0
"Neitz, David",-,2,1,2,2,1,1,,,,,,2,1,-,1,-,-,1,3,4,1,22.0
"Nettelbeck, Craig",-,-,-,-,-,-,1,-,-,-,3,-,2,,,,,,,,,,6.0
"Newton, Leigh",,,2,-,-,,-,,-,-,,,,1,-,1,1,1,1,-,,,7.0
"Nicholson, Alistair",,,,,,-,,,,,,,,,,,,,,,,,
"OBrien, Darren",,,,,,,,2,-,-,-,-,1,-,,-,,,,1,-,-,4.0
"Obst, Andrew",-,2,1,-,,-,-,-,-,-,-,-,-,-,-,-,-,1,,1,,,5.0
"Pesch, Nick",,,-,-,-,-,,,,,,,,,,,,,,,,,
"Pyman, Robert",-,-,-,-,1,2,1,1,1,1,1,-,,,-,1,,-,-,-,-,-,9.0
"Robertson, Russell",,,,,,,,,,,,,,,,,,,,2,1,-,3.0
"Schwarz, David",,,,,,,,,,,-,1,3,-,1,3,2,-,3,2,,,15.0
"Seecamp, Marcus",,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,-,
"Smith, Shaun",-,-,-,,,,,,,,,,1,-,1,1,1,-,,-,-,-,4.0
"Stynes, Jim",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,1,-,-,4.0
"Tingay, Stephen",-,-,,1,,,,,,,,,,,,,,,,,,,1.0
"Viney, Todd",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,2.0
"Woewodin, Shane",-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,-,-,-,-,-,-,4.0
"Yze, Adem",,1,-,-,-,,,2,1,-,3,-,-,2,2,-,2,1,-,1,1,-,16.0
Totals,6,11,7,8,6,7,6,7,5,5,11,5,12,8,8,13,8,9,6,15,12,9,184.0
Opponent,NM,CW,SY,WB,WC,SK,FR,GE,PA,RI,AD,BL,HW,ES,CA,NM,CW,SY,WB,WC,SK,FR,
