Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bartram, Clint",-,,,,,,,,,,,,,,,,,,,,,,
"Bate, Matthew",-,2,-,3,2,1,-,-,,1,-,1,2,2,1,-,-,-,,2,,3,20.0
"Bell, Daniel",1,-,-,-,3,1,-,-,1,1,1,2,-,,,,-,-,1,1,,,12.0
"Bizzell, Clint",,,,1,,,,,1,-,-,2,1,-,-,-,,,,,,1,6.0
"Bode, Jace",,,,,,,,,,,,,,,,,,,1,-,-,-,1.0
"Brown, Nathan",,2,1,1,2,1,2,-,3,-,,,3,1,1,-,3,2,1,1,3,-,27.0
"Bruce, Cameron",2,-,4,-,2,3,2,1,1,3,3,1,2,,,,2,,,,-,1,27.0
"Buckley, Simon",,,,,,,,,,,,,,1,-,2,1,-,,,2,,6.0
"Carroll, Nathan",-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,1,-,-,-,4.0
"Davey, Aaron",-,1,-,2,6,3,3,1,2,2,-,-,2,-,2,,,-,1,2,,,27.0
"Dunn, Lynden",,,,-,-,1,2,-,1,,,,,2,2,,,,5,-,2,4,19.0
"Ferguson, Ryan",,,-,,,,,-,,,,,,,,,-,2,-,1,-,-,3.0
"Frawley, James",,,,,,,,,-,-,1,1,,-,-,-,-,,-,,,,2.0
"Garland, Colin",,,,,-,,,,,,,,,,-,,,,,,,,
"Godfrey, Simon",,2,2,-,-,1,2,6,2,1,1,1,2,1,2,3,-,-,,,,,26.0
"Green, Brad",2,3,-,1,,,1,1,1,-,-,1,1,,,3,1,1,2,-,1,-,19.0
"Holland, Ben",1,,-,,,,3,,-,,-,-,,,,,5,1,-,-,,,10.0
"Jamar, Mark",4,-,3,1,1,,,,,,,,,,,,,2,1,2,1,-,15.0
"Johnson, Chris",-,-,,,-,,,,,,,,,-,-,-,,,,,4,-,4.0
"Johnson, Paul",,,-,-,1,-,2,1,-,3,2,2,2,1,1,1,,,,,-,-,16.0
"Johnstone, Travis",-,1,4,,4,3,4,2,2,2,1,,2,,,,,,3,3,1,2,34.0
"Jones, Nathan",2,-,3,-,,1,3,1,2,3,2,5,3,2,1,7,3,3,2,6,3,7,59.0
"McDonald, James",-,7,8,8,3,6,1,-,4,4,5,4,7,8,3,1,5,3,4,4,,6,91.0
"McLean, Brock",1,,,,,,,,4,5,6,3,3,2,8,8,4,1,,1,4,9,59.0
"Miller, Brad",-,1,1,1,-,-,-,1,-,,,,,-,-,-,-,-,,,1,-,5.0
"Moloney, Brent",4,5,2,,6,3,3,,,,,,,,,5,1,2,2,,,,33.0
"Neitz, David",-,-,,,,1,-,-,-,-,1,,-,,,-,-,-,-,-,-,,2.0
"Newton, Michael",,,,,,,,,,,,,1,-,-,-,-,1,-,3,-,2,7.0
"Petterd, Ricky",,,,,2,1,,-,-,1,1,1,-,-,,,,,,,,,6.0
"Pickett, Byron",,,,2,-,1,,,,,,-,,,,,,2,3,1,1,-,10.0
"Rivers, Jared",,-,,,-,-,,,,,,,,,,,,,,,,,
"Robertson, Russell",-,-,,,,,,,-,-,-,-,-,1,-,-,-,,4,1,-,-,6.0
"Sylvia, Colin",,,,-,-,-,4,-,,-,2,-,1,3,2,1,1,,3,3,3,,23.0
"Ward, Daniel",2,2,1,1,,,1,1,-,-,-,-,-,-,-,-,-,1,,,1,1,11.0
"Warnock, Matthew",,,,,,-,-,,,,,,,,,,,,,,,,
"Wheatley, Paul",,-,-,-,,,,,,-,1,-,1,2,1,-,1,3,-,-,,,9.0
"Whelan, Matthew",-,-,-,-,,,,-,,,,,,,,,,,,,,,
"White, Jeff",2,2,2,4,5,3,2,2,1,3,2,2,5,1,2,1,1,5,4,2,2,-,53.0
"Yze, Adem",-,,-,2,-,-,-,1,,,,-,,,,,,,,,,,3.0
Totals,21,28,33,27,37,30,35,18,25,29,29,26,39,27,26,32,28,29,38,33,29,36,655.0
Opponent,SK,HW,GE,FR,SY,PA,WB,WC,KA,AD,CW,RI,ES,CA,BL,KA,PA,SY,WB,CW,FR,CA,
