Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bail, Rohan",,,,,,,,,,,,,,,,,,,-,,,,
"Bartram, Clint",2,-,-,-,1,1,2,1,,,,1,,,,2,2,2,2,-,,-,16.0
"Bate, Matthew",-,3,-,1,-,2,-,1,-,3,-,1,,1,1,1,-,1,-,-,-,,15.0
"Bell, Daniel",,,,,,,,,,-,-,,,,-,,,,,,,,
"Bennell, Jamie",-,-,1,1,5,-,1,,-,1,,-,-,-,,-,-,1,,,,1,11.0
"Bruce, Cameron",1,2,1,-,-,1,3,-,3,-,-,-,1,-,1,1,-,1,-,,,,15.0
"Buckley, Simon",-,,,,,,,,,,,,,,,,,,,,,,
"Cheney, Kyle",-,3,-,,,,,-,,,1,1,,,,,1,1,1,-,-,1,9.0
"Davey, Aaron",1,1,3,1,1,-,1,-,-,-,-,-,1,1,1,1,-,4,1,-,3,-,20.0
"Dunn, Lynden",,,1,1,-,-,1,-,,,,,,,2,-,1,1,4,-,,2,13.0
"Frawley, James",-,2,-,-,1,1,-,,-,-,-,-,1,-,-,1,,-,1,1,1,1,10.0
"Garland, Colin",-,,,,,,,,,,,,,,,,,,,,,,
"Green, Brad",3,-,-,-,,,,,-,1,1,-,-,-,-,1,,,,,,,6.0
"Grimes, Jack",,,,,,,1,2,1,-,1,-,1,-,1,-,,1,,,,,8.0
"Jamar, Mark",,,,,,,,,,1,2,,,1,2,1,,,,,1,4,12.0
"Jetta, Neville",2,1,2,1,2,,,,,,,-,2,-,-,1,,-,1,1,2,-,15.0
"Johnson, Paul",-,1,1,1,1,-,1,-,2,-,1,2,-,,,,2,1,1,-,1,,15.0
"Jones, Nathan",2,2,1,1,-,-,1,1,-,-,4,,-,-,1,1,1,2,-,-,,1,18.0
"Jurrah, Liam",,,,,,,,,,,,-,1,-,1,-,-,,,1,-,2,5.0
"Maric, Addam",,,,,,-,-,1,1,-,-,,,,,,,,,,,,2.0
"Martin, Stefan",,-,2,1,-,2,1,-,1,-,,1,1,-,1,1,-,-,-,1,2,,14.0
"McDonald, James",3,-,,,-,1,1,1,-,-,1,,,1,1,-,-,2,-,2,-,1,14.0
"McKenzie, Jordie",,,,,,,,,,,,,,,,,2,,,,2,-,4.0
"McLean, Brock",3,1,1,1,1,1,1,-,1,2,3,1,-,1,-,1,,,,-,-,-,18.0
"McNamara, Tom",,,,,,,,,,,,,,,,,,,1,1,1,,3.0
"Meesen, John",,,1,3,2,3,,,,,,,,,,,,,,,,,9.0
"Miller, Brad",-,-,1,1,-,1,-,1,-,1,,1,-,,,,3,-,-,1,,2,12.0
"Moloney, Brent",2,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,2,,-,-,-,1,10.0
"Morton, Cale",1,1,-,-,4,1,1,1,-,-,-,-,-,2,-,-,2,,-,-,-,1,14.0
"Newton, Michael",,,,2,1,,,,,,,,,,,,3,1,2,,,,9.0
"Petterd, Ricky",2,-,-,3,-,-,-,-,-,,,,-,2,-,1,3,-,1,-,-,,12.0
"Rivers, Jared",-,3,1,3,-,-,-,,-,1,-,1,-,3,2,1,-,-,,-,1,-,16.0
"Robertson, Russell",,,,,,-,-,2,1,,2,2,-,-,-,-,,,,-,-,1,8.0
"Spencer, Jake",2,1,,,,,,,,,,,,,,,,1,-,,-,-,4.0
"Sylvia, Colin",,1,1,-,-,1,2,-,2,-,1,-,1,-,,,,,1,-,2,1,13.0
"Valenti, Shane",,,,,,,,1,,,,,,,,,-,1,1,-,-,,3.0
"Warnock, Matthew",1,1,-,1,-,1,-,-,-,-,-,,-,-,-,1,-,-,,,,,5.0
"Watts, Jack",,,,,,,,,,,1,-,1,,,,,,,,,,2.0
"Wheatley, Paul",,,,,,,,,,,,,,1,1,,,,,,,1,3.0
"Whelan, Matthew",,,,,,,,2,2,-,-,1,1,,,,-,-,,,-,-,6.0
Totals,25,23,17,23,22,16,17,14,14,10,18,12,11,13,15,16,22,20,17,8,16,20,369.0
Opponent,NM,CW,PA,RI,AD,GE,WC,WB,HW,SK,CW,ES,BL,WC,PA,GE,SY,RI,NM,FR,CA,SK,
