Player,R1,R2,R3,R4,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,R19,R20,R21,R22,R23,R24,Tot
"Bail, Rohan",-,-,-,-,-,-,-,,,,,,,,,,,,,,,-,
"Bartram, Clint",-,-,-,-,-,-,-,-,,,-,-,,,,,,-,-,-,-,-,
"Bate, Matthew",,,,,,-,,-,-,,,,,,,-,-,-,,,,-,
"Bennell, Jamie",-,-,-,-,-,,-,,-,-,-,-,-,-,,-,,,,-,-,-,
"Blease, Sam",,,,,,,,,,,,,,-,,,,,-,-,2,-,2.0
"Davey, Aaron",-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,,
"Dunn, Lynden",-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,,,,
"Evans, Michael",,,,,,,,-,-,-,-,,,,,,,,,,,,
"Fitzpatrick, Jack",,,,,,,,,,,,,,,,,,,,,,-,
"Frawley, James",,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2.0
"Garland, Colin",-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,3,-,3.0
"Gawn, Max",,,,,,,,,,-,-,-,,,,,,-,,,,,
"Green, Brad",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,1.0
"Grimes, Jack",-,-,-,-,-,-,,,,,,,,,,,,,,,,,
"Gysberts, Jordan",,,-,-,-,-,-,-,-,2,-,,-,-,-,-,-,-,,,,,2.0
"Howe, Jeremy",,,,,,,,,,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Jamar, Mark",-,-,-,2,-,1,,,,,,,-,-,-,-,-,,-,-,-,-,3.0
"Jetta, Neville",-,-,,,,,-,-,-,-,-,,,,,,,,,,-,-,
"Jones, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1.0
"Jurrah, Liam",-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,2.0
"Macdonald, Joel",-,,,,,,,-,-,-,-,-,-,,,,,-,-,-,,,
"Maric, Addam",-,-,,,,-,-,-,-,,,,,,-,-,-,,,,,,
"Martin, Stefan",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McDonald, Tom",,,,,,,,,,,,,,,,,,,,,-,-,
"McKenzie, Jordie",,,,,,,,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,6.0
"McNamara, Tom",,,,,,,,,,,,,,,,,,,,,-,,
"Moloney, Brent",2,-,3,1,-,3,-,-,-,-,-,-,3,-,3,-,-,-,-,-,1,3,19.0
"Morton, Cale",,,-,-,-,,,,-,-,-,-,-,-,-,,,,-,-,-,-,
"Newton, Michael",,,,,,,-,-,-,,,,,,,,,,,,,,
"Nicholson, Daniel",,,,,,,,,-,-,,-,-,-,-,-,-,,-,,,,
"Petterd, Ricky",-,-,,,,-,-,-,-,,,-,-,-,1,-,-,-,-,-,,,1.0
"Rivers, Jared",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Scully, Tom",,,,,,,,,,-,-,2,-,-,-,,,-,-,-,-,,2.0
"Strauss, James",,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,
"Sylvia, Colin",-,-,-,3,-,2,-,-,-,-,-,-,-,-,2,-,-,,-,3,,,10.0
"Tapscott, Luke",-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,-,-,
"Trengove, Jack",-,-,-,-,-,-,,,,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Warnock, Matthew",,,,,,-,-,-,-,,,,,,,,,,,,,,
"Watts, Jack",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1.0
"Wonaeamirri, Austin",,,-,-,-,-,-,,,,,,,,,,,,,,,,
Totals,2,0,5,6,0,6,0,0,0,6,0,6,6,0,6,0,0,0,1,4,6,3,57.0
Opponent,SY,HW,BL,GC,WC,AD,NM,SK,CA,ES,CW,FR,RI,WB,PA,HW,GE,CA,WC,RI,GC,PA,
