Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,Tot
"Brayshaw, Angus",,,,11,7,10,13,8,13,15,18,5,13,14,11,19,10,6,10,11,10,17,16,4,11,252.0
"Bugg, Tomas",,4,7,9,,,,,,,,,,,,,,,,,,,,,,20.0
"Fritsch, Bayley",4,2,4,9,,1,10,13,4,15,12,6,4,-,8,6,6,-,6,6,6,4,4,8,,138.0
"Frost, Sam",,,3,4,,,,,,,,,,,6,3,5,5,8,3,5,8,6,4,1,61.0
"Garlett, Jeff",3,4,5,3,2,,,,,,,,,,8,6,5,8,5,7,,,,,,56.0
"Gawn, Max",12,8,10,5,5,8,12,14,3,10,11,10,5,11,9,7,5,7,8,3,8,8,4,7,2,192.0
"Hannan, Mitch",3,,,,,5,3,7,5,7,4,2,2,2,,3,,,,,6,,4,3,5,61.0
"Harmes, James",5,11,8,5,7,16,11,17,15,8,6,10,13,11,12,9,8,17,12,14,16,12,13,9,11,276.0
"Hibberd, Michael",8,10,8,10,4,5,10,4,4,10,11,9,7,7,8,4,,,,,10,8,4,6,6,153.0
"Hogan, Jesse",8,7,9,12,10,3,12,10,7,9,4,12,7,7,7,5,7,4,7,8,,,,,,155.0
"Hunt, Jayden",7,1,,,4,3,3,,,,,,,,,,,,,4,,,,,,22.0
"Jetta, Neville",6,7,9,2,8,13,8,8,4,11,10,5,4,9,7,4,4,2,2,5,5,4,3,9,6,155.0
"Jones, Nathan",19,16,11,12,18,12,14,10,16,19,18,20,14,11,12,10,18,14,9,9,11,13,6,9,8,329.0
"Kennedy Harris, Jay",,,,,,,,,,,,,,,,6,9,8,9,9,,5,,,,46.0
"Kent, Dean",,,8,6,5,,,,,,,,,,,,,,,,5,1,,,,25.0
"Lever, Jake",2,4,6,5,5,4,3,4,8,3,1,,,,,,,,,,,,,,,45.0
"Lewis, Jordan",18,12,15,5,,8,10,10,13,7,17,11,8,9,7,12,16,7,7,11,13,12,10,9,8,255.0
"Maynard, Corey",10,,,,,,,,,,,,,,,,,,,,,,,,,10.0
"McDonald, Oscar",4,1,2,3,3,3,8,7,2,-,4,3,4,7,2,4,2,2,5,5,2,9,10,3,5,100.0
"McDonald, Tom",,,,,,5,5,6,6,6,10,7,6,4,8,7,8,7,6,6,2,6,8,4,4,121.0
"Melksham, Jake",6,9,4,5,2,4,3,5,7,6,4,4,3,2,6,6,2,5,,,2,3,1,1,2,92.0
"Neal-Bullen, Alex",2,5,8,10,6,5,5,12,10,8,13,12,6,9,5,11,2,7,7,4,11,2,8,3,5,176.0
"Oliver, Clayton",19,24,13,18,21,11,28,17,18,23,28,18,18,16,20,20,26,18,14,12,15,18,21,14,22,472.0
"Pedersen, Cameron",7,2,,,,,,,,,,6,,,,,,,,4,,,,,,19.0
"Petracca, Christian",10,10,11,7,7,,7,14,10,10,11,5,8,3,17,9,10,10,8,7,11,6,8,9,10,218.0
"Petty, Harry",,,,,,,,,,,,,,4,,,,,,,,,,,,4.0
"Salem, Christian",7,7,5,7,12,11,,13,7,9,11,4,6,6,10,4,7,2,7,10,6,9,4,4,6,174.0
"Smith, Joel",,,,,,,,,,,,9,2,9,6,,12,-,4,,,,,,6,48.0
"Smith, Tim",,,,,,,,,11,11,4,,4,,,,,,,,,,,,,30.0
"Spargo, Charlie",,,,,,14,9,2,5,4,6,7,,,5,7,3,7,3,6,5,10,4,5,5,107.0
"Stretch, Billy",,,,,9,,,,,,,,,,9,,,,,,,,,,,18.0
"Tyson, Dom",,10,10,,11,12,14,10,,,,,12,7,,,15,11,14,18,15,8,10,4,11,192.0
"Vandenberg, Aaron",,,,,,,,,,,,,,,,,,,6,3,9,8,9,7,8,50.0
"Vince, Bernie",4,2,7,4,7,4,8,4,7,7,8,7,6,,,6,8,5,7,,,,,,,101.0
"Viney, Jack",,,,,,,,,4,25,13,14,17,16,19,,,,,,,,16,17,17,158.0
"Wagner, Josh",9,4,5,4,5,,,,,,,,,,,,,,,,,,,,,27.0
"Weideman, Sam",,,,,5,6,6,4,,,,,,4,,,,,,,3,10,12,6,2,58.0
Totals,173,160,168,156,163,163,202,199,179,223,224,186,169,168,202,168,188,152,164,165,176,181,181,145,161,4416.0
Opponent,GE,BL,NM,HW,RI,ES,SK,GC,CA,AD,WB,CW,PA,SK,FR,WB,GE,AD,GC,SY,WC,GW,GE,HW,WC,
