Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Baker, Oskar",,,,,,,,,8,11,15,14,11,12,,,,4,11,7,,,93.0
"Brayshaw, Angus",11,14,24,8,18,20,12,14,12,8,13,20,15,16,7,7,9,12,6,20,11,12,289.0
"Chandler, Kade",,,,,,,,,,,,,,,,,,,,,4,,4.0
"Dunkley, Kyle",,,,,,,,,,,,,,,6,4,,,9,11,3,,33.0
"Fritsch, Bayley",8,12,10,11,13,8,10,9,5,12,13,24,14,13,15,6,17,7,12,9,4,5,237.0
"Frost, Sam",7,5,7,4,9,5,8,11,9,9,5,-,10,13,11,6,7,7,15,8,6,7,169.0
"Garlett, Jeff",,,,,,7,5,4,8,3,6,4,,,,,,,,,,,37.0
"Gawn, Max",4,5,8,8,12,4,7,5,5,9,12,11,11,4,,9,3,7,12,5,4,7,152.0
"Hannan, Mitch",,,,,,,,,,,3,12,5,10,10,2,,,,,,,42.0
"Harmes, James",10,7,12,8,17,11,18,14,16,17,17,21,11,16,16,8,16,13,11,20,11,22,312.0
"Hibberd, Michael",9,10,10,11,13,6,19,7,,,16,11,,8,12,6,15,5,18,11,14,13,214.0
"Hore, Marty",7,,,16,18,8,10,11,8,7,,11,10,7,4,,,,,,9,8,134.0
"Hunt, Jayden",5,3,7,5,10,5,6,6,14,3,10,6,7,12,7,5,10,13,6,6,,9,155.0
"Jetta, Neville",5,3,4,,7,,,,,,,,,,,6,8,3,,,,,36.0
"Jones, Nathan",14,16,13,10,16,11,7,18,12,4,20,12,16,18,19,14,19,12,18,15,9,12,305.0
"Keilty, Declan",,,,,,,2,7,,,,,,,,,,,,,,,9.0
"Kennedy Harris, Jay",,,,,,,,,,,13,,,,,,,,11,10,7,9,50.0
"Kolodjashnij, Kade",,5,9,,,,,,,,,,,,,,,,,,,,14.0
"Lever, Jake",,,,,,,,,,,,9,,,,5,8,11,10,7,9,11,70.0
"Lewis, Jordan",,,,,11,10,5,14,,,,,,,13,9,8,7,4,11,16,18,126.0
"Lockhart, Jay",,4,8,,,7,12,13,7,7,,,11,12,8,7,3,,,,,,99.0
"May, Steven",,3,,,,,,,,,,10,12,7,10,4,9,,,7,,,62.0
"McDonald, Oscar",3,3,4,7,,,7,6,6,5,8,,,,,,,7,6,7,,,69.0
"McDonald, Tom",3,11,4,9,8,10,5,2,8,3,5,6,14,8,14,,,,,,,,110.0
"Melksham, Jake",17,7,4,9,8,10,11,16,,,,,,,,,,,11,9,7,8,117.0
"Neal-Bullen, Alex",8,4,5,,,5,8,,5,,,,12,14,9,10,11,12,,,9,10,122.0
"Oliver, Clayton",11,17,14,12,22,12,17,15,19,4,18,12,12,21,9,5,15,11,21,16,10,14,307.0
"Petracca, Christian",8,5,9,9,12,6,4,14,9,8,15,11,14,8,8,7,7,10,14,10,12,15,215.0
"Petty, Harry",,,,,,,,,4,3,,,8,11,8,5,3,9,5,4,,,60.0
"Preuss, Braydon",,,,1,6,,,,,,,,,,8,1,3,,3,,,-,22.0
"Salem, Christian",14,9,7,10,21,10,17,15,12,,,23,10,17,16,10,18,13,11,19,9,11,272.0
"Smith, Tim",,,,,,3,,,4,6,5,,5,5,,,,4,,,,,32.0
"Spargo, Charlie",10,,,4,9,,,,,7,8,8,,,,,,,,,8,5,59.0
"Sparrow, Tom",7,5,,,,,,,,,,,,,,,,,,,,,12.0
"Stretch, Billy",,,,8,,11,14,13,12,11,12,,,,,,,,,,12,17,110.0
"Viney, Jack",7,12,9,9,15,16,,13,10,16,17,9,12,15,11,15,8,7,15,10,11,15,252.0
"Wagner, Corey",7,,8,7,4,,,,,5,,,,,,,9,3,6,7,10,4,70.0
"Wagner, Josh",,,7,8,6,,4,9,9,17,12,9,9,,,,12,11,,,,,113.0
"Weideman, Sam",8,6,4,4,6,4,,,,,6,5,3,3,7,,,,,,,,56.0
Totals,183,166,187,178,261,189,208,236,202,175,249,248,232,250,228,151,218,188,235,229,195,232,4640.0
Opponent,PA,GE,ES,SY,SK,RI,HW,GC,WC,GW,AD,CW,FR,BL,CA,WB,WC,SK,RI,CW,SY,NM,
