Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Bedford, Toby",1,-,-,-,-,-,1,-,,-,1,-,,-,-,-,-,-,,,,,,,3.0
"Bowey, Jake",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,
"Brayshaw, Angus",-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,4.0
"Brown, Ben",-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,
"Brown, Mitch",,,,,,,,,,,,-,-,,-,,,,,,,,,,
"Chandler, Kade",,,,,,,-,,-,,,,-,,,,,,-,,,,,,
"Dunstan, Luke",,,,,,-,-,,,-,-,,,,,,-,,,,,,,,
"Fritsch, Bayley",-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Gawn, Max",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,
"Harmes, James",-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,,-,-,-,-,-,
"Hibberd, Michael",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Hunt, Jayden",-,-,1,1,1,-,-,-,2,-,-,-,,-,,-,,,-,-,1,-,-,-,6.0
"Jackson, Luke",-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,-,-,1.0
"Jordon, James",-,-,-,-,-,-,1,-,1,-,1,-,1,1,-,-,-,-,-,-,-,-,,,5.0
"Langdon, Ed",1,-,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,-,-,-,-,-,-,3.0
"Lever, Jake",,,,-,-,,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,-,-,-,1.0
"May, Steven",3,-,1,-,-,-,-,-,-,-,-,,,-,-,1,-,-,-,-,-,-,1,-,6.0
"McDonald, Tom",-,-,-,-,-,,-,-,-,-,,,,,,,,,,,,,,,
"Melksham, Jake",,,,,,,-,,,-,-,,,,,,2,-,-,-,2,-,-,-,4.0
"Neal-Bullen, Alex",2,-,-,2,-,-,,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.0
"Oliver, Clayton",1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,-,3.0
"Petracca, Christian",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Petty, Harry",,,,,-,-,,-,-,1,-,-,-,-,-,-,,-,-,-,-,-,-,-,1.0
"Pickett, Kysaiah",-,-,-,-,1,-,,1,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,1,6.0
"Rivers, Trent",,-,-,-,-,-,-,-,-,-,-,,,,,,-,2,-,-,-,2,-,-,4.0
"Salem, Christian",-,,,,,,,,,,,-,-,-,1,-,-,-,-,-,-,,-,-,1.0
"Smith, Joel",-,-,-,,,-,-,,,,,,,,,,,,,,,,-,-,
"Spargo, Charlie",-,-,-,1,2,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,1,1,8.0
"Sparrow, Tom",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Tomlinson, Adam",-,-,-,-,,,,,,,,-,,,-,,-,-,,,,,,,
"Turner, Daniel",,,,,,,,,,,,,-,,,,,,,,,,,,
"Viney, Jack",-,-,1,-,-,,-,-,1,,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Weideman, Sam",,,-,-,-,-,-,,,,-,,,-,-,,,-,-,,,,,,
Totals,8,0,4,5,4,0,2,2,6,4,4,2,4,2,3,1,4,2,1,0,3,2,2,3,68.0
Opponent,WB,GC,ES,PA,GW,RI,HW,SK,WC,NM,FR,SY,CW,BL,AD,GE,PA,WB,FR,CW,CA,BL,SY,BL,
