Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Bedford, Toby",3,-,-,-,-,-,1,-,,2,1,-,,2,1,3,-,-,,,,,,,13.0
"Bowey, Jake",2,9,7,1,3,8,4,5,1,4,7,3,4,3,3,1,,,,,,4,,,69.0
"Brayshaw, Angus",6,9,20,6,2,6,10,13,8,5,9,7,11,8,9,7,7,11,3,-,3,3,2,5,170.0
"Brown, Ben",8,2,,,,2,3,6,2,3,1,2,4,6,3,5,8,,,7,3,6,3,5,79.0
"Brown, Mitch",,,,,,,,,,,,4,2,,5,,,,,,,,,,11.0
"Chandler, Kade",,,,,,,2,,-,,,,1,,,,,,-,,,,,,3.0
"Dunstan, Luke",,,,,,2,5,,,1,2,,,,,,-,,,,,,,,10.0
"Fritsch, Bayley",4,1,4,3,7,5,1,1,5,4,4,4,2,4,5,2,5,4,6,2,-,6,6,5,90.0
"Gawn, Max",4,2,5,12,5,8,6,4,5,3,8,9,4,,,-,6,8,2,10,7,5,5,4,122.0
"Harmes, James",1,2,5,7,11,2,3,7,2,,,3,5,2,3,2,1,-,,-,-,6,6,4,72.0
"Hibberd, Michael",,,,,,,,,,,,,3,6,4,8,8,6,4,2,7,1,1,2,52.0
"Hunt, Jayden",4,1,5,2,3,5,3,3,4,-,2,-,,-,,-,,,2,-,3,7,6,2,52.0
"Jackson, Luke",5,5,4,5,4,2,,3,2,3,1,4,2,4,,1,3,3,1,4,4,3,1,1,65.0
"Jordon, James",4,1,6,2,2,4,2,3,6,3,3,2,8,4,6,4,6,6,2,5,2,2,,,83.0
"Langdon, Ed",3,7,5,3,6,7,-,8,5,1,,4,4,2,6,5,8,2,4,1,2,5,5,2,95.0
"Lever, Jake",,,,2,5,,2,5,6,4,7,2,5,8,7,6,1,,6,3,1,8,4,6,88.0
"May, Steven",7,7,4,9,6,6,3,2,5,4,1,,,4,11,2,4,8,3,3,6,4,7,5,111.0
"McDonald, Tom",5,2,3,3,5,,5,6,5,2,,,,,,,,,,,,,,,36.0
"Melksham, Jake",,,,,,,5,,,3,1,,,,,,3,4,6,2,7,2,2,6,41.0
"Neal-Bullen, Alex",3,7,2,1,2,3,,5,6,2,2,1,5,3,3,1,4,3,-,2,2,7,1,6,71.0
"Oliver, Clayton",6,4,8,1,3,4,7,4,2,5,2,4,7,3,2,1,,1,3,3,3,3,4,2,82.0
"Petracca, Christian",8,6,3,1,7,3,5,6,6,5,1,4,4,6,5,2,7,1,3,4,3,6,1,3,100.0
"Petty, Harry",,,,,2,7,,5,2,3,3,3,6,2,6,3,,5,2,3,1,5,4,8,70.0
"Pickett, Kysaiah",2,4,1,2,5,4,,-,4,1,4,1,-,4,3,2,2,5,2,1,2,4,2,-,55.0
"Rivers, Trent",,3,11,2,4,8,5,4,3,4,1,,,,,,4,1,2,2,1,1,5,5,66.0
"Salem, Christian",-,,,,,,,,,,,9,7,4,7,5,4,4,2,4,8,,3,2,59.0
"Smith, Joel",5,3,4,,,2,-,,,,,,,,,,,,,,,,-,-,14.0
"Spargo, Charlie",2,3,4,5,7,4,4,6,2,3,5,6,6,4,4,3,6,6,5,2,2,3,3,1,96.0
"Sparrow, Tom",5,3,3,1,5,3,,3,2,1,4,2,4,3,2,-,6,6,1,2,1,4,5,3,69.0
"Tomlinson, Adam",4,9,5,3,,,,,,,,4,,,-,,7,6,,,,,,,38.0
"Turner, Daniel",,,,,,,,,,,,,2,,,,,,,,,,,,2.0
"Viney, Jack",5,2,4,2,3,,5,2,3,,2,2,7,1,1,4,6,-,4,1,4,2,1,1,62.0
"Weideman, Sam",,,7,3,4,1,1,,,,3,,,1,3,,,4,1,,,,,,28.0
Totals,96,92,120,76,101,96,82,101,86,66,74,80,103,84,99,67,106,94,64,63,72,97,77,78,2074.0
Opponent,WB,GC,ES,PA,GW,RI,HW,SK,WC,NM,FR,SY,CW,BL,AD,GE,PA,WB,FR,CW,CA,BL,SY,BL,
