Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bassett, Scott",,,,,,,,,,,,7,1,,,,,,3,,,,11.0
"Bishop, Matthew",,,,6,4,3,3,1,,-,,2,1,3,-,-,-,-,-,,,,23.0
"Bode, Matthew",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
"Bond, Shane",,,,,,,,,,,6,-,,,,,,,,,,,6.0
"Brosnan, Steven",,,-,,,,,,,,,,,,,,,,,,,,
"Burgoyne, Peter",-,2,3,-,-,4,2,-,2,-,-,5,-,1,,2,1,2,2,-,-,1,27.0
"Carr, Josh",,,,,,,,-,-,1,1,1,-,1,1,2,-,-,,-,3,2,12.0
"Cockatoo-Collins, Che",2,,,,,,,,,,-,,,,,,,,,,,,2.0
"Cornes, Chad",-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,,-,-,-,1,-,5.0
"Daniels, Stephen",3,1,1,3,1,2,-,1,-,,,,,-,-,,1,,,,-,-,13.0
"Dew, Stuart",,-,,,,-,,-,-,-,,,,,-,1,-,7,2,2,3,1,16.0
"Dickie, Donald",,,,,,,1,-,-,,,,,,,,-,,,,,,1.0
"Francis, Fabian",2,4,5,-,-,5,5,4,3,2,2,11,1,2,2,6,3,3,6,3,4,1,74.0
"Francou, Josh",2,,-,1,1,,1,1,2,3,3,2,-,2,-,1,3,2,2,1,-,1,28.0
"French, Barnaby",3,-,-,-,-,3,1,-,1,1,1,,,,,-,1,-,2,2,1,,16.0
"Guerra, Brent",,,,,,,,,,,,-,-,-,1,1,3,-,,2,-,1,8.0
"Harwood, Mark",,,,-,-,-,-,-,-,-,-,,,,-,,,,,,,,
"James, Roger",3,3,-,2,,,-,1,2,-,-,3,3,2,2,-,2,-,1,4,1,2,31.0
"Kingsley, Adam",1,1,2,4,4,1,1,3,6,1,1,-,-,,,,,,,,2,2,29.0
"Koulouriotis, Paul",,,,,,,,,,,,,,,,,,-,,-,1,,1.0
"Lade, Brendon",1,-,,,,,,,,,,,,,,,,,,,,,1.0
"Lockwood, Bowen",,,,,,,,,,,-,-,-,-,,-,,-,-,-,-,1,1.0
"Lyle, Brayden",3,3,1,1,2,6,1,2,4,4,-,2,2,-,3,4,2,2,-,4,1,1,48.0
"Mead, Darren",1,1,1,2,1,1,2,,1,2,2,4,5,-,4,2,1,1,1,2,2,5,41.0
"Montgomery, Brett",1,1,1,1,-,3,-,5,6,3,3,3,1,4,1,5,4,2,3,2,3,3,55.0
"Morton, Danny",1,-,,-,-,,,-,-,1,,,,,,,,,,,,,2.0
"Murray, Derek",,,,1,-,1,,,,-,-,,,,,,-,-,-,-,-,-,2.0
"Paxman, Stephen",2,4,5,,5,4,3,3,1,8,2,4,1,3,2,2,3,4,7,6,,2,71.0
"Poulton, Jared",,1,3,4,1,1,1,,3,2,3,3,-,3,7,2,4,6,5,-,2,3,54.0
"Primus, Matthew",-,-,4,1,2,-,1,-,1,,1,-,1,-,2,-,1,-,-,-,2,1,17.0
"Schofield, Jarrad",,-,2,-,-,-,,-,-,-,-,2,2,-,1,1,1,-,1,,,-,10.0
"Steinberner, Nathan",2,,-,,,,,,,,,,,,,,,,,-,,,2.0
"Stevens, Michael",,,,,,-,-,,,,,,,1,1,2,-,,,,,,4.0
"Stevens, Nick",-,2,1,,,2,4,1,-,1,2,4,2,-,-,,,,1,3,3,-,26.0
"Tredrea, Warren",-,-,-,-,-,1,-,-,-,-,,-,-,-,-,1,1,-,1,1,-,-,5.0
"Wanganeen, Gavin",4,5,5,4,6,,,,,,,,7,1,-,5,,,3,,,,40.0
"Wilson, Michael",3,3,1,-,-,1,4,2,,3,4,1,2,3,1,-,1,3,-,3,1,4,40.0
Totals,34,31,35,30,27,38,31,24,32,33,32,54,29,26,28,38,32,32,40,35,30,31,722.0
Opponent,ES,FR,WB,BL,HW,CA,AD,ME,SY,GE,SK,KA,CW,WC,RI,ES,FR,WB,BL,HW,CA,AD,
