Player,R1,R2,R3,R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,Tot
"Boak, Travis",-,1,2,-,-,-,-,1,4,1,,1,1,1,-,3,-,-,3,-,1,-,1,-,2,22.0
"Broadbent, Matthew",-,3,7,4,7,2,2,2,5,7,4,4,4,7,3,5,1,6,5,2,3,1,3,2,1,90.0
"Butcher, John",-,-,-,,,,,,,,,,,,,,,,,,,,,,,
"Carlile, Alipate",,-,1,2,1,3,,2,1,2,1,2,2,2,,,,2,1,5,-,2,3,3,2,37.0
"Cassisi, Domenic",-,-,2,1,2,2,-,1,1,,-,-,,,-,,2,,,,,,,,,11.0
"Clurey, Tom",2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"Cornes, Kane",4,3,2,1,1,3,1,2,3,1,1,1,2,1,-,4,2,1,-,1,2,1,1,1,-,39.0
"Ebert, Brad",3,2,3,1,3,7,1,2,1,2,-,-,2,-,3,1,3,2,2,-,-,1,-,1,-,40.0
"Gray, Robbie",-,-,2,2,-,2,2,2,-,-,-,1,1,2,-,1,1,-,3,1,3,1,1,-,1,26.0
"Gray, Sam",,,,-,-,-,,,,,-,,-,-,,-,,,,,,,,,,
"Hartlett, Hamish",1,4,-,-,1,3,,-,2,,3,1,,1,1,-,3,1,1,-,2,-,1,1,4,30.0
"Hombsch, Jack",3,4,1,1,,2,1,-,2,1,1,4,1,4,1,2,2,1,1,1,-,2,5,1,2,43.0
"Impey, Jarman",2,3,1,-,1,1,-,-,2,1,5,-,,-,-,2,2,4,,,,2,,,,26.0
"Jonas, Tom",-,2,1,-,-,1,1,,,,2,3,1,1,4,2,2,2,2,2,4,3,5,3,2,43.0
"Lobbe, Matthew",-,-,-,-,-,-,1,,-,-,-,1,-,3,-,-,-,1,2,-,-,-,-,-,2,10.0
"Logan, Tom",,,,,,,,,,,,,-,,,3,,,,-,,,,,,3.0
"Mitchell, Kane",,,,,,,,1,1,-,-,3,1,-,-,-,,,2,,,,,,,8.0
"Monfries, Angus",1,1,-,,,,-,-,-,,,1,-,-,1,,,-,-,,1,-,-,-,-,5.0
"Moore, Andrew",,,,,,,,,,-,,,,,,,,-,1,1,-,1,-,1,1,5.0
"Neade, Jake",,,,,,,,,,1,,,,,,,,,-,-,-,-,1,-,-,2.0
"Newton, Ben",,,,,,,1,,,,-,,,,,,1,1,,,,,,,,3.0
"OShea, Cameron",,,,2,3,,,,,,,,,,7,1,3,2,1,2,1,,2,4,2,30.0
"Pittard, Jasper",2,6,4,-,3,4,3,5,3,3,1,6,3,7,7,3,3,3,1,4,7,2,1,4,4,89.0
"Polec, Jared",2,1,4,3,3,-,1,1,6,1,3,,4,2,2,3,1,2,9,2,-,-,1,2,-,53.0
"Renouf, Brent",,,,,,,,-,,,,,,,,,,,,,,,,,,
"Schulz, Jay",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,4.0
"Stewart, Paul",,,,,,,2,,,-,,,,,,,-,-,,,,,,,,2.0
"Trengove, Jackson",-,5,2,-,1,1,2,-,3,1,1,3,1,-,,,,,-,,1,-,-,2,-,23.0
"Westhoff, Justin",1,2,-,-,1,-,1,-,1,2,-,1,2,3,2,2,1,4,-,4,4,2,-,1,-,34.0
"White, Matt",-,-,-,1,2,-,1,-,-,2,,2,1,1,1,1,1,,,2,1,-,-,-,1,17.0
"Wines, Ollie",-,4,2,1,1,1,1,2,1,1,-,1,1,-,1,-,1,-,1,1,-,1,2,1,1,25.0
"Wingard, Chad",1,-,-,,-,-,-,-,-,-,-,-,1,2,-,-,1,1,2,-,-,-,-,2,-,10.0
"Young, Aaron",,,,1,-,3,-,-,-,-,2,-,-,,-,1,-,,,-,,,,,,7.0
Totals,23,41,34,20,30,35,21,21,36,26,24,35,29,37,33,34,30,33,37,29,30,19,27,30,25,739.0
Opponent,CA,AD,NM,BL,WC,GE,GW,FR,HW,ME,SK,SY,WB,AD,ES,RI,ME,CW,SY,GC,CA,FR,RI,FR,HW,
