Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Tot
"Aliir, Aliir",-,-,-,-,-,-,1,-,-,-,-,-,-,1,2.0
"Bergman, Miles",4,1,3,2,1,-,-,1,1,-,1,5,1,-,20.0
"Boak, Travis",,2,3,1,3,1,2,3,-,2,,,4,-,21.0
"Bonner, Riley",,,-,,,,-,2,3,-,1,2,-,-,8.0
"Burgoyne, Jase",,-,,,,,-,,,,,,,,
"Burton, Ryan",-,-,,,-,-,1,1,-,-,-,-,,2,4.0
"Butters, Zak",4,-,3,3,7,4,2,6,3,10,4,4,6,8,64.0
"Byrne-Jones, Darcy",1,-,-,-,-,-,2,1,,-,-,-,-,1,5.0
"Clurey, Tom",,,1,,,,,,,,,,,,1.0
"Dixon, Charlie",1,3,-,2,1,,-,1,,,,,-,1,9.0
"Drew, Willem",3,8,5,2,2,6,2,4,4,4,4,4,3,8,59.0
"Duursma, Xavier",5,-,2,1,-,4,-,,,,,,,,12.0
"Evans, Francis",-,,,,,,,-,1,1,-,,,,2.0
"Fantasia, Orazio",-,-,-,,,,,,,,,,,,
"Farrell, Kane",1,-,1,3,-,-,,,-,-,-,-,1,1,7.0
"Finlayson, Jeremy",,,1,2,3,2,1,2,4,-,2,2,-,1,20.0
"Georgiades, Mitch",-,-,,,,,,,,,,,,,
"Horne-Francis, Jason",7,1,6,6,5,8,11,5,4,4,4,6,4,2,73.0
"Houston, Dan",4,-,2,2,4,4,3,1,3,3,3,1,1,6,37.0
"Jonas, Tom",-,-,-,-,,-,,-,-,-,,,,,
"Jones, Lachie",2,-,-,,,,,,,,-,1,-,,3.0
"Lord, Ollie",,,,,,-,-,,-,-,-,-,,,
"Lycett, Scott",2,3,7,8,2,,,,,5,6,4,3,5,45.0
"Marshall, Todd",-,-,-,-,-,-,,-,-,,,-,-,-,
"McEntee, Jed",,,,-,1,-,-,-,1,-,1,-,-,-,3.0
"McKenzie, Trent",-,,,-,-,-,-,-,-,-,-,-,-,-,
"Mead, Jackson",,,,1,1,,,,1,-,2,,,,5.0
"Narkle, Quinton",,,,,,,,,,,,,,-,
"Powell-Pepper, Sam",3,3,-,2,2,1,1,1,-,4,1,-,2,-,20.0
"Rioli, Junior",3,-,1,-,-,1,1,1,,,-,2,1,,10.0
"Rozee, Connor",1,1,6,3,4,3,1,4,6,4,6,5,4,3,51.0
"Sinn, Josh",,,,,,,,,,,,-,-,1,1.0
"Teakle, Brynn",,,,,,3,1,-,3,,,,,,7.0
"Williams, Dylan",,,,-,-,1,1,-,2,-,-,1,-,1,6.0
"Wines, Ollie",6,5,7,3,3,3,2,2,7,3,2,5,2,4,54.0
Totals,47,27,48,41,39,41,32,35,43,40,37,42,32,45,549.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,
