Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,Tot
"Aliir, Aliir",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Bergman, Miles",1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,4.0
"Boak, Travis",,1,-,-,-,1,1,-,1,-,,,1,-,-,-,5.0
"Bonner, Riley",,,-,,,,-,1,-,-,1,-,-,-,-,,2.0
"Burgoyne, Jase",,-,,,,,-,,,,,,,,-,,
"Burton, Ryan",1,-,,,-,1,-,-,1,-,-,-,,-,-,-,3.0
"Butters, Zak",1,-,1,-,1,-,-,-,-,-,1,1,2,-,1,1,9.0
"Byrne-Jones, Darcy",2,-,1,2,-,2,2,-,,-,1,3,-,-,-,2,15.0
"Clurey, Tom",,,-,,,,,,,,,,,,,,
"Dixon, Charlie",-,1,-,1,-,,1,-,,,,,-,1,-,1,5.0
"Drew, Willem",-,-,2,-,-,1,-,1,1,-,-,1,-,-,1,1,8.0
"Duursma, Xavier",-,-,-,1,-,1,-,,,,,,,,,,2.0
"Evans, Francis",1,,,,,,,-,2,1,-,,,,,,4.0
"Fantasia, Orazio",-,1,-,,,,,,,,,,,,,,1.0
"Farrell, Kane",-,-,-,-,-,1,,,-,-,-,-,-,1,-,-,2.0
"Finlayson, Jeremy",,,1,-,-,2,1,1,-,-,2,-,1,1,-,2,11.0
"Georgiades, Mitch",-,1,,,,,,,,,,,,,,,1.0
"Hayes, Sam",,,,,,,,,,,,,,,,1,1.0
"Horne-Francis, Jason",3,-,1,-,1,-,-,1,1,1,-,2,1,-,1,-,12.0
"Houston, Dan",-,-,1,-,-,-,1,1,1,-,1,-,-,1,-,-,6.0
"Jonas, Tom",-,-,-,-,,-,,-,-,-,,,,,,,
"Jones, Lachie",-,-,-,,,,,,,,-,1,1,,,1,3.0
"Lord, Ollie",,,,,,1,-,,-,-,1,1,,,,,3.0
"Lycett, Scott",1,-,2,-,-,,,,,2,-,-,-,-,,,5.0
"Marshall, Todd",1,-,-,-,1,-,,1,-,,,3,2,1,-,-,9.0
"McEntee, Jed",,,,-,-,1,-,-,1,-,-,1,1,-,1,1,6.0
"McKenzie, Trent",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Mead, Jackson",,,,-,-,,,,1,-,-,,,,,,1.0
"Narkle, Quinton",,,,,,,,,,,,,,-,-,-,
"Powell-Pepper, Sam",1,-,-,-,-,-,-,1,-,1,-,1,1,2,1,2,10.0
"Rioli, Junior",1,1,-,-,-,1,-,-,,,1,1,1,,,-,6.0
"Rozee, Connor",-,-,-,1,-,-,2,1,1,1,-,2,-,3,-,-,11.0
"Sinn, Josh",,,,,,,,,,,,-,-,1,,,1.0
"Teakle, Brynn",,,,,,-,-,-,1,,,,,,,,1.0
"Visentini, Dante",,,,,,,,,,,,,,,-,,
"Williams, Dylan",,,,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Wines, Ollie",-,-,1,-,1,-,-,-,-,1,-,-,1,1,1,1,7.0
Totals,14,5,10,5,4,13,8,8,11,7,8,18,12,13,6,14,156.0
Opponent,BL,CW,AD,SY,WB,WC,SK,ES,NM,ME,RI,HW,WB,GE,ES,GC,
