Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Abbott, Les",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Bourke, Paddy",-,-,1,2,-,1,-,-,1,3,3,1,,1,,,-,,13.0
"Bowden, Bob",-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2.0
"Burton, Harry",,,,-,,,,,,,1,-,,,,,,,1.0
"Carter, Ernest",-,,,,,,,,,,,,,,,,,,
"Davison, Alick",-,1,-,,,,-,-,,,,,-,-,,,,-,1.0
"Ellin, Percy",,,,,,,,,,-,,,,,,,,,
"Ellis, Frank",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Frauenfelder, Les",1,1,,,,,,,,,,,,,,,,,2.0
"Gibson, George",-,,,-,-,-,-,-,1,-,,-,-,-,-,-,1,-,2.0
"Godfrey, Bruce",,,,,,,1,,,,,,,,,,,,1.0
"Heaney, Tom",,6,1,-,-,-,1,-,-,1,-,,-,-,-,-,-,-,9.0
"Herbert, Barney",-,-,-,,,,,-,-,-,-,-,-,-,-,-,1,-,1.0
"Incigneri, Len",-,-,-,,-,-,-,,-,-,-,-,-,1,1,1,-,1,4.0
"James, Hughie",-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,2,-,5.0
"Lacey, Jim",-,,-,,,1,1,,,,,,,,,,,,2.0
"Love, Frank",,,,,,,,,,,,-,-,,-,-,-,-,
"Luff, Bill",,-,,-,-,-,,,-,,,,,,,,,,
"Maguire, Mick",1,3,1,2,-,,,1,2,2,1,1,1,1,3,-,,1,20.0
"Mahoney, Bill",,1,1,1,-,-,-,-,,-,1,-,-,-,-,-,-,-,4.0
"Maybury, Percy",,1,,,-,1,-,1,-,1,2,1,-,,1,1,-,,9.0
"McCashney, Frank",1,1,1,-,-,-,-,1,1,-,-,-,,,,-,-,-,5.0
"McKenzie, Joe",,-,-,-,-,,,1,,,,,,,-,,,,1.0
"Neil, Harry",-,-,-,-,,,,,,,,,,,,,,,
"OConnor, George",,,,,,,,,,,,,,,,,,-,
"Ohlson, Ted",,,-,-,1,1,1,,-,-,-,1,-,1,-,1,1,1,8.0
"Oliver, Les",,,,,,,,,,1,2,-,2,-,1,-,1,1,8.0
"Price, Syd",-,,,,,,,,,,,,,,,,,,
"Reeves, Syd",,,,,,,,,,,,,,-,,,,,
"Schmidt, Billy",1,2,-,-,2,1,-,2,1,1,2,1,1,1,2,1,-,1,19.0
"Scott, Bill",,,,,,,,,,,,,,,,,-,,
"Scott, Bobby",-,,2,1,-,1,1,-,-,,-,,,,,,,2,7.0
"Thorp, Vic",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"White, John",,,,,,2,,1,,,,,,,,,,,3.0
"Woodhead, Herb",,,,,,,,,-,,,,-,-,-,-,,,
Totals,4,16,7,7,4,8,5,7,6,10,12,5,5,5,8,5,6,7,127.0
Opponent,SM,ME,UN,FI,GE,SK,CW,CA,ES,SM,ME,UN,FI,GE,SK,CW,CA,ES,
