Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,GF,Tot
"Baggott, Jack",-,2,-,1,2,3,4,3,-,3,2,1,3,1,2,2,-,5,3,,37.0
"Bentley, Perce",-,-,-,,,-,2,2,2,-,3,1,1,2,2,3,1,1,1,-,21.0
"Don, Donald",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,,,,
"Fincher, Jack",-,-,,,,,,,,-,-,2,-,-,-,1,-,-,1,1,5.0
"Ford, Bill",,,,1,,,,,,,,,,,,,,,,,1.0
"Gallagher, Les",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Geddes, Allan",-,-,2,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,3.0
"Harris, Don",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hayes, Doug",-,1,-,2,-,1,-,2,-,,1,-,1,-,,2,-,1,1,-,12.0
"Hislop, Max",,-,-,-,-,-,-,-,-,,,,,,-,,,,,,
"Huggard, Jack",,,,,,,1,1,-,-,7,1,6,4,-,-,,,,,20.0
"Jamison, Sam",,,,,,,,,,,,,,,,,,,-,-,
"Kight, Frank",,,1,-,,,,,,,,,,,,,,,,,1.0
"Lilburne, Dooley",-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,,-,-,
"Lynch, Dave",5,-,3,6,3,3,6,3,3,,,,,,,,,,,,32.0
"MacIsaac, Angus",2,1,,,2,1,-,1,1,2,1,-,1,-,,,,-,-,-,12.0
"McCormack, Basil",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McCormack, Jack",,,,,,,,,,,,,,,5,4,-,6,4,-,19.0
"Millar, Keith",,,,,,,,,-,,,,,,,,,,,,
"Murdoch, Joe",,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,
"OBrien, Frank",-,1,-,1,-,-,-,-,-,-,-,1,1,-,,,-,,-,-,4.0
"OHalloran, Tom",1,-,-,-,-,3,1,-,1,-,-,-,-,-,1,2,-,1,-,-,10.0
"ONeill, Bob",-,1,-,-,,,,,,,,,,,1,-,-,-,-,-,2.0
"Powell, Cyril",,,,,,,-,,,,,,,,,-,-,-,-,-,
"Robinson, George",,,,,1,-,,,,,,,,,,,,,,-,1.0
"Rudolph, George",1,1,1,1,1,-,1,2,1,1,3,1,1,1,-,-,1,2,-,-,19.0
"Spain, Jim",,,-,-,1,-,-,-,-,-,-,-,-,-,,,-,-,,,1.0
"Stainsby, Les",,,,,,,,1,,1,,,,,,,,,,,2.0
"Titus, Jack",-,,,,,,,,,,,,,,,,,,,,
"Watson, Carl",,,,,,,,,,,,,,-,-,-,,-,,,
"Weidner, Harry",-,1,-,1,2,1,-,,,2,-,3,2,1,-,-,1,-,2,-,16.0
Totals,9,8,7,13,12,12,15,15,9,9,17,10,16,9,11,14,3,16,12,1,218.0
Opponent,ME,SK,CW,FO,NM,CA,SM,ES,HW,GE,FI,ME,SK,CW,FO,NM,CA,HW,CA,CW,
