Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bain, Frank",,,-,-,,,,,,,,,,,,,,,,,,,
"Balme, Neil",,,,,,,,,,-,,,-,,,,,,,,,,
"Bartlett, Kevin",-,1,2,1,2,2,1,5,2,1,4,1,2,2,3,-,2,4,-,-,-,1,36.0
"Berry, Jeff",-,-,,,,,,,,,,-,-,-,-,,,-,,,-,,
"Bottams, Phillip",,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Bourke, Francis",1,2,3,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,8.0
"Cloke, David",5,,1,1,-,-,4,5,5,2,6,2,1,2,-,7,1,6,2,1,3,3,57.0
"Considine, Craig",,,,,,,,,,,,,,-,,-,-,-,1,-,-,,1.0
"Dunne, Emmett",2,2,1,1,-,1,1,3,-,1,,,,2,-,4,-,4,2,1,-,-,25.0
"Edwards, Allan",,-,-,1,-,,,,,,,,,,,,,,,,,,1.0
"Freame, Daryl",,,1,,,-,-,-,-,,,,,,,,,,,,,-,1.0
"Heard, Bob",-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Jenkinson, Noel",-,-,-,,,,,-,-,,,,,,,,,,,,,,
"Jess, Jim",-,-,-,-,-,-,,-,-,-,-,-,-,1,1,,,-,-,-,,-,2.0
"Keane, Merv",,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3.0
"Kershaw, Kim",,,,,-,,,,,,-,,,,,,,,,,,,
"Landy, Graeme",,,,,,,,,,,,,,,,,,1,-,,1,-,2.0
"Laughlin, Peter",,,,-,,,,,,,,,,,,,-,,,,,2,2.0
"Lee, Mark",-,-,-,-,,,,-,-,-,-,-,,-,-,-,-,-,-,-,-,,
"Leech, Eric",-,,,,,,-,-,-,,,,,,,,,,,,,,
"Malthouse, Mick",-,-,1,-,-,-,-,-,-,,,,,,,-,,,,,,,1.0
"McMillan, Geoff",,,,-,-,-,-,,,-,-,-,-,,,,,,,,,,
"Monteath, Bruce",2,2,-,-,-,-,-,2,1,2,-,2,3,2,1,-,-,-,-,-,-,2,19.0
"Mount, Stephen",2,2,,,,1,-,1,-,,,,,,,,,-,-,-,,,6.0
"Naylor, Greg",,,,,-,-,-,,,2,-,,,,,,-,,,,-,,2.0
"Oborne, Rod",,,,,,,,,,,,,,4,1,-,,,,,,,5.0
"Parkes, Gary",1,1,1,1,,,,,,,,,,,,,,,,,,,4.0
"Raines, Geoff",,1,1,-,-,1,-,-,-,3,1,1,1,-,2,1,-,-,-,-,-,-,12.0
"Roach, Michael",4,-,6,7,6,7,4,,,2,,7,3,2,7,3,6,10,-,3,6,7,90.0
"Robertson, Graeme",,,,,-,-,-,-,-,-,-,,,,1,-,-,,-,-,-,-,1.0
"Rowlings, Barry",,,,,1,1,3,-,-,-,-,1,-,1,2,1,1,1,-,1,-,1,14.0
"Scrimshaw, Ian",,,,,,,,,,1,-,,,,,,,-,-,-,,2,3.0
"Sheedy, Kevin",-,-,,-,-,,,,,,,,,,,,,,,,,,
"Strachan, Greg",,,,,-,,,,,,-,2,-,,,,,,,,,,2.0
"Tempany, Bruce",-,1,1,2,1,-,1,5,-,-,-,-,-,-,1,1,1,,,-,-,-,14.0
"Trotter, Barrie",,,,,,,,,,,,,-,-,,,,,,,,,
"Weightman, Dale",-,-,,,,,-,,,,4,5,1,1,1,1,3,1,1,-,1,-,19.0
"Wiley, Robert",1,1,2,-,,,,-,-,-,1,2,,,,,,,,,,,7.0
"Williams, Peter",,,,,,-,,,,,,1,-,-,-,-,-,,,,,,1.0
"Williams, Shane",,,,,,,,,,,-,-,,,,,,,,,,,
"Wood, Bryan",1,-,-,-,1,-,-,1,2,-,-,1,-,,2,-,2,1,-,1,1,-,13.0
Totals,19,13,20,15,11,13,14,22,10,14,16,25,12,17,22,18,16,28,6,10,12,18,351.0
Opponent,SM,CA,FI,ME,HW,NM,SK,FO,CW,GE,ES,SM,CA,ME,FI,HW,NM,SK,FO,CW,GE,ES,
