Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,QF,SF,PF,GF,Tot
"Aarts, Jake",,,,,8,5,4,2,3,9,7,1,6,10,8,4,12,5,,,,84.0
"Astbury, David",8,9,10,7,,,,,,,,,,,,,7,8,10,-,2,61.0
"Baker, Liam",6,9,,9,11,13,9,8,12,18,7,10,10,9,9,12,5,5,13,2,7,184.0
"Balta, Noah",,,,,11,6,6,4,6,6,6,6,4,12,10,4,6,6,3,6,6,108.0
"Bolton, Shai",10,4,6,8,,8,10,11,12,18,5,8,18,9,9,10,,9,8,11,5,179.0
"Broad, Nathan",7,6,8,6,9,12,15,12,12,5,3,8,,,6,,,,9,6,4,128.0
"Caddy, Josh",11,,9,10,13,12,5,,,,3,,,,,,4,,,,,67.0
"Castagna, Jason",8,7,5,7,12,8,14,6,13,11,3,9,10,9,7,11,6,7,7,2,5,167.0
"Chol, Mabior",,,,,4,3,5,1,-,3,4,2,3,,,,1,2,,,,28.0
"Cotchin, Trent",11,8,6,11,7,,,,7,9,,11,9,10,9,9,3,8,14,4,7,143.0
"Dow, Thomson",,,,,,,,,,,,,,7,2,,,,,,,9.0
"Edwards, Shane",10,7,7,11,11,,,,,,,,,,,,7,9,9,8,11,90.0
"Eggmolesse-Smith, Derek",,,,,,3,17,7,14,4,8,,,,,,,,,,,53.0
"Graham, Jack",4,8,11,,,11,7,4,,,,7,14,8,9,12,11,11,11,6,8,142.0
"Grimes, Dylan",4,6,10,3,2,12,15,7,12,3,8,6,4,-,,6,6,2,4,2,2,114.0
"Higgins, Jack",,9,8,10,10,14,12,8,10,3,,,,,6,,,,,,,90.0
"Houli, Bachar",,19,17,18,13,,,,,,,,11,15,14,6,11,9,25,8,5,171.0
"Lambert, Kane",10,10,6,8,16,15,17,7,12,11,2,12,13,6,,5,11,9,9,7,9,195.0
"Lynch, Tom",3,6,2,12,8,-,4,3,5,2,4,6,3,2,3,6,,,7,5,5,86.0
"Markov, Oleg",,,,,,,,,5,,,9,8,5,8,7,,,,,,42.0
"Martin, Dustin",12,8,,9,12,7,10,8,14,13,9,10,14,10,5,8,14,9,10,4,9,195.0
"McIntosh, Kamdyn",,,,8,10,12,7,8,6,12,10,13,9,3,11,9,12,5,16,5,7,163.0
"Naish, Patrick",,,,,,,,4,,,,,,,,,,,,,,4.0
"Nankervis, Toby",3,,,4,3,,,,,,,,,5,-,7,1,8,5,5,1,42.0
"Pickett, Marlion",8,4,7,,,6,13,3,8,10,5,9,15,6,10,4,6,6,6,6,9,141.0
"Prestia, Dion",19,13,8,18,14,,,,,,,,,,,,,13,8,6,8,107.0
"Riewoldt, Jack",3,3,6,4,5,4,6,3,4,5,1,5,4,5,5,6,8,2,2,-,4,85.0
"Rioli, Daniel",6,3,2,,7,3,5,5,,,9,8,11,11,10,10,10,9,10,11,3,133.0
"Ross, Jack",,,5,10,,,,,13,10,7,,,,,10,7,,,,,62.0
"Short, Jayden",11,12,11,14,11,17,15,10,12,10,9,11,10,12,15,11,15,13,10,6,11,246.0
"Soldo, Ivan",3,2,3,,,2,3,1,5,1,2,1,5,4,3,1,,,,,,36.0
"Stack, Sydney",5,2,14,7,,,,,8,7,5,7,4,,,,,,,,,59.0
"Vlastuin, Nick",2,8,14,7,8,10,9,8,,12,7,7,10,9,11,9,8,6,7,3,-,155.0
Totals,164,163,175,201,205,183,208,130,193,182,124,166,195,167,170,167,171,161,203,113,128,3569.0
Opponent,CA,CW,HW,SK,ME,SY,NM,GW,WB,BL,PA,GC,ES,WC,FR,GE,AD,BL,SK,PA,GE,
