Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,Tot
"Baker, Liam",-,-,-,-,1,1,-,1,-,-,-,-,1,2,1,1,8.0
"Balta, Noah",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Banks, Sam",,,,,,,,,,,,,,,,-,
"Bauer, Jacob",,,,,,,,,,,,,,,,-,
"Bolton, Shai",2,-,-,1,-,-,1,4,-,-,2,1,1,-,2,2,16.0
"Broad, Nathan",-,-,,,,,-,-,-,-,-,-,-,-,-,-,
"Clarke, Judson",,,-,-,-,-,-,-,1,-,1,2,-,-,1,,5.0
"Cotchin, Trent",-,-,-,-,-,1,-,,2,-,-,-,-,2,-,-,5.0
"Cumberland, Noah",,,-,3,-,1,2,-,,,,-,,,2,,8.0
"Dow, Thomson",,,,,,,,,,-,,,,,,,
"Graham, Jack",-,1,-,-,,,,1,1,-,-,1,1,-,-,-,5.0
"Grimes, Dylan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hopper, Jacob",-,-,,1,-,1,-,-,-,,,,,,2,-,4.0
"Lynch, Tom",5,3,2,1,,,,,,,,,,,,,11.0
"Mansell, Rhyan",-,-,2,-,2,-,,-,-,1,-,1,-,,,,6.0
"Martin, Dustin",-,2,,1,2,-,-,1,5,1,3,-,1,-,,-,16.0
"McIntosh, Kamdyn",-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,3.0
"Miller, Ben",1,,,,-,-,-,1,-,,-,,,2,2,2,8.0
"Nankervis, Toby",-,-,-,-,,,,,,-,-,-,-,-,-,-,
"Pickett, Marlion",-,1,1,-,-,-,1,1,-,-,-,1,-,,-,2,7.0
"Prestia, Dion",1,-,1,-,-,1,,1,-,-,-,1,-,-,,2,7.0
"Ralphsmith, Hugo",,,-,-,1,-,,-,-,-,-,-,-,-,-,,1.0
"Riewoldt, Jack",1,4,1,,3,3,2,1,3,-,1,8,4,-,-,2,33.0
"Rioli, Daniel",-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2.0
"Rioli, Maurice",-,-,-,,1,-,,,,,,,,-,,2,3.0
"Ross, Jack",1,,-,,,,-,-,-,2,2,-,1,1,1,2,10.0
"Ryan, Samson",,3,-,1,1,3,2,1,-,1,1,2,-,-,-,,15.0
"Short, Jayden",-,-,,,,-,-,-,-,-,-,-,-,-,1,,1.0
"Soldo, Ivan",,,,,,,2,,,,,,,,,,2.0
"Sonsie, Tyler",,,,-,-,,-,,,,,,,,,,
"Taranto, Tim",-,1,1,-,1,-,1,2,-,2,3,-,-,-,-,-,11.0
"Vlastuin, Nick",-,1,-,-,-,-,-,-,-,-,,,-,-,-,1,2.0
"Young, Tylar",,-,-,-,-,-,-,,,,-,-,-,-,-,-,
Totals,11,16,9,8,12,11,11,15,13,7,13,18,9,7,13,16,189.0
Opponent,CA,AD,CW,WB,SY,ME,GC,WC,GE,ES,PA,GW,FR,SK,BL,SY,
