Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Anderson, Joe",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Armfield, Dennis",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, Mark",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Bannister, Jordan",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Bentley, Greg",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Betts, Eddie",2009,R1,carlton,RI,15.0,10.0,5.0,5.0,0.0,4.0,0.0,4.0,8.0,8.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,75,,1.0,0.0,0.0,2.0
"Bower, Paul",2009,R1,carlton,RI,12.0,5.0,7.0,0.0,0.0,4.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96,,0.0,2.0,0.0,0.0
"Browne, Steven",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Carrazzo, Andrew",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Cloke, Cameron",2009,R1,carlton,RI,16.0,12.0,4.0,0.0,1.0,10.0,1.0,0.0,4.0,12.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,94,,1.0,2.0,0.0,0.0
"Fevola, Brendan",2009,R1,carlton,RI,10.0,6.0,4.0,2.0,1.0,3.0,0.0,5.0,4.0,5.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,87,,4.0,2.0,0.0,0.0
"Fisher, Brad",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Garlett, Jeff",2009,R1,carlton,RI,10.0,8.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,71,,1.0,2.0,0.0,0.0
"Gibbs, Bryce",2009,R1,carlton,RI,30.0,24.0,6.0,0.0,1.0,6.0,7.0,1.0,12.0,17.0,0.0,2.0,0.0,1.0,3.0,0.0,6.0,2.0,85,,3.0,1.0,0.0,3.0
"Grigg, Shaun",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Hadley, Richard",2009,R1,carlton,RI,22.0,8.0,14.0,1.0,0.0,6.0,6.0,12.0,10.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,74,,3.0,1.0,0.0,0.0
"Hampson, Shaun",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Hartlett, Adam",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
"Houlihan, Ryan",2009,R1,carlton,RI,29.0,12.0,17.0,0.0,0.0,3.0,2.0,6.0,7.0,22.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,84,,6.0,2.0,1.0,0.0
"Jacobs, Sam",2009,R1,carlton,RI,8.0,2.0,6.0,0.0,0.0,4.0,1.0,3.0,2.0,6.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,55,,4.0,3.0,0.0,0.0
"Jamison, Michael",2009,R1,carlton,RI,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96,,1.0,2.0,2.0,0.0
"Johnson, Chris",2009,R1,carlton,RI,16.0,8.0,8.0,0.0,0.0,2.0,0.0,2.0,5.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,85,,2.0,4.0,0.0,0.0
"Joseph, Aaron",2009,R1,carlton,RI,10.0,7.0,3.0,0.0,0.0,4.0,0.0,4.0,3.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,88,,0.0,3.0,2.0,0.0
"Judd, Chris",2009,R1,carlton,RI,23.0,15.0,8.0,2.0,1.0,1.0,7.0,6.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,88,,0.0,1.0,0.0,0.0
"Kreuzer, Matthew",2009,R1,carlton,RI,16.0,5.0,11.0,1.0,1.0,6.0,1.0,4.0,4.0,12.0,21.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,59,,3.0,3.0,0.0,0.0
"Murphy, Marc",2009,R1,carlton,RI,28.0,16.0,12.0,2.0,0.0,4.0,5.0,6.0,12.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,86,,0.0,3.0,5.0,1.0
"OhAilpin, Setanta",2009,R1,carlton,RI,,,,,,,,,,,,,,,,,,,,,,,,
