Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Archer, Glenn",2004,R1,kangaroos,AD,,,,,,,,,,,,,,,,,,,,,,,,
"Baird, John",2004,R1,kangaroos,AD,16.0,12.0,4.0,0.0,0.0,6.0,1.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100,,2.0,5.0,0.0,0.0
"Brown, Leigh",2004,R1,kangaroos,AD,14.0,10.0,4.0,6.0,1.0,6.0,0.0,1.0,11.0,3.0,3.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,100,,2.0,2.0,0.0,3.0
"Clayton, Jeremy",2004,R1,kangaroos,AD,,,,,,,,,,,,,,,,,,,,,,,,
"Clayton, Shane",2004,R1,kangaroos,AD,,,,,,,,,,,,,,,,,,,,,,,,
"Colbert, Leigh",2004,R1,kangaroos,AD,17.0,10.0,7.0,0.0,0.0,5.0,0.0,1.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100,,0.0,6.0,0.0,0.0
"Firrito, Michael",2004,R1,kangaroos,AD,7.0,3.0,4.0,1.0,0.0,1.0,5.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,72,,2.0,6.0,0.0,0.0
"Grant, Shannon",2004,R1,kangaroos,AD,29.0,14.0,15.0,2.0,0.0,6.0,5.0,5.0,11.0,18.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,89,,3.0,2.0,1.0,1.0
"Grima, Blake",2004,R1,kangaroos,AD,,,,,,,,,,,,,,,,,,,,,,,,
"Hale, David",2004,R1,kangaroos,AD,,,,,,,,,,,,,,,,,,,,,,,,
