Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Armstrong, Steven",2004,R1,melbourne,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Bell, Daniel",2004,R1,melbourne,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Bizzell, Clint",2004,R1,melbourne,HW,14.0,10.0,4.0,0.0,0.0,3.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,75,,4.0,2.0,1.0,0.0
"Broadbridge, Troy",2004,R1,melbourne,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Nathan",2004,R1,melbourne,HW,15.0,11.0,4.0,0.0,0.0,2.0,1.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100,,2.0,1.0,1.0,0.0
"Bruce, Cameron",2004,R1,melbourne,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Carroll, Nathan",2004,R1,melbourne,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Davey, Aaron",2004,R1,melbourne,HW,13.0,10.0,3.0,1.0,2.0,3.0,0.0,4.0,5.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,85,,1.0,2.0,0.0,0.0
"Godfrey, Simon",2004,R1,melbourne,HW,12.0,8.0,4.0,2.0,2.0,4.0,1.0,1.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,85,,2.0,1.0,0.0,0.0
"Green, Brad",2004,R1,melbourne,HW,13.0,8.0,5.0,2.0,0.0,2.0,1.0,1.0,9.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,97,,2.0,1.0,0.0,0.0
"Heffernan, Chris",2004,R1,melbourne,HW,6.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,47,,2.0,0.0,0.0,0.0
"Holland, Ben",2004,R1,melbourne,HW,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70,,1.0,2.0,0.0,0.0
"Jamar, Mark",2004,R1,melbourne,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Johnstone, Travis",2004,R1,melbourne,HW,15.0,7.0,8.0,1.0,0.0,3.0,0.0,3.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,75,,3.0,0.0,2.0,0.0
"Jolly, Darren",2004,R1,melbourne,HW,4.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,50,,1.0,0.0,0.0,0.0
