Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Armitage, David",2012,R1,stkilda,PA,10.0,3.0,7.0,0.0,0.0,1.0,4.0,8.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,72,-,1.0,2.0,0.0,0.0
"Blake, Jason",2012,R1,stkilda,PA,15.0,12.0,3.0,0.0,0.0,8.0,1.0,1.0,6.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,99,-,2.0,9.0,0.0,0.0
"Clarke, Raphael",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Cripps, Jamie",2012,R1,stkilda,PA,6.0,5.0,1.0,0.0,0.0,2.0,1.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,54,Off,0.0,1.0,0.0,0.0
"Dal Santo, Nick",2012,R1,stkilda,PA,28.0,20.0,8.0,2.0,0.0,3.0,5.0,4.0,14.0,13.0,1.0,0.0,0.0,2.0,4.0,1.0,3.0,2.0,85,-,2.0,2.0,1.0,1.0
"Dempster, Sean",2012,R1,stkilda,PA,19.0,13.0,6.0,0.0,0.0,7.0,0.0,1.0,8.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,90,-,0.0,3.0,1.0,0.0
"Dunell, Sam",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Fisher, Sam",2012,R1,stkilda,PA,19.0,15.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,98,-,4.0,5.0,2.0,0.0
"Geary, Jarryn",2012,R1,stkilda,PA,23.0,14.0,9.0,0.0,0.0,6.0,0.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,92,-,4.0,2.0,2.0,0.0
"Gilbert, Sam",2012,R1,stkilda,PA,18.0,12.0,6.0,0.0,1.0,10.0,0.0,1.0,4.0,14.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,94,-,3.0,3.0,0.0,0.0
"Goddard, Brendon",2012,R1,stkilda,PA,29.0,19.0,10.0,0.0,0.0,6.0,3.0,1.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,85,-,1.0,2.0,3.0,0.0
"Gram, Jason",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Gwilt, James",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Hayes, Lenny",2012,R1,stkilda,PA,16.0,8.0,8.0,0.0,2.0,2.0,3.0,11.0,7.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,78,-,1.0,2.0,0.0,0.0
"Jones, Clinton",2012,R1,stkilda,PA,14.0,6.0,8.0,1.0,0.0,4.0,1.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,85,-,2.0,3.0,3.0,0.0
"Koschitzke, Justin",2012,R1,stkilda,PA,6.0,5.0,1.0,3.0,0.0,4.0,0.0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,1.0,4.0,3.0,0.0,82,-,6.0,1.0,0.0,0.0
"Ledger, Tom",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Maister, Beau",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"McEvoy, Ben",2012,R1,stkilda,PA,12.0,9.0,3.0,0.0,0.0,10.0,0.0,1.0,4.0,8.0,25.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,86,-,4.0,4.0,2.0,0.0
"Milera, Terry",2012,R1,stkilda,PA,17.0,10.0,7.0,1.0,0.0,6.0,1.0,3.0,7.0,11.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,84,-,3.0,1.0,1.0,0.0
"Milne, Stephen",2012,R1,stkilda,PA,12.0,10.0,2.0,2.0,2.0,4.0,0.0,1.0,4.0,7.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,88,-,2.0,1.0,0.0,0.0
"Montagna, Leigh",2012,R1,stkilda,PA,16.0,13.0,3.0,1.0,0.0,4.0,2.0,3.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,85,-,1.0,0.0,2.0,0.0
"Newnes, Jack",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Peake, Brett",2012,R1,stkilda,PA,11.0,6.0,5.0,0.0,0.0,5.0,1.0,4.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,79,-,0.0,0.0,0.0,0.0
"Polo, Dean",2012,R1,stkilda,PA,16.0,8.0,8.0,0.0,0.0,5.0,1.0,2.0,7.0,9.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,89,-,5.0,0.0,0.0,0.0
"Ray, Farren",2012,R1,stkilda,PA,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27,On,2.0,1.0,0.0,0.0
"Riewoldt, Nick",2012,R1,stkilda,PA,16.0,13.0,3.0,2.0,1.0,5.0,0.0,2.0,10.0,5.0,0.0,2.0,1.0,2.0,2.0,2.0,6.0,1.0,91,-,4.0,0.0,0.0,0.0
"Ross, Sebastian",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Saad, Ahmed",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Schneider, Adam",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Simpkin, Tom",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Siposs, Arryn",2012,R1,stkilda,PA,,,,,,,,,,,,,,,,,,,,,,,,
"Stanley, Rhys",2012,R1,stkilda,PA,11.0,8.0,3.0,1.0,0.0,6.0,1.0,4.0,5.0,8.0,11.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,86,-,3.0,2.0,2.0,0.0
"Steven, Jack",2012,R1,stkilda,PA,22.0,15.0,7.0,0.0,0.0,9.0,4.0,9.0,8.0,13.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,72,-,4.0,2.0,1.0,0.0
"Armitage, David",2012,R2,stkilda,GC,22.0,11.0,11.0,2.0,0.0,2.0,4.0,10.0,12.0,9.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,79,-,3.0,0.0,0.0,0.0
"Blake, Jason",2012,R2,stkilda,GC,18.0,10.0,8.0,0.0,0.0,7.0,0.0,3.0,7.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,93,-,1.0,7.0,2.0,0.0
