Player,year,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces,Brownlow Votes
"Ablett, Luke",2005,R1,swans,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Ball, Jason",2005,R1,swans,HW,7.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,85,,1.0,3.0,0.0,0.0
"Barry, Leo",2005,R1,swans,HW,15.0,10.0,5.0,0.0,0.0,8.0,1.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,100,,2.0,8.0,4.0,0.0
"Bevan, Paul",2005,R1,swans,HW,14.0,10.0,4.0,1.0,0.0,6.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,72,,4.0,2.0,1.0,0.0
"Bolton, Craig",2005,R1,swans,HW,17.0,7.0,10.0,1.0,0.0,4.0,2.0,3.0,4.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,96,,1.0,1.0,0.0,0.0
"Bolton, Jude",2005,R1,swans,HW,18.0,12.0,6.0,1.0,0.0,6.0,5.0,3.0,8.0,10.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,79,,2.0,2.0,1.0,2.0
"Buchanan, Amon",2005,R1,swans,HW,16.0,7.0,9.0,0.0,1.0,0.0,3.0,7.0,8.0,10.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,1.0,79,,4.0,1.0,1.0,0.0
"Crouch, Jared",2005,R1,swans,HW,11.0,6.0,5.0,0.0,0.0,3.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,100,,0.0,0.0,1.0,0.0
"Davis, Nick",2005,R1,swans,HW,9.0,8.0,1.0,4.0,1.0,4.0,1.0,3.0,5.0,4.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,94,,1.0,0.0,0.0,0.0
"Dempster, Sean",2005,R1,swans,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Doyle, Stephen",2005,R1,swans,HW,7.0,6.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,3.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,71,,4.0,2.0,0.0,0.0
"Fosdike, Nic",2005,R1,swans,HW,,,,,,,,,,,,,,,,,,,,,,,,
"Goodes, Adam",2005,R1,swans,HW,18.0,12.0,6.0,0.0,0.0,7.0,0.0,3.0,6.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,97,,0.0,2.0,0.0,0.0
