Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Anderson, Greg",,,,4,,3,7,,7,6,1,,,,,14,12,,,,,,54.0
"Bickley, Mark",14,7,10,11,8,7,10,9,11,14,10,6,7,6,9,13,19,9,2,5,9,12,208.0
"Bond, Troy",7,6,4,5,4,6,13,2,,3,,5,3,5,9,11,13,6,2,4,5,7,120.0
"Brown, David",,,,,,,,,3,4,3,,,,,5,4,,,,,,19.0
"Caven, Peter",7,9,7,5,2,5,3,3,4,4,1,1,4,,5,4,5,7,2,,4,3,85.0
"Chalmers, Brett",3,1,1,1,-,,,,,3,2,2,2,1,,,,1,6,-,3,3,29.0
"Collins, Matthew",,,,,,,,,,3,3,5,4,6,,4,6,-,,,,,31.0
"Connell, Matthew",,,,,,,,14,5,2,7,8,9,8,11,10,,10,3,2,3,7,99.0
"Edwards, Tyson",2,1,2,1,2,5,9,4,5,3,,,5,5,2,,,,3,5,2,5,61.0
"Ellen, Shane",3,3,2,4,6,3,,,,7,7,1,3,7,4,,,9,4,4,1,10,78.0
"Fernee, Ashley",,,,,,,,,,,,,,,,,1,,,,,1,2.0
"Hart, Ben",9,3,2,6,7,5,7,6,5,8,3,7,3,5,4,5,5,4,5,5,3,5,112.0
"Hodges, Scott",,,,,,,,,,,,1,-,,,,,,,,,,1.0
"Jameson, Rod",9,3,10,10,7,1,,,,4,1,8,6,4,3,2,9,6,5,2,,,90.0
"Jarman, Andrew",10,6,9,9,-,9,12,8,14,6,2,6,9,,,,,,14,2,7,3,126.0
"Jarman, Darren",9,5,6,6,2,2,5,5,,4,4,,,4,6,7,18,7,3,4,5,10,112.0
"Johnson, Kane",,,,,,,,,,,,,,2,1,,,,,,,,3.0
"Kluzek, Matthew",,,,,,,,,,,,,,,,2,7,9,4,,,,22.0
"Koster, Kym",8,13,7,5,7,8,10,2,2,,,,,,,,,,,,,,62.0
"Liptak, Matthew",6,12,9,17,20,11,11,9,16,7,12,10,6,7,8,4,13,20,15,14,11,11,249.0
"McCartney, Jason",,,,,,,6,10,7,4,4,-,,4,2,,,,,7,12,10,66.0
"McDermott, Chris",5,4,9,7,4,,,,,,,14,1,,,,,,,,5,13,62.0
"McGuinness, Tony",5,3,2,,3,3,4,12,,,,6,3,7,5,3,2,3,5,8,6,1,81.0
"McLeod, Andrew",4,8,6,2,3,6,5,2,3,,6,6,,,1,10,5,6,6,-,2,3,84.0
"Modra, Tony",,,,1,1,-,-,1,-,2,-,-,1,1,-,-,2,-,-,1,3,-,13.0
"Pesch, Nick",,,6,4,7,,12,1,5,,3,,-,,,,3,,,,,,41.0
"Pittman, David",9,7,10,6,12,3,11,4,2,7,11,6,9,9,5,6,,5,5,5,,,132.0
"Rehn, Shaun",3,3,2,,,,,,,,,,,,,,,,,,,,8.0
"Ricciuto, Mark",11,7,12,3,8,7,5,1,16,7,13,8,8,11,10,13,6,13,3,5,10,11,188.0
"Robran, Matthew",3,5,11,6,9,6,4,10,7,1,5,6,6,5,4,10,13,6,8,5,7,,137.0
"Ross, Jonathan",,,,,,4,1,-,1,,,,,,,,,,,,,,6.0
"Smart, Nigel",5,4,7,5,6,5,5,2,5,2,7,2,2,3,8,7,11,3,12,4,6,5,116.0
"Tasker, Sean",,,,,,4,2,5,3,,,,,,,,,,,,6,5,25.0
"Tregenza, Simon",6,4,,,,,,,,,,,,,,,,,,,,,10.0
"Vardy, Peter",,,,,,,,,,,,,,2,2,,,2,1,7,3,1,18.0
"Viska, Mark",,,,,,,,,4,,,,,,,11,7,1,,,,,23.0
"Weidemann, Wayne",,,,,,,,,,,,,,5,3,1,2,,,-,,,11.0
Totals,138,114,134,118,118,103,142,110,125,101,105,108,91,107,102,142,163,127,108,89,113,126,2584.0
Opponent,SY,FI,GE,ES,NM,CW,FR,SK,FO,WC,HW,RI,ME,BB,CA,SY,FI,GE,ES,NM,CW,SK,
