Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Bassett, Nathan",-,2,1,-,1,1,-,-,-,-,,,,,,-,-,,-,,,,,,,,5.0
"Bickley, Mark",1,-,2,3,1,-,1,2,2,1,1,-,3,3,1,1,-,-,,,,2,1,-,-,1,26.0
"Bond, Troy",,,,,-,,2,1,1,-,-,,-,1,2,-,,,,,,,,,,,7.0
"Caven, Peter",1,3,-,1,4,1,1,-,-,2,-,,,2,2,-,1,-,1,2,-,1,-,1,-,-,23.0
"Connell, Matthew",-,-,1,2,-,3,-,-,1,2,-,,,,,,-,-,-,1,1,-,-,-,-,-,11.0
"Cook, Sudjai",,,,,,,,,1,-,,-,1,1,2,-,,,,,,,,,,,5.0
"Cook, Tim",,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,
"Downsborough, Ian",,,-,,-,,-,,-,2,1,1,-,,,,,,,,,,,,,,4.0
"Eccles, Andrew",,-,-,-,-,1,-,-,-,-,-,-,-,,,,,-,-,1,-,,,,1,-,3.0
"Edwards, Tyson",-,-,,,,,,,,,,,-,1,3,1,-,,1,-,1,-,1,1,-,2,11.0
"Ellen, Shane",1,-,-,-,1,,,,,-,3,,,-,2,1,,,,-,-,1,-,1,-,1,11.0
"Goodwin, Simon",-,-,1,,,,,,1,-,1,-,-,-,2,2,1,-,2,1,-,2,-,2,1,-,16.0
"Hart, Ben",1,1,2,-,1,-,2,-,-,-,-,2,-,1,-,1,1,2,2,-,1,1,1,1,-,-,20.0
"James, Brett",,,,-,-,1,1,1,-,-,1,2,-,-,-,1,-,-,-,-,-,1,1,1,-,1,11.0
"Jameson, Rod",,,,,-,-,,-,-,1,1,-,,,,,,2,,,,,,3,,,7.0
"Jarman, Darren",5,-,2,-,1,1,-,1,2,1,,,,2,3,1,4,-,2,1,1,1,2,4,1,2,37.0
"Johnson, Kane",,,1,2,-,1,1,1,,,-,-,,,,,-,,,,,-,,,-,1,7.0
"Keating, Aaron",,,,,,-,-,-,,,,,,,,,,,,,,,,,,,
"Koster, Kym",2,3,-,2,1,1,-,-,-,-,2,1,1,2,1,1,-,2,3,4,1,-,1,1,1,1,31.0
"Liptak, Matthew",,,,,,,,,,,,,,,,,,,1,,,,-,,,,1.0
"Marsh, Ben",,,,,,,,,,,,,,1,-,3,2,,1,-,,,-,1,,-,8.0
"McLeod, Andrew",1,2,1,-,-,2,1,-,,,,,-,1,,,,1,1,1,1,1,-,1,1,1,16.0
"Modra, Tony",,,,,,,,,,,,,,,,1,-,1,-,1,1,2,-,,,,6.0
"Ormond-Allen, Trent",-,1,1,-,,-,1,1,,,,2,1,-,1,-,1,,,-,1,,,,,,10.0
"Perrie, Ian",,,,,,,,,,,,,-,,2,,-,,,,,,,,,,2.0
"Picioane, Lance",1,,,-,,1,-,,,,,,,,,,,,,,,,,,,,2.0
"Pittman, David",-,1,2,1,,,,2,-,-,1,-,1,-,,,2,-,,,-,2,,-,-,-,12.0
"Rehn, Shaun",1,-,1,2,-,2,-,1,1,-,1,1,2,-,5,2,2,1,-,2,-,1,2,1,1,2,31.0
"Ricciuto, Mark",-,-,3,4,1,-,1,-,-,,,1,2,1,1,1,4,1,-,1,2,3,2,2,-,1,31.0
"Rintoul, Chad",1,1,1,-,2,-,2,1,,,2,-,,,,,,,,,,,,1,-,,11.0
"Robran, Matthew",,-,,,,,,,-,-,1,1,-,1,-,-,,-,-,2,-,1,1,2,-,-,9.0
"Sampson, Clay",-,1,1,1,1,1,,,1,-,-,-,,,-,-,1,1,,,,,,,,,8.0
"Smart, Nigel",2,-,2,-,2,-,2,1,1,,,1,-,-,1,-,2,1,-,2,1,-,3,-,1,1,23.0
"Stevens, Linden",,,,,,,,,,,,,,,,,,,,,,1,-,,,,1.0
"Stevens, Mark",4,-,1,-,-,,,,,,1,1,-,1,-,-,,-,3,2,-,1,1,-,-,1,16.0
"Thiessen, James",-,-,1,1,-,1,2,-,,1,1,-,1,-,-,-,,-,-,-,1,1,-,1,-,1,12.0
"Tregenza, Simon",-,,,,,,,,1,-,1,-,1,-,-,,-,,,,,,,,,,3.0
"Vardy, Peter",,,,,,2,1,-,-,1,1,2,-,,,,1,-,1,1,-,3,1,2,-,1,17.0
Totals,21,15,24,19,16,19,18,12,12,11,19,15,13,18,28,16,22,12,18,22,12,25,17,26,7,17,454.0
Opponent,CA,FR,SK,PA,GE,NM,WC,RI,BL,ME,WB,ES,CW,SY,HW,CA,FR,SK,PA,GE,NM,WC,ME,SY,WB,NM,
