Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Bassett, Nathan",1,-,-,1,1,-,-,2,1,-,-,1,-,-,1,-,1,-,-,1,-,-,1,-,-,11.0
"Begley, James",-,,-,1,1,,-,,,,,,,,,,,,,,,,,,,2.0
"Biglands, Rhett",,-,6,1,3,1,1,3,1,2,1,1,2,1,2,2,2,2,3,-,1,3,4,-,3,45.0
"Bock, Nathan",,,,,,,,-,-,4,-,-,-,-,1,,-,-,-,1,-,-,,-,-,6.0
"Bode, Matthew",3,4,,,,,,,,,,,,,,,,,,,,,,,,7.0
"Burton, Brett",2,,,,,4,1,7,1,1,4,-,1,3,2,4,2,3,2,-,6,,-,4,1,48.0
"Clarke, Matthew",2,,,,,,,,,,,,,,,,,,,,3,1,2,5,2,15.0
"Doughty, Michael",1,2,2,1,-,-,,2,2,1,3,1,-,1,1,1,2,1,1,1,2,-,2,4,3,34.0
"Edwards, Tyson",4,4,-,2,1,2,4,6,-,-,3,5,-,-,2,3,4,5,7,3,3,6,3,3,4,74.0
"Goodwin, Simon",,3,4,1,3,3,-,2,-,2,3,1,4,3,3,3,1,1,8,8,2,5,10,2,2,74.0
"Hart, Ben",-,-,,,,-,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0
"Hentschel, Trent",1,-,-,1,-,-,-,1,,,,,-,-,-,-,-,-,-,-,-,2,-,1,-,6.0
"Hudson, Ben",4,5,2,7,4,1,5,4,3,2,5,4,4,2,2,3,1,5,6,3,,,,,,72.0
"Jericho, Luke",,,,,,,,1,1,-,-,-,,,,,,,,,,,,,,2.0
"Johncock, Graham",-,-,-,2,2,-,2,,,,,,,,,,,2,-,-,2,-,1,-,-,11.0
"Knights, Chris",,,,,,,,,,,,,,,-,2,,,,,,,,,,2.0
"Massie, Kris",,,,,-,,,,,,,,,,,,,,,,,1,1,,,2.0
"Mattner, Martin",1,4,2,5,-,4,-,3,1,1,2,2,2,1,3,1,1,3,1,2,4,,2,-,1,46.0
"McGregor, Ken",1,-,-,1,-,-,-,,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,5.0
"McLeod, Andrew",-,1,3,1,1,2,1,-,1,1,2,-,2,1,2,3,-,2,1,3,-,-,-,5,1,33.0
"Perrie, Ian",-,-,-,1,1,1,-,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,6.0
"Reilly, Brent",3,2,2,2,1,1,3,4,1,4,2,1,-,2,-,2,-,2,2,1,2,-,-,,,37.0
"Ricciuto, Mark",2,2,4,-,8,3,1,6,4,5,4,-,6,3,2,6,4,3,7,1,5,2,,1,5,84.0
"Rutten, Ben",-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Shirley, Robert",-,1,3,2,,3,3,2,3,3,2,4,2,5,3,2,4,-,1,3,7,2,4,2,2,63.0
"Skipworth, Hayden",5,-,2,4,3,6,3,1,1,3,2,2,1,1,,,,,3,3,1,3,3,2,4,53.0
"Stevens, Mark",-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Thompson, Scott",,3,2,1,2,5,7,3,-,3,3,-,6,4,4,2,4,3,4,1,5,2,2,3,3,72.0
"Torney, Jason",,,1,-,-,-,1,-,-,1,3,-,1,,1,-,-,,,,,,,2,-,10.0
"Welsh, Scott",-,-,-,1,1,-,3,-,-,-,,-,-,-,,-,-,-,-,-,-,-,1,-,-,6.0
"van Berlo, Nathan",,,3,-,-,,,,,,-,,,2,-,1,1,-,,,,2,-,,,9.0
Totals,30,32,36,35,32,37,37,47,23,34,40,22,32,30,30,35,27,33,46,31,43,29,36,34,32,843.0
Opponent,WC,CW,PA,SY,WB,KA,ME,BL,SK,CA,ES,GE,RI,FR,HW,WB,KA,SY,ME,PA,CW,WC,SK,PA,WC,
