Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,Tot
"Bassett, Nathan",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Biglands, Rhett",1,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,1,,1,-,-,1,-,7.0
"Bock, Nathan",,,,,,,,,,,,,,,,1,,,-,1,1,2,1,1,7.0
"Bode, Matthew",-,1,1,-,1,-,,-,-,-,2,3,1,-,-,1,2,3,1,-,2,2,1,1,22.0
"Burton, Brett",-,1,3,2,,,2,1,3,2,1,,3,-,1,2,3,-,,,,,,3,27.0
"Clarke, Matthew",-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,
"Doughty, Michael",,-,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,5.0
"Douglas, Richard",,,,,,,,,,,,,,,,,,,,,1,-,-,,1.0
"Edwards, Tyson",1,-,2,,-,-,-,-,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Goodwin, Simon",-,-,-,-,-,1,-,-,2,-,1,1,-,2,1,-,1,-,1,-,-,1,-,1,12.0
"Hart, Ben",-,-,-,-,-,-,-,-,,,,,,,,-,-,-,,-,-,,,,
"Hentschel, Trent",2,,1,1,-,2,-,3,3,-,1,-,2,2,-,,1,-,2,1,2,,,,23.0
"Johncock, Graham",-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,-,-,-,5.0
"Knights, Chris",-,-,,-,-,,1,,1,-,-,1,,,,,,,,,-,,,,3.0
"Maric, Ivan",,,,,,-,,,,-,-,-,-,-,-,,,,-,,,,,,
"Massie, Kris",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,
"Mattner, Martin",-,1,,,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5.0
"McGregor, Ken",-,-,-,-,1,1,1,2,1,1,-,1,2,1,1,-,1,1,1,,,,,,15.0
"McLeod, Andrew",1,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,,,-,-,1,,,-,6.0
"Perrie, Ian",1,-,1,1,,,,,,,,,,,,,,,,,2,1,4,-,10.0
"Porplyzia, Jason",,,,,-,-,2,,,,,,1,,2,,1,2,2,,,-,1,-,11.0
"Reilly, Brent",-,2,-,2,1,1,1,-,-,1,-,-,1,-,-,-,1,-,1,-,-,-,1,2,14.0
"Ricciuto, Mark",2,3,1,6,,,-,1,-,1,2,1,3,2,2,1,-,-,,1,,,,,26.0
"Rutten, Ben",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2.0
"Shirley, Robert",-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,1,1,-,-,-,6.0
"Skipworth, Hayden",,,-,-,-,,,,-,,,,,-,,,,,,-,,,,,
"Stevens, Scott",,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,1,2.0
"Thompson, Scott",1,-,-,-,,-,-,-,1,1,-,-,1,-,1,-,1,-,1,-,1,1,1,-,10.0
"Torney, Jason",,,,,,,,,,,,-,-,-,-,1,,,,,,-,-,-,1.0
"Vince, Bernie",-,,,,1,-,,,,,,-,,,,,,,,,,,,,1.0
"Welsh, Scott",,,,,,,,,,,,,,,,,,,2,2,1,1,1,-,7.0
"van Berlo, Nathan",-,-,1,1,-,-,-,-,-,-,-,,,,,,-,-,2,1,-,-,-,-,5.0
Totals,9,9,11,13,6,8,8,9,11,6,9,8,19,9,10,7,11,8,14,9,12,10,12,9,237.0
Opponent,CW,WC,ME,FR,WB,PA,KA,RI,CA,ES,BL,SK,GE,SY,HW,KA,WC,CW,FR,WB,PA,ME,FR,WC,
