Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Bassett, Nathan",11,12,17,9,12,8,15,11,9,6,21,16,2,,,,,,,,,,,149.0
"Bock, Nathan",10,9,6,8,7,5,5,13,7,8,7,11,11,8,12,8,18,,15,5,6,18,17,214.0
"Bode, Matthew",,8,,,,,,,,,,,,,,,,,,,,,,8.0
"Burton, Brett",8,,11,5,4,6,7,4,,,,,,8,9,5,7,10,3,12,7,3,18,127.0
"Campbell, Bryce",,,,,,,,,,,,,,,,,8,,,,,,,8.0
"Doughty, Michael",9,9,8,14,5,12,18,13,19,14,18,22,14,14,16,9,10,10,,,14,,,248.0
"Douglas, Richard",5,9,8,8,12,6,4,4,,,,,,,4,6,,5,3,6,,,,80.0
"Edwards, Tyson",16,19,13,9,18,16,25,17,5,20,21,15,16,34,13,21,22,13,17,16,24,15,29,414.0
"Gill, Nick",,,,,,,,,,,,,,,,,7,5,6,9,12,7,10,56.0
"Goodwin, Simon",2,25,12,9,8,18,22,21,16,20,2,,,21,18,15,22,23,12,11,23,16,15,331.0
"Griffin, Jonathon",5,7,3,6,4,7,6,6,-,3,1,4,6,,,,,,-,,,1,3,62.0
"Hinge, John",,,,,,7,,,,,,,,,,,,,,,,,,7.0
"Hudson, Ben",6,10,5,5,6,4,9,2,9,4,7,6,4,6,5,7,7,6,,4,4,7,2,125.0
"Jericho, Luke",,,,,,,11,9,12,,8,6,,,,,,,7,,,,,53.0
"Johncock, Graham",9,4,,,,,,,10,13,7,18,12,17,9,9,11,4,25,18,22,16,9,213.0
"Knights, Chris",15,21,25,9,18,18,20,20,20,16,19,15,14,23,14,10,27,18,10,22,,11,18,383.0
"Maric, Ivan",,,,,,,,,,,,,,4,6,4,2,6,3,,,,,25.0
"Massie, Kris",,,,,,,,,,,,16,13,9,16,12,8,10,11,12,15,5,10,137.0
"Mattner, Martin",18,8,22,7,8,8,16,12,18,9,14,15,12,,,14,12,10,,10,11,2,,226.0
"McGregor, Ken",,,,,,,,,,,6,4,9,3,5,6,8,1,,,,,3,45.0
"McLeod, Andrew",14,25,24,16,13,16,18,20,8,15,18,12,13,30,23,12,14,12,18,21,22,20,6,390.0
"Meesen, John",,,,,,,,,,,,,,,,,,,,1,5,,,6.0
"Perrie, Ian",8,9,7,7,7,6,7,15,8,4,,,,,,9,6,5,6,,,,,104.0
"Porplyzia, Jason",,,7,7,5,,,,5,10,11,9,10,-,,,,4,5,7,9,7,6,102.0
"Reilly, Brent",14,19,16,18,2,,,,14,2,,,14,17,16,17,7,,13,18,25,11,13,236.0
"Ricciuto, Mark",,,,,,,,,,7,9,7,9,8,4,,,,,,5,9,2,60.0
"Rutten, Ben",7,15,9,12,5,9,12,11,9,7,15,7,11,9,3,,,,9,7,6,8,14,185.0
"Shirley, Robert",13,12,,,13,11,10,11,11,10,13,16,12,13,10,4,,8,5,9,20,16,15,232.0
"Stevens, Scott",11,15,10,9,6,7,12,9,6,9,5,14,14,7,7,4,6,14,12,10,12,8,12,219.0
"Thompson, Scott",18,16,10,16,19,19,15,10,16,6,25,20,14,30,15,15,17,15,15,14,14,22,19,380.0
"Torney, Jason",13,9,15,6,10,9,6,11,8,9,10,10,13,9,9,7,11,17,15,10,16,11,18,252.0
"Vince, Bernie",,,8,4,5,3,7,5,,,,,,,,,,,,,,,,32.0
"Welsh, Scott",4,7,3,6,,3,6,1,8,3,4,10,3,3,7,5,5,1,,8,5,1,4,97.0
"van Berlo, Nathan",11,14,11,10,12,14,12,13,13,10,20,16,17,13,9,11,15,7,8,13,19,10,10,288.0
Totals,227,282,250,200,199,212,263,238,231,205,261,269,243,286,230,210,250,204,218,243,296,224,253,5494.0
Opponent,ES,WB,PA,SY,FR,CW,BL,RI,CA,ME,GE,KA,WC,HW,SK,FR,ES,PA,GE,WB,BL,CW,HW,
