Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Bassett, Nathan",-,2,-,1,3,1,1,-,-,1,2,-,3,1,1,1,2,1,-,-,1,-,-,21.0
"Bock, Nathan",1,-,3,2,1,1,-,1,1,1,2,2,2,1,3,2,1,3,1,1,-,1,-,30.0
"Burton, Brett",1,-,3,2,2,1,-,1,1,2,,,3,-,-,,,,,,,,,16.0
"Campbell, Bryce",,,,2,,,,,,,,,,,1,-,1,1,-,-,,,,5.0
"Dangerfield, Patrick",,,,,,,,,,,,,,,,,,,,1,1,,,2.0
"Doughty, Michael",-,3,1,-,1,3,1,-,-,1,-,-,1,-,3,1,1,1,-,2,-,-,-,19.0
"Douglas, Richard",1,-,2,1,1,2,2,,1,1,2,1,-,-,1,-,-,1,3,-,-,1,-,20.0
"Edwards, Tyson",-,-,1,-,3,-,-,2,1,-,-,-,3,1,-,1,2,1,3,-,-,-,-,18.0
"Gill, Nick",,,,,,,,,,,,,-,-,,,-,1,2,1,1,2,-,7.0
"Goodwin, Simon",1,2,1,-,-,1,-,1,1,3,-,-,-,-,2,-,-,-,-,1,-,-,-,13.0
"Griffin, Jonathon",3,2,4,1,2,-,-,-,-,2,,1,,,-,,,,,,,,,15.0
"Jacky, Jarrhan",,,,,-,,-,1,,,,,,,,,,,,,,,,1.0
"Jericho, Luke",,-,-,,,,,1,,,1,-,1,,,2,,,,,,,,5.0
"Johncock, Graham",-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,1,,,1,-,-,1,2,8.0
"Knights, Chris",,,,,,2,1,-,-,1,-,1,-,1,1,2,2,1,,,2,1,3,18.0
"Mackay, David",-,-,-,1,2,-,1,-,-,1,1,-,,,,,-,-,1,-,-,2,-,9.0
"Maric, Ivan",,,,,,,,1,3,-,2,-,2,2,-,1,1,2,-,1,2,-,1,18.0
"Massie, Kris",,-,1,,,,-,,,,,,,1,1,-,,-,1,-,1,2,1,8.0
"McGregor, Ken",1,-,1,-,2,1,,,,,2,,,,,,,,,,,,,7.0
"McLeod, Andrew",1,1,-,-,-,-,2,-,2,1,1,2,-,,,-,-,-,-,-,-,2,2,14.0
"Moran, Brad",,,,,,,,,,,,,,,,1,2,1,-,2,2,,1,9.0
"Otten, Andy",,,,,,,,,,,,1,,,,,,,-,,,,,1.0
"Porplyzia, Jason",1,-,-,-,-,1,1,-,-,-,1,-,-,-,-,,1,-,,,,-,,5.0
"Reilly, Brent",1,,,,,,,,-,-,1,,1,-,,,,,,2,2,,,7.0
"Rutten, Ben",-,-,-,-,-,-,,1,1,-,-,-,1,-,-,1,1,3,1,-,-,-,1,10.0
"Sellar, James",,,,,,,1,,,,,,,,,,,,,,,,,1.0
"Shirley, Robert",-,,,1,1,-,2,-,2,2,1,2,-,1,3,-,-,3,2,2,1,-,2,25.0
"Stevens, Scott",-,3,-,-,1,-,-,-,2,1,-,-,1,1,2,-,1,1,1,-,-,1,-,15.0
"Symes, Brad",6,1,-,-,-,2,,,,,,,,-,2,1,-,2,-,2,1,3,-,20.0
"Thompson, Scott",2,-,1,-,1,1,3,1,-,2,1,2,1,1,3,2,4,1,-,-,1,1,3,31.0
"Tippett, Kurt",1,2,4,1,-,-,-,1,2,-,2,-,1,2,1,-,2,,,,,2,1,22.0
"Vince, Bernie",-,1,1,6,1,-,-,-,1,-,-,-,-,1,-,1,1,-,1,,,1,1,16.0
"van Berlo, Nathan",-,-,2,1,1,-,-,-,1,1,3,-,1,-,-,2,1,-,1,-,2,-,1,17.0
Totals,20,18,25,19,22,17,15,11,20,20,22,12,21,13,24,19,23,23,18,15,17,20,19,433.0
Opponent,WB,WC,PA,HW,FR,CA,NM,ME,WC,ES,RI,HW,BL,GE,CW,PA,SY,CA,RI,ES,SK,WB,CW,
