Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Bassett, Nathan",3,4,-,2,4,-,6,2,2,1,4,-,4,2,1,2,1,6,4,2,1,2,-,53.0
"Bock, Nathan",6,6,5,3,4,4,7,3,1,5,4,4,4,4,5,2,-,2,2,4,2,3,4,84.0
"Burton, Brett",1,-,2,-,-,-,-,1,-,-,,,-,2,-,,,,,,,,,6.0
"Campbell, Bryce",,,,-,,,,,,,,,,,1,-,-,-,3,-,,,,4.0
"Dangerfield, Patrick",,,,,,,,,,,,,,,,,,,,1,-,,,1.0
"Doughty, Michael",1,-,-,2,3,-,5,1,2,1,4,1,7,3,2,6,2,2,2,1,2,4,3,54.0
"Douglas, Richard",-,-,2,-,-,1,1,,1,1,1,1,-,1,-,-,-,-,1,1,1,2,-,14.0
"Edwards, Tyson",-,-,3,1,-,1,1,1,5,4,3,2,4,1,4,-,4,3,2,1,2,1,1,44.0
"Gill, Nick",,,,,,,,,,,,,-,-,,,-,-,-,1,-,-,-,1.0
"Goodwin, Simon",1,-,1,1,2,-,3,2,3,2,-,-,1,1,2,-,2,1,-,1,3,-,-,26.0
"Griffin, Jonathon",-,-,-,-,-,-,1,-,-,-,,-,,,-,,,,,,,,,1.0
"Jacky, Jarrhan",,,,,-,,-,-,,,,,,,,,,,,,,,,
"Jericho, Luke",,2,-,,,,,-,,,-,-,-,,,-,,,,,,,,2.0
"Johncock, Graham",6,3,4,3,2,6,5,1,2,-,3,4,3,5,2,1,,,-,1,-,2,4,57.0
"Knights, Chris",,,,,,1,-,3,1,-,3,1,2,2,5,7,3,1,,,2,4,2,37.0
"Mackay, David",1,2,2,1,-,3,-,-,1,2,1,1,,,,,4,-,2,-,-,-,-,20.0
"Maric, Ivan",,,,,,,,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2.0
"Massie, Kris",,1,2,,,,1,,,,,,,2,2,6,,2,1,2,-,1,2,22.0
"McGregor, Ken",-,-,-,-,-,2,,,,,-,,,,,,,,,,,,,2.0
"McLeod, Andrew",3,6,3,6,1,2,1,2,2,5,1,-,4,,,-,5,10,3,1,9,4,4,72.0
"Moran, Brad",,,,,,,,,,,,,,,,-,1,-,-,1,1,,-,3.0
"Otten, Andy",,,,,,,,,,,,1,,,,,,,2,,,,,3.0
"Porplyzia, Jason",2,1,-,1,-,-,-,-,1,1,-,1,-,1,-,,-,-,,,,-,,8.0
"Reilly, Brent",5,,,,,,,,2,-,1,,-,-,,,,,,1,-,,,9.0
"Rutten, Ben",2,5,-,1,4,2,,2,2,1,-,5,3,-,1,1,3,1,-,1,1,6,-,41.0
"Sellar, James",,,,,,,-,,,,,,,,,,,,,,,,,
"Shirley, Robert",-,,,-,2,1,2,-,-,2,-,-,-,-,-,3,1,1,-,-,-,-,-,12.0
"Stevens, Scott",-,1,1,2,1,3,1,3,3,-,1,-,3,2,1,-,3,-,-,-,2,-,1,28.0
"Symes, Brad",2,1,2,1,1,-,,,,,,,,3,2,3,6,1,2,7,2,3,1,37.0
"Thompson, Scott",3,3,1,1,3,1,2,3,4,1,-,-,1,1,3,2,1,3,3,4,1,1,-,42.0
"Tippett, Kurt",-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,,,,,-,-,3.0
"Vince, Bernie",-,-,3,2,2,-,1,2,1,2,2,2,3,2,1,1,3,-,1,,,-,1,29.0
"van Berlo, Nathan",2,-,2,-,3,1,3,1,-,-,-,5,2,2,1,1,-,3,-,1,-,-,3,30.0
Totals,38,35,33,27,32,28,40,27,33,28,28,30,43,34,33,35,39,37,28,31,29,33,26,747.0
Opponent,WB,WC,PA,HW,FR,CA,NM,ME,WC,ES,RI,HW,BL,GE,CW,PA,SY,CA,RI,ES,SK,WB,CW,
