Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Atkins, Rory",,,,,,,,,,,,,,-,-,,-,-,-,-,-,-,,
"Betts, Eddie",3,-,-,3,5,4,4,2,1,2,-,1,3,2,2,1,5,4,4,3,3,4,-,56.0
"Brown, Luke",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2.0
"Cameron, Charlie",1,1,-,,-,3,2,2,-,1,-,1,1,1,2,1,1,1,-,-,1,1,1,21.0
"Cheney, Kyle",-,1,,,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,1.0
"Crouch, Matt",,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,-,1.0
"Dangerfield, Patrick",1,2,-,2,-,2,-,-,1,-,1,-,-,-,-,-,-,2,1,1,1,-,-,14.0
"Douglas, Richard",-,1,-,-,-,,,,,,1,-,-,-,-,-,,,-,1,-,-,1,4.0
"Ellis-Yolmen, Cam",-,-,-,-,-,,,-,-,-,-,-,-,,,,,,,,,,,
"Grigg, Mitch",,-,,,,2,-,-,-,1,,,,,,,,,,,,,,3.0
"Hartigan, Kyle",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Henderson, Ricky",-,-,-,-,-,,-,,,,,,-,1,-,-,-,-,-,1,-,-,-,2.0
"Jacobs, Sam",-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,4.0
"Jaensch, Matthew",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
"Jenkins, Josh",4,2,1,1,1,,,1,2,4,3,4,4,2,5,1,2,4,1,6,3,-,4,55.0
"Kelly, Jake",,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
"Kerridge, Sam",,,,,,,,-,,,,,,,,,,,,,,,,
"Knight, Riley",,,,,,,,,,,,,1,1,-,1,-,-,3,-,-,1,1,8.0
"Laird, Rory",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Lever, Jake",,,,,,-,-,-,-,,,,-,-,-,-,-,-,,-,-,,,
"Lynch, Tom",2,1,2,-,2,2,4,1,-,1,-,1,1,2,-,2,2,-,1,-,3,1,1,29.0
"Lyons, Jarryd",-,,,-,,-,-,-,-,,,,,,,1,-,-,2,-,-,,-,3.0
"Mackay, David",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,1.0
"Martin, Brodie",,,,,,,,,2,,,,,-,-,,,,,,,,,2.0
"Shaw, Sam",,,,,,,,,,,,,,,-,,,,-,,,,,
"Sloane, Rory",1,2,-,-,-,-,,,,-,-,-,,,2,-,-,-,1,1,-,-,-,7.0
"Smith, Brodie",-,-,-,1,-,-,-,,,-,-,-,1,-,1,-,-,-,-,-,-,-,-,3.0
"Talia, Daniel",-,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,-,1.0
"Thompson, Scott",,,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2.0
"Walker, Taylor",9,6,1,1,2,7,3,2,2,3,2,3,-,3,2,4,5,3,4,4,1,3,2,72.0
"Wright, Matthew",-,-,-,2,-,-,1,1,-,2,2,1,1,1,-,-,,,,,,,,11.0
"van Berlo, Nathan",-,1,-,-,-,-,-,-,1,-,-,1,-,,,,-,1,1,-,-,-,-,5.0
Totals,22,17,5,10,10,21,14,11,9,15,10,13,12,13,14,11,15,16,19,19,12,11,10,309.0
Opponent,NM,CW,ME,WB,PA,GC,SK,GW,FR,CA,HW,BL,WC,PA,GC,SY,RI,ES,BL,WC,GE,WB,HW,
