Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Atkins, Rory",2,3,2,1,1,2,4,2,3,2,3,-,1,,,1,1,6,5,1,3,3,46.0
"Betts, Eddie",2,4,2,3,,,4,1,1,2,-,4,5,,,7,5,3,2,-,2,3,50.0
"Brown, Luke",-,3,4,2,2,5,2,5,,1,4,1,,1,1,2,2,3,-,2,2,1,43.0
"Cheney, Kyle",,,,,,,,,,,,,-,-,1,-,1,-,,1,1,,4.0
"Crouch, Matt",2,-,,,,1,4,5,,3,5,-,4,9,3,3,4,8,8,3,5,3,70.0
"Doedee, Tom",2,-,2,2,1,4,2,1,7,4,3,5,5,3,4,3,1,,2,5,4,,60.0
"Douglas, Richard",-,,5,8,7,5,2,4,5,2,3,2,2,3,1,,,,,3,1,2,55.0
"Ellis-Yolmen, Cam",1,7,3,9,8,4,6,7,6,5,3,6,,,,,,,7,2,,8,82.0
"Fogarty, Darcy",4,3,,1,,,4,,1,1,2,2,,-,2,,,,,,,,20.0
"Gallucci, Jordan",,,,,1,2,3,3,6,4,,,1,1,1,2,2,2,2,3,2,4,39.0
"Gibbs, Bryce",4,4,10,3,3,1,7,2,8,7,9,9,5,4,5,6,3,7,1,7,5,8,118.0
"Gibson, Sam",,,,,,,,,8,4,3,1,1,,,,,,,,,,17.0
"Greenwood, Hugh",2,2,6,5,11,8,8,12,11,10,7,4,5,5,3,6,4,9,6,4,7,10,145.0
"Hampton, Curtly",3,,,,,,,,,,,,,5,4,,,,,,,,12.0
"Hartigan, Kyle",-,1,2,1,1,,,,1,-,2,2,1,1,1,1,,,,,,,14.0
"Himmelberg, Elliott",,,,,,,,,,,,,,,,,,,,,,3,3.0
"Jacobs, Sam",1,2,1,5,1,4,3,-,3,3,3,2,1,2,3,-,2,3,2,1,2,1,45.0
"Jenkins, Josh",3,2,4,2,1,-,2,1,9,4,5,1,2,-,3,3,-,3,7,7,-,2,61.0
"Keath, Alex",,,,,,,,,,,,,,,,-,-,2,2,2,,3,9.0
"Kelly, Jake",2,1,1,-,4,,1,3,3,1,8,-,3,1,-,-,1,8,,,1,-,38.0
"Knight, Riley",,,,,4,-,,,,,,,,,,7,3,9,2,,3,4,32.0
"Laird, Rory",1,-,6,3,-,1,1,-,4,5,3,,,1,1,2,-,4,3,3,2,3,43.0
"Lynch, Tom",,,3,1,-,4,-,1,4,1,3,,,,2,-,2,2,3,-,-,2,28.0
"Mackay, David",4,1,2,1,,3,2,3,8,3,3,3,2,2,,,,,2,2,1,4,46.0
"McGovern, Mitch",3,-,3,3,-,1,2,1,,,,,,,,,3,3,,,2,1,22.0
"Milera, Wayne",,2,2,4,2,2,-,,,1,1,4,1,3,3,3,1,6,4,3,3,4,49.0
"Murphy, Lachlan",2,3,6,,,,,,6,,1,4,,,,3,6,5,2,3,,,41.0
"Otten, Andy",,,,,1,2,-,-,5,,,,2,,,,,,,,1,1,12.0
"Poholke, Myles",,,,,4,1,,-,5,1,,1,1,-,5,,,,,,,,18.0
"Seedsman, Paul",4,3,2,6,3,5,2,2,6,,2,-,-,3,1,3,-,1,,,4,2,49.0
"Sloane, Rory",7,7,5,-,,,,,,,,,,8,7,7,7,12,3,6,6,,75.0
"Smith, Brodie",,,,,,,,,,,,,,,,,,,3,4,,,7.0
"Talia, Daniel",1,-,4,4,3,2,1,3,4,2,3,2,-,-,1,,2,3,2,,,,37.0
"Walker, Taylor",,-,4,3,2,1,,-,,,,1,2,1,4,3,,4,2,3,,,30.0
"Wilson, Patrick",,,,,,,,,,,,,2,,,,,,,,,,2.0
Totals,50,48,79,67,60,58,60,56,114,66,76,54,46,53,56,62,50,103,70,65,57,72,1422.0
Opponent,ES,RI,SK,CW,SY,GC,CA,PA,WB,ME,GW,FR,HW,WC,RI,GE,BL,ME,PA,GW,NM,CA,
