Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Akermanis, Jason",3,-,,1,1,,,1,-,-,-,1,-,-,2,-,-,1,-,1,3,1,1,-,16.0
"Ashcroft, Marcus",-,-,1,1,-,-,-,1,,,,1,-,-,1,1,-,-,-,-,-,-,2,1,9.0
"Black, Simon",2,1,1,-,-,1,-,1,-,1,-,-,,,1,,,,-,-,1,2,-,-,11.0
"Bolton, Craig",-,1,1,,-,-,4,-,-,-,1,-,-,-,,,,,,,,,-,-,7.0
"Bradshaw, Daniel",4,7,3,2,-,2,1,-,,,,,6,7,7,5,7,1,9,4,5,3,-,,73.0
"Brown, Jonathan",,,,,-,-,-,-,,,-,,,,,,-,2,-,2,-,1,1,-,6.0
"Carey, Stefan",1,1,-,,,,,,,,,,,,,,,,,,,,,,2.0
"Champion, Richard",,,,-,,,,,-,2,-,,1,-,-,-,,,,,,,,,3.0
"Clarke, Nathan",,,,,,,,,,,,,,,,,,-,-,-,1,,,,1.0
"Cupido, Damian",,,,,,,,,,,3,-,2,-,1,,,,,,,,,1,7.0
"Hart, Shaun",-,2,1,-,1,1,-,-,1,-,-,-,2,-,-,-,1,2,-,-,3,1,1,-,16.0
"Headland, Des",,-,,,-,,,,,,,,,,,-,-,1,-,,,-,1,-,2.0
"Heuskes, Adam",-,-,-,-,-,-,-,-,-,-,,1,1,-,,,,,,,1,,,,3.0
"Johnson, Chris",-,,,,-,1,-,-,1,-,1,-,-,-,-,1,-,-,1,1,-,1,-,-,7.0
"Kennedy, Matthew",-,-,-,-,,,,-,1,-,-,-,,,,,,,,,,,,,1.0
"Knobel, Trent",,,,,,,,,,,,,,-,-,-,-,,-,-,1,-,-,-,1.0
"Lambert, Craig",-,,,,,-,-,1,-,-,-,1,-,,-,,-,-,,,,,,,2.0
"Lappin, Nigel",-,2,-,1,1,-,-,-,-,1,-,-,1,-,1,-,1,-,1,-,-,1,-,-,10.0
"Lawrence, Steven",-,1,-,-,-,,,,,,,,-,2,1,-,1,-,-,-,1,1,-,2,9.0
"Leppitsch, Justin",1,-,-,-,-,1,,,-,1,-,-,-,1,1,-,-,-,1,-,1,-,1,5,13.0
"Lynch, Alastair",,3,2,6,8,2,-,,4,10,6,3,4,2,2,4,3,2,2,4,4,2,6,2,81.0
"Martin, Michael",,-,-,-,-,1,-,-,-,-,,-,,,,,,,,,,,,,1.0
"McDonald, Beau",-,1,-,-,2,,-,-,2,-,-,-,-,-,-,-,1,1,-,1,,-,-,1,9.0
"McKinnon, Martin",2,,,,,-,,,,,,,,,,,1,-,,,,,,,3.0
"McRae, Craig",-,,-,2,-,-,-,-,1,-,-,-,-,-,-,-,2,,,,,,,,5.0
"Molloy, Jarrod",3,1,-,-,3,-,4,1,-,-,2,-,-,-,-,-,-,1,1,-,-,2,2,-,20.0
"Notting, Tim",,,,-,,-,-,,,,,,,,1,-,1,-,,-,-,-,,-,2.0
"Picken, Marcus",,,,,,,1,-,-,,-,1,,,,,,,,,,,,-,2.0
"Power, Luke",-,-,-,1,,4,2,1,-,1,1,2,1,2,-,1,2,2,1,1,2,1,3,,28.0
"Robbins, Ben",,,,,,,,,,,,,,,,-,-,-,-,1,1,-,-,-,2.0
"Rusca, Shannon",,,-,-,,,,,,,,,,,,,,,,,,,,,
"Scott, Chris",-,-,-,-,-,2,3,-,-,-,,,-,-,-,-,1,-,-,-,-,-,-,,6.0
"Shattock, Aaron",,,,,-,-,-,-,-,-,-,-,,,,-,,,,,,,,,
"Voss, Brett",,-,-,,,,,,,-,-,-,-,-,,,,,-,-,1,-,1,-,2.0
"Voss, Michael",-,-,-,-,-,-,-,-,1,3,-,,1,-,2,-,-,1,1,1,3,2,1,-,16.0
"White, Darryl",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,-,-,-,-,1.0
Totals,16,20,9,14,16,15,15,6,11,19,14,11,19,14,20,12,21,14,17,16,28,18,20,12,377.0
Opponent,CA,WB,HW,PA,AD,SK,FR,ES,CW,ME,SY,RI,WC,KA,GE,CA,WB,HW,PA,AD,SK,FR,WB,CA,
