Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Adcock, Jed",-,4,3,6,4,2,10,4,4,3,6,6,5,4,8,,1,1,10,9,3,2,95.0
"Begley, Colm",-,-,6,-,1,,,,,,,,,,,,,2,3,-,,,12.0
"Black, Simon",3,7,9,4,3,3,,1,5,7,1,6,3,2,4,5,5,1,4,6,2,6,87.0
"Bradshaw, Daniel",1,3,1,1,2,1,3,3,-,1,1,,,1,1,-,1,2,1,1,1,1,26.0
"Brennan, Jared",6,2,3,7,2,4,4,1,2,4,4,4,2,3,4,10,6,5,7,7,5,6,98.0
"Brown, Jonathan",1,1,1,3,1,-,,1,-,-,1,2,-,1,1,-,1,-,2,1,-,1,18.0
"Charman, Jamie",2,2,2,,3,1,2,-,6,4,2,2,-,2,2,1,2,-,1,4,6,2,46.0
"Clark, Mitch",,,,,,,3,2,2,-,-,1,2,-,-,4,1,3,,,,,18.0
"Clouston, Scott",,,,,,,,,,,,,,,,,,-,,,,-,
"Collier, Tom",,,,,,,,,,,,,3,2,1,1,-,,,,,3,10.0
"Copeland, Robert",1,,6,,3,1,6,,,,4,,3,2,5,4,-,,,-,4,,39.0
"Corrie, Anthony",1,-,2,2,3,-,1,1,-,2,-,3,2,1,-,3,2,1,,,1,2,27.0
"Dalziell, Bradd",,,,,,,,,,,,,,,,5,5,-,1,1,2,-,14.0
"Drummond, Josh",1,-,,,,,,2,4,3,,2,3,5,3,1,1,-,-,,,,25.0
"Hanley, Pearce",,,,,,,,,,,,,,,,,,,,,3,3,6.0
"Harding, Scott",,,,,,3,4,3,2,2,-,,,,,1,,,,,,4,19.0
"Hawksley, James",,,,,,,,,,,-,,,,,,,,3,1,-,,4.0
"Henderson, Lachie",,2,1,-,,4,1,,,,,,-,,,,,,2,,,2,12.0
"Hooper, Rhan",6,3,5,4,3,6,5,2,6,3,8,5,4,9,6,3,,2,5,3,1,,89.0
"Johnstone, Travis",5,4,1,2,1,3,,6,5,2,3,-,,,3,2,3,3,4,3,5,,55.0
"Lappin, Nigel",8,2,6,6,,,,,,,,,,,,,,,,,,,22.0
"Leuenberger, Matthew",2,-,-,2,1,2,-,,,,-,1,,,4,,,,,,,,12.0
"Macdonald, Joel",1,2,2,4,1,-,1,6,3,3,1,1,2,1,,,,,,2,-,2,32.0
"McGrath, Ashley",,,,,2,,2,4,3,1,,4,2,1,2,3,-,1,3,7,-,,35.0
"Merrett, Daniel",2,3,-,-,1,1,1,1,1,2,2,1,-,-,1,3,3,1,1,1,1,2,28.0
"Mills, Wayde",,,,1,,,,,,,,,,,,,,,,,,,1.0
"Moody, Matthew",,,,,,,,,,,,,,,,,,,,1,2,,3.0
"Notting, Tim",3,2,5,1,3,8,3,4,4,1,2,3,1,3,3,4,-,,2,,,,52.0
"Patfull, Joel",3,5,-,1,-,2,2,1,-,3,2,3,2,3,2,1,3,1,4,1,4,-,43.0
"Polkinghorne, James",,,,,,2,,,,,,3,3,2,,,,,,,,,10.0
"Power, Luke",9,6,8,7,9,2,3,4,1,3,6,6,4,6,4,1,3,4,1,3,5,5,100.0
"Proud, Albert",,2,4,,,,3,,,,,,,,,,,4,3,2,,7,25.0
"Rischitelli, Michael",3,2,6,4,4,10,6,4,3,3,3,,2,7,5,6,2,3,2,3,7,7,92.0
"Roe, Jason",,,,,,,,1,3,1,,1,,,,1,1,1,2,2,1,5,19.0
"Selwood, Troy",4,,,1,3,,1,4,4,1,6,4,1,3,3,,,,,,,2,37.0
"Sherman, Justin",,-,2,5,2,3,4,1,-,2,2,5,,3,,,3,2,5,3,8,1,51.0
"Stiller, Cheynee",4,,,2,2,4,2,,,,,1,3,,4,5,3,,,,,,30.0
Totals,66,52,73,63,54,62,67,56,58,51,54,64,47,61,66,64,46,37,66,61,61,63,1292.0
Opponent,WC,CW,SY,PA,HW,ME,GE,CA,SK,NM,FR,WB,AD,ME,ES,WC,RI,NM,HW,WB,CA,SY,
