Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Adcock, Jed",1,4,3,4,3,3,2,2,1,,1,1,-,-,4,2,3,3,1,3,2,3,46.0
"Aish, James",2,,1,-,,,2,2,1,,,2,1,1,-,4,,,,,,,16.0
"Andrews, Harris",,,1,-,1,-,1,-,-,2,,1,-,-,1,1,1,1,-,-,-,-,10.0
"Beams, Claye",9,1,1,-,-,2,,1,1,,,,,,,,,,,,,,15.0
"Beams, Dayne",4,5,7,4,3,6,6,5,4,6,4,6,2,1,5,,3,,,,,,71.0
"Beasley, Hugh",,,,,,,,,,-,-,1,1,,,-,,,,,1,,3.0
"Bewick, Rohan",-,2,1,-,-,,,,3,-,1,1,3,2,,-,1,1,,,,4,19.0
"Bourke, Jordon",,,,,,,,,,1,1,2,-,-,,,,,,,,,4.0
"Christensen, Allen",1,2,3,2,4,6,3,2,2,3,2,2,4,3,5,-,1,6,2,6,3,5,67.0
"Clarke, Justin",1,2,1,1,1,1,-,-,-,1,-,-,-,4,-,2,1,1,,,-,-,16.0
"Close, Michael",,2,,,,,,,,,,,,,,,,,,,,,2.0
"Cutler, Tom",,,,3,6,1,-,,,1,4,-,,,,,,,6,-,2,-,23.0
"Dawson, Liam",,,,,,,,1,-,-,,,,,,1,1,1,2,3,-,1,10.0
"Evans, Billy",,,,,,,,,,,,,,,,,,-,-,1,1,2,4.0
"Freeman, Jonathan",,,,,,,,,,,,,,,,,-,-,1,1,1,2,5.0
"Gardiner, Darcy",,,-,-,1,-,-,1,,,,,1,-,,,,,,,,,3.0
"Golby, Mitch",,,,-,3,1,-,-,,,,,,,,,,,,,,,4.0
"Green, Josh",3,3,4,-,4,1,1,3,2,1,3,1,1,,,,,,,1,4,1,33.0
"Hanley, Pearce",,,,,,,,,,1,3,5,,5,1,,5,8,1,4,3,4,40.0
"Harwood, Ryan",,,,,,,,,-,,,1,,,1,,,,,,,,2.0
"Lester, Ryan",1,2,,,,-,1,2,2,1,2,,1,,,,,,,,,,12.0
"Leuenberger, Matthew",1,2,,,,-,3,-,1,-,1,1,1,3,-,5,1,,,,,,19.0
"Maguire, Matt",,2,2,,,,,,,,,,,,,,,,,,,,4.0
"Martin, Stefan",4,5,6,2,2,4,7,5,6,2,2,6,,,-,3,1,1,4,1,1,7,69.0
"Mayes, Sam",-,-,2,,,,,,,1,,,-,2,4,-,-,4,5,-,3,5,26.0
"McGrath, Jaden",-,1,-,,,,,,,,,,,,,,,,,,,,1.0
"McGuane, Luke",,,,,,,,,,,,,,,,,,1,2,1,1,,5.0
"McStay, Daniel",-,2,-,1,1,-,-,2,,,-,-,2,1,1,-,-,3,4,-,-,-,17.0
"Merrett, Daniel",-,,,,,,,,,,,,,1,-,-,-,-,1,-,-,-,2.0
"OBrien, Zac",,1,,,,,,,3,4,1,,,,,,,2,1,1,,2,15.0
"Paparone, Marco",-,-,2,1,1,-,3,1,-,1,1,1,2,-,1,1,4,3,3,2,-,-,27.0
"Redden, Jack",2,2,2,1,3,5,-,,,,1,2,1,4,2,3,1,3,2,3,,,37.0
"Rich, Daniel",6,4,4,5,3,3,8,6,3,2,3,3,3,2,3,1,2,4,2,,3,5,75.0
"Robertson, Nick",,,,3,4,1,5,1,1,3,-,,,2,-,1,-,,,,,,21.0
"Robinson, Mitch",2,1,4,2,5,3,2,6,3,5,3,6,3,,2,2,4,5,3,3,5,8,77.0
"Rockliff, Tom",5,,,2,-,2,4,4,4,,,,,5,2,2,4,1,5,2,2,6,50.0
"Staker, Brent",,,-,,1,,,,,,,,2,2,1,1,,,,,,,7.0
"Taylor, Lewis",2,1,-,3,1,3,4,3,3,2,2,3,1,3,2,2,2,2,2,1,-,3,45.0
"West, Trent",,,,,,,,,,,,,,,,,,,1,-,,,1.0
"Zorko, Dayne",5,1,2,5,6,1,1,1,4,-,4,5,2,6,2,2,2,3,4,5,5,3,69.0
Totals,49,45,46,39,53,43,53,48,44,37,39,50,31,47,37,33,37,53,52,38,37,61,972.0
Opponent,CW,NM,RI,WC,GC,CA,PA,ES,SK,GW,WB,AD,FR,SY,ME,NM,GE,GC,CA,AD,HW,WB,
