Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,QF,PF,Tot
"Adams, Marcus",-,,,,,,,,,,,,,,,,,,,
"Ah Chee, Callum",,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Andrews, Harris",-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,1.0
"Answerth, Noah",-,,,,,,,,-,-,-,-,-,-,-,1,,,,1.0
"Bailey, Zac",-,-,-,1,1,-,-,-,1,-,1,-,-,-,-,-,1,-,-,5.0
"Ballenden, Connor",,,,,,,,,1,-,,,,,,,,,,1.0
"Berry, Jarrod",1,-,-,2,1,1,-,-,3,-,-,-,-,1,-,,,-,-,9.0
"Berry, Tom",,-,-,,1,-,1,1,,,,,,,,,,,,3.0
"Birchall, Grant",,-,-,-,-,-,1,-,-,,-,-,-,-,,-,-,-,-,1.0
"Cameron, Charlie",-,-,-,-,-,-,1,-,1,-,1,-,-,-,1,1,-,-,-,5.0
"Coleman, Keidean",,,,,,,,,,,,,,-,2,-,-,-,,2.0
"Eagles, Matt",,,,,,,,,,,-,-,,,,,,,,
"Ellis-Yolmen, Cam",,,-,-,-,,,,-,-,-,,,,,-,-,,-,
"Fullarton, Tom",,,,,,,,,,,,,1,-,,,,,,1.0
"Gardiner, Darcy",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,2.0
"Hinge, Mitch",,,,,,,,,,,,,,,,1,,,,1.0
"Hipwood, Eric",-,1,1,1,1,-,-,-,-,-,-,-,-,-,2,-,1,1,-,8.0
"Lester, Ryan",,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,
"Lyons, Jarryd",1,-,-,1,1,1,-,-,2,-,2,-,-,-,1,-,-,1,-,10.0
"Martin, Stefan",-,-,,,-,1,-,,,,,,,,,,1,-,-,2.0
"Mathieson, Rhys",,,,,,,,,,,,1,,,,,,,,1.0
"McCarthy, Lincoln",2,-,1,-,-,-,1,-,1,-,-,-,1,,-,,-,-,-,6.0
"McCluggage, Hugh",1,1,2,1,-,-,1,3,-,-,-,1,-,1,1,-,-,1,1,14.0
"McInerney, Oscar",-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,3.0
"McStay, Daniel",-,2,-,-,-,-,-,-,,,1,-,-,1,-,1,-,-,-,5.0
"Neale, Lachie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2.0
"Payne, Jack",,,,,,,,,,-,,,,,-,-,-,,-,
"Rayner, Cam",-,1,-,1,1,-,1,-,-,-,,,1,-,1,-,1,2,-,9.0
"Rich, Daniel",-,-,-,-,-,-,-,-,,,1,,,-,-,-,-,-,-,1.0
"Robertson, Deven",-,,,,,,,,,,,,,,,,,,,
"Robinson, Mitch",1,1,1,2,-,1,-,-,1,-,1,1,-,-,-,-,-,-,-,9.0
"Skinner, Sam",,,,,,,,,-,-,,,,,,,,,,
"Smith, Archie",,,-,-,,,,-,,,,,,,1,-,,,,1.0
"Starcevich, Brandon",-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,1,-,-,3.0
"Witherden, Alex",-,,,,,,,,-,-,-,-,-,,,,,,,
"Zorko, Dayne",-,-,,-,,1,-,-,-,1,2,-,-,-,1,-,2,-,-,7.0
Totals,6,8,5,9,6,5,7,4,11,1,9,5,3,3,10,6,8,5,3,114.0
Opponent,HW,FR,WC,AD,PA,GE,GW,ME,ES,RI,WB,NM,SK,CW,GC,SY,CA,RI,GE,
