Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Abbey, Ross",,,,,,,,-,,,,,1,-,2,,,,,,-,,3.0
"Austin, Graeme",2,1,1,1,,-,1,,,,,,,,,,,,,,,,6.0
"Baker, Garry",,-,4,,3,2,3,4,2,,,2,1,,-,,,,2,-,-,,23.0
"Bartlett, Les",-,2,2,3,4,3,1,4,2,-,,-,,,,,,,,,,1,22.0
"Boyd, Colin",,,,,1,1,1,1,-,1,,,1,1,3,,,,-,,,,10.0
"Brown, Don",,,,,,,,,,,,,,,,,,,3,2,3,,8.0
"Carroll, Ted",,,,,,,,,,,,,-,,,,,,,,,,
"Casey, Gordon",-,2,1,2,,2,1,1,-,2,1,1,1,1,-,3,4,-,4,2,1,-,29.0
"Collins, Dennis",2,1,4,2,2,1,6,5,1,,3,5,3,3,3,,1,3,2,,,1,48.0
"Cook, Graeme",4,2,,,3,5,,,,3,,,,,,3,2,2,1,-,,,25.0
"Dell, Colin",,,1,1,,,,,,4,2,-,-,1,,,,-,1,-,-,2,12.0
"Dempsey, Gary",2,4,2,3,-,,2,2,6,2,1,2,,4,1,3,5,2,1,1,1,4,48.0
"Dunstan, Ian",,,,,,,,4,1,,,,,,,,,-,,,,,5.0
"Frei, Harry",,,2,3,,2,2,,,,1,1,,,,,,,,,,,11.0
"Gallagher, Adrian",,1,2,1,-,3,1,3,5,-,2,3,3,-,4,4,3,-,3,2,5,4,49.0
"Gingell, Glenn",,,,3,1,1,1,1,6,2,-,-,5,,,-,-,,,3,1,1,25.0
"Jacks, Ron",4,,3,4,3,,,,-,1,5,1,,,,3,3,1,,,,,28.0
"Keast, John",,,,,,,,,,,-,,3,1,,,,,,,,-,4.0
"Magee, Stuart",-,4,1,2,1,-,,1,1,1,4,,2,2,3,4,3,3,1,1,-,1,35.0
"Merrington, Gary",2,3,-,2,2,4,1,,,2,2,1,-,2,1,2,3,1,1,2,-,3,34.0
"Morrison, Ian",,,,,,,,,,,,1,1,-,1,,,,,,,,3.0
"OHalloran, Max",1,,,,3,,,,,,,,,,,2,,,,,,,6.0
"Pagnoccolo, Charles",-,-,2,,-,,,,4,2,-,3,-,2,3,,,,,,,,16.0
"Power, Stephen",2,2,,4,3,2,3,4,2,1,1,-,5,2,3,2,3,,2,1,4,1,47.0
"Quinlan, Bernie",1,1,2,4,,,1,2,2,6,2,4,5,3,2,3,2,4,1,2,1,2,50.0
"Rasmussen, Ivan",,,,,,,,,,,,2,2,-,-,2,2,1,-,-,1,2,12.0
"Rippon, Laurie",,,,,3,2,,,,,,,,,,,,,,,,,5.0
"Rose, Robert",,,,,,,,,,-,1,3,,-,-,4,3,1,,,,2,14.0
"Round, Barry",1,1,1,2,,,,,,,2,,,,,2,5,2,,,,,16.0
"Salmon, Ian",-,1,1,2,-,5,2,2,3,1,1,4,2,3,4,2,4,5,1,4,6,5,58.0
"Sandilands, Laurie",2,-,3,2,1,1,2,1,-,,,,,,-,3,4,4,-,1,4,,28.0
"Simmons, Grant",1,,,,,-,1,-,,,,,,,,1,,,,,,,3.0
"Steel, Gary",,,,,,,,,,,,,,,,,,,-,-,3,1,4.0
"Stoneham, Alan",3,-,,,,,1,4,2,3,2,,,,,,,4,2,2,2,3,28.0
"Thorpe, David",5,2,4,2,3,3,2,7,4,3,4,9,3,5,2,4,7,4,6,3,6,2,90.0
"Vesty, Carl",,1,,,,,,,,,,,,,1,,,,,,,,2.0
"Welsh, Peter",3,2,3,3,3,2,4,5,2,2,3,4,2,4,-,4,4,5,2,3,-,2,62.0
"Wickson, Ian",,,,,,,,,,,,,,,,,4,1,,,,,5.0
"Wilkins, Terry",,,1,3,1,3,2,3,4,2,,,,2,,3,2,,,2,2,3,33.0
Totals,35,30,40,49,37,42,38,54,47,38,37,46,40,36,33,54,64,43,33,31,40,40,907.0
Opponent,FI,CW,SM,ES,HW,GE,SK,NM,ME,CA,RI,FI,CW,ES,SM,HW,GE,SK,NM,ME,CA,RI,
